symbol,cp,pass,sharpe,drawdown,equity,trades,return_pct
BTCUSDT,7,1,2.1598,54.35,1.4161,41,41.61
BTCUSDT,11,1,2.1148,53.85,1.4053,41,40.53
BTCUSDT,15,1,1.1213,52.87,1.1143,42,11.43
BTCUSDT,20,1,0.5778,54.48,0.9890,44,-1.10
BTCUSDT,28,1,0.5814,54.95,0.9896,44,-1.04
BTCUSDT,42,0,-0.2367,53.28,0.8443,46,-15.57
ETHUSDT,7,1,4.7091,75.33,2.9369,35,193.69
ETHUSDT,11,1,3.3619,67.37,2.0579,38,105.79
ETHUSDT,15,1,3.4587,66.06,2.1017,38,110.17
ETHUSDT,20,1,2.7765,59.19,1.7478,40,74.78
ETHUSDT,28,1,2.8868,59.21,1.8149,40,81.49
ETHUSDT,42,1,3.8078,65.05,2.2769,38,127.69
XRPUSDT,7,1,4.2648,90.47,8.1633,32,716.33
XRPUSDT,11,1,2.0495,58.69,1.4686,39,46.86
XRPUSDT,15,1,1.5115,44.07,1.2459,43,24.59
XRPUSDT,20,1,0.4362,60.39,0.8785,46,-12.15
XRPUSDT,28,1,1.0322,59.77,1.0660,47,6.60
XRPUSDT,42,1,0.9394,59.88,1.0491,49,4.91
LTCUSDT,7,0,-2.8429,77.61,0.3652,38,-63.48
LTCUSDT,11,0,-1.0335,70.63,0.5921,39,-40.79
LTCUSDT,15,0,-0.9157,61.45,0.6244,39,-37.56
LTCUSDT,20,0,-4.0341,70.80,0.3626,42,-63.74
LTCUSDT,28,0,-3.0939,66.22,0.4354,41,-56.46
LTCUSDT,42,0,-2.3633,62.45,0.4805,40,-51.95
EOSUSDT,7,0,-2.2057,81.32,0.2260,38,-77.40
EOSUSDT,11,0,-0.4922,63.48,0.6614,37,-33.86
EOSUSDT,15,0,-1.4349,63.48,0.5174,39,-48.26
EOSUSDT,20,0,-1.6468,55.27,0.5377,40,-46.23
EOSUSDT,28,0,-0.6820,50.34,0.6858,44,-31.42
EOSUSDT,42,0,-0.1650,59.89,0.7420,41,-25.80
