symbol,window,cp,pass,sharpe,drawdown,equity,trades,return_pct
BTCUSDT,0,7,1,-5.3740,14.92,0.8989,8,-10.11
ETHUSDT,0,7,1,-6.5475,19.56,0.8044,7,-19.56
XRPUSDT,0,7,1,-9.5793,7.38,0.9262,4,-7.38
LTCUSDT,0,7,1,-13.4736,20.46,0.7954,5,-20.46
EOSUSDT,0,7,1,-1.6054,27.98,0.8087,6,-19.13
BTCUSDT,1,7,1,6.2511,40.27,1.5196,9,51.96
ETHUSDT,1,7,1,3.4974,19.29,1.1609,8,16.09
XRPUSDT,1,7,1,-12.0845,33.51,0.6649,8,-33.51
LTCUSDT,1,7,1,3.3405,31.26,1.1725,10,17.25
EOSUSDT,1,7,1,0.0430,19.14,0.9739,8,-2.61
BTCUSDT,2,7,1,4.1059,28.84,1.1749,7,17.49
ETHUSDT,2,7,1,7.1409,39.48,1.3879,6,38.79
XRPUSDT,2,7,1,-1.8776,17.85,0.9225,9,-7.75
LTCUSDT,2,7,1,6.7784,32.07,1.3137,6,31.37
EOSUSDT,2,7,1,2.9230,42.73,1.1842,10,18.42
BTCUSDT,3,7,1,7.2465,53.83,1.6953,12,69.53
ETHUSDT,3,7,1,4.9487,59.53,1.9531,13,95.31
XRPUSDT,3,7,1,11.9690,83.63,6.1085,5,510.85
LTCUSDT,3,7,1,-3.2541,53.54,0.6283,14,-37.17
EOSUSDT,3,7,1,-1.8126,66.54,0.4588,10,-54.12
BTCUSDT,4,7,1,2.9970,23.94,1.1824,10,18.24
ETHUSDT,4,7,1,8.9515,55.11,2.1931,10,119.31
XRPUSDT,4,7,1,-0.4342,36.64,0.8318,7,-16.82
LTCUSDT,4,7,1,2.3667,36.97,1.1145,9,11.45
EOSUSDT,4,7,1,-3.4762,27.98,0.8491,4,-15.09
BTCUSDT,5,7,1,-7.7594,12.53,0.8857,4,-11.43
ETHUSDT,5,7,1,10.0083,28.12,1.2685,3,26.85
XRPUSDT,5,7,1,11.0780,38.67,1.6305,4,63.05
LTCUSDT,5,7,1,11.5226,25.68,1.2859,3,28.59
EOSUSDT,5,7,1,3.3652,27.20,1.1042,5,10.42
BTCUSDT,0,11,1,-6.4482,22.22,0.8105,9,-18.95
ETHUSDT,0,11,1,-2.6120,13.91,0.9335,7,-6.65
XRPUSDT,0,11,1,0.0000,0.32,0.9968,4,-0.32
LTCUSDT,0,11,1,-22.4087,24.63,0.7537,4,-24.63
EOSUSDT,0,11,1,-1.6054,27.98,0.8087,6,-19.13
BTCUSDT,1,11,1,6.2089,42.31,1.5733,9,57.33
ETHUSDT,1,11,1,0.6694,25.33,0.9922,8,-0.78
