symbol,window,turtle_eq,turtle_dd,turtle_sharpe,turtle_n,ctrend_eq,ctrend_dd,ctrend_sharpe,ctrend_n,cond_eq,cond_dd,cond_sharpe,cond_n
BTCUSDT,0,8.0351,89.27,9.9755,43,291551132985482.3125,100.00,19.4947,156,44769513.3727,100.00,13.8412,119
BTCUSDT,1,0.7270,47.06,-2.1363,24,0.0170,99.80,-3.2262,103,0.5682,73.13,-1.7005,31
BTCUSDT,2,11.7888,91.53,12.7295,41,379416.3526,100.00,9.3575,152,146.5029,99.44,11.2312,58
BTCUSDT,3,10.0359,97.20,7.0718,45,74900813035.3215,100.00,10.6292,154,10.0359,97.20,7.0718,45
BTCUSDT,4,1.3695,64.74,2.3149,35,0.7429,99.79,0.9274,127,1.3695,64.74,2.3149,35
BTCUSDT,5,0.3039,69.61,-16.0271,17,0.0003,99.97,-24.3980,59,0.3039,69.61,-16.0271,17
ETHUSDT,0,0.6299,60.47,-0.7820,33,894.5443,100.00,4.9541,160,2249.2759,100.00,5.4341,151
ETHUSDT,1,2.2558,90.37,4.2952,27,5.5710,100.00,2.9710,100,3.6512,99.98,3.1098,67
ETHUSDT,2,7.9201,91.49,9.7488,36,292743793.5733,100.00,9.9105,173,50945.1318,100.00,11.7649,73
ETHUSDT,3,6.7353,97.32,4.6860,54,320855996681360256.0000,100.00,12.7643,171,6.7353,97.32,4.6860,54
ETHUSDT,4,3.9825,79.18,5.9989,39,831.1787,99.97,6.0118,131,3.9825,79.18,5.9989,39
ETHUSDT,5,0.3656,75.00,-4.2278,21,0.0006,99.94,-8.6882,67,0.3656,75.00,-4.2278,21
SOLUSDT,0,185.4160,99.59,12.2258,40,23798732634.4814,100.00,6.1927,150,185.4160,99.59,12.2258,40
SOLUSDT,1,0.4853,72.00,-3.6956,12,0.0000,100.00,-12.7125,68,0.4853,72.00,-3.6956,12
SOLUSDT,2,1.2543,84.81,2.4202,20,0.0000,100.00,-5.0068,115,0.0438,97.95,-1.0198,82
SOLUSDT,3,28.8561,98.59,8.2106,44,336023396476827.3750,100.00,10.4259,156,118597.0531,100.00,7.6635,75
SOLUSDT,4,4.7820,90.96,5.9431,39,1.9786,100.00,2.3675,139,4.7820,90.96,5.9431,39
SOLUSDT,5,1.2375,63.49,1.9536,28,0.4924,100.00,1.5780,120,1.2375,63.49,1.9536,28
XRPUSDT,0,0.5734,42.66,-11.0924,12,0.0246,99.79,-2.5796,92,0.4237,91.77,-0.3331,57
XRPUSDT,1,1.2633,61.83,2.2952,24,0.0000,100.00,-5.2498,116,0.0876,96.39,-1.1474,87
XRPUSDT,2,10.4444,95.50,7.2939,34,0.0041,100.00,2.3596,134,327091.7149,100.00,9.2485,72
XRPUSDT,3,11.3132,97.78,5.8876,33,73.9151,100.00,3.9436,123,11.3132,97.78,5.8876,33
XRPUSDT,4,0.3862,61.38,-20.8406,12,0.0000,100.00,-11.0412,73,0.3862,61.38,-20.8406,12
XRPUSDT,5,3.7253,76.43,7.7206,21,0.0012,99.88,-8.5011,101,0.4250,76.12,-1.1401,47
DOGEUSDT,0,1.6807,48.74,5.0464,26,7902.0888,100.00,6.4654,144,146.5488,99.32,8.8006,55
DOGEUSDT,1,0.5203,79.95,1.4383,29,91366473562172293463980617249418798424070463422464.0000,100.00,12.1894,154,0.5203,79.95,1.4383,29
DOGEUSDT,2,1.1520,42.81,1.9993,17,0.0000,100.00,-15.7267,96,1.1520,42.81,1.9993,17
DOGEUSDT,3,0.2808,76.16,-3.8359,14,0.0252,99.61,-0.1742,82,0.2808,76.16,-3.8359,14
DOGEUSDT,4,1.8445,52.29,5.6633,19,0.0001,100.00,-11.0636,107,1.8445,52.29,5.6633,19
DOGEUSDT,5,2.0541,82.94,3.5750,29,53470.6446,100.00,5.6756,144,2.0541,82.94,3.5750,29
