symbol,period,ep21_pass,ep21_return_pct,ep21_sharpe,ep21_dd,ep21_trades,ep24_pass,ep24_return_pct,ep24_sharpe,ep24_dd,ep24_trades
BCHUSDT,P2-2020,true,4939.5412,0.2050,54.0412,14,true,4060.3221,0.1972,54.5381,13
BCHUSDT,P1-2020,true,4939.5412,0.2050,54.0412,14,true,4060.3221,0.1972,54.5381,13
BNBUSDT,P3-2019,true,228758.7606,0.3281,41.1704,14,true,273666.0355,0.3364,29.7551,13
BNBUSDT,P2-2020,true,13085.7109,0.2457,44.7769,16,true,5983.7194,0.2106,63.3411,16
BNBUSDT,P1-2020,true,13085.7109,0.2457,44.7769,16,true,5983.7194,0.2106,63.3411,16
BTCUSDT,P3-2019,true,2443.6900,0.2007,27.8374,13,true,1213.4853,0.1653,36.8868,13
BTCUSDT,P2-2020,true,24491.3206,0.3194,48.4014,16,true,21569.5297,0.3126,48.4014,16
BTCUSDT,P1-2020,true,24491.3206,0.3194,48.4014,16,true,21569.5297,0.3126,48.4014,16
LTCUSDT,P3-2019,true,27795.0292,0.3024,32.1114,12,true,27795.0292,0.3024,32.1114,12
LTCUSDT,P2-2020,true,11317.3491,0.2415,54.8352,14,true,7439.9761,0.2342,54.8352,14
LTCUSDT,P1-2020,true,11317.3491,0.2415,54.8352,14,true,7439.9761,0.2342,54.8352,14
ADAUSDT,P3-2019,true,137.5382,0.0731,72.3797,10,true,57.2987,0.0484,81.7098,10
ADAUSDT,P2-2020,true,352353.8821,0.2851,72.5901,16,true,19157.9313,0.2135,81.2382,15
ADAUSDT,P1-2020,true,352353.8821,0.2851,72.5901,16,true,19157.9313,0.2135,81.2382,15
DOGEUSDT,P3-2019,true,10.9939,0.0653,27.0507,3,false,-21.3366,-0.1560,29.1336,3
DOGEUSDT,P2-2020,true,1634.3840,0.1525,58.4103,14,true,1189.4484,0.1432,34.4141,13
DOGEUSDT,P1-2020,true,1634.3840,0.1525,58.4103,14,true,1189.4484,0.1432,34.4141,13
XRPUSDT,P3-2019,true,2.5751,0.0163,48.1379,8,false,-48.9138,-0.1091,51.3469,8
XRPUSDT,P2-2020,true,1768.1016,0.1586,72.8942,16,true,1637.1195,0.1561,74.1444,15
XRPUSDT,P1-2020,true,1768.1016,0.1586,72.8942,16,true,1637.1195,0.1561,74.1444,15
ETHUSDT,P3-2019,true,2413.0902,0.2002,38.6388,12,true,2848.2017,0.2179,24.7231,10
ETHUSDT,P2-2020,true,1845853.2908,0.3953,53.0822,16,true,940707.8719,0.3803,53.0822,15
ETHUSDT,P1-2020,true,1845853.2908,0.3953,53.0822,16,true,940707.8719,0.3803,53.0822,15
SOLUSDT,P3-2019,true,14682058239852406784.0000,0.1053,84.7750,66,true,9560512129931001856.0000,0.1077,64.1559,58
SOLUSDT,P2-2020,false,-69.3168,-0.3854,69.3168,2,false,-61.6611,-0.3758,61.6611,1
SOLUSDT,P1-2020,false,-69.3168,-0.3854,69.3168,2,false,-61.6611,-0.3758,61.6611,1
EOSUSDT,P3-2019,true,2105.5420,0.1961,40.2635,10,true,2473.2809,0.2108,33.8669,9
EOSUSDT,P2-2020,true,21440.7428,0.2635,31.7509,11,true,21440.7428,0.2635,31.7509,11
EOSUSDT,P1-2020,true,21440.7428,0.2635,31.7509,11,true,21440.7428,0.2635,31.7509,11
