symbol,period,cp7_pass,cp7_return_pct,cp7_sharpe,cp7_dd,cp7_trades,cp11_pass,cp11_return_pct,cp11_sharpe,cp11_dd,cp11_trades
SOLUSDT,P3-2019,true,14676943728157149184.0000,0.1053,84.7750,66,true,13223382341508347904.0000,0.1051,84.7750,65
SOLUSDT,P2-2020,false,-69.3168,-0.3854,69.3168,2,false,-69.3168,-0.3854,69.3168,2
SOLUSDT,P1-2020,false,-69.3168,-0.3854,69.3168,2,false,-69.3168,-0.3854,69.3168,2
LTCUSDT,P3-2019,true,27795.0292,0.3024,32.1114,12,true,27795.0292,0.3024,32.1114,12
LTCUSDT,P2-2020,true,11317.3491,0.2415,54.8352,14,true,9984.2956,0.2350,60.1085,14
LTCUSDT,P1-2020,true,11317.3491,0.2415,54.8352,14,true,9984.2956,0.2350,60.1085,14
DOGEUSDT,P3-2019,true,10.9939,0.0653,27.0507,3,true,1.2286,0.0176,33.4687,3
DOGEUSDT,P2-2020,true,1634.3840,0.1525,58.4103,14,true,2576.1000,0.1736,35.8285,14
DOGEUSDT,P1-2020,true,1634.3840,0.1525,58.4103,14,true,2576.1000,0.1736,35.8285,14
ETHUSDT,P3-2019,true,2413.0902,0.2002,38.6388,12,true,1938.2055,0.1875,41.6321,12
ETHUSDT,P2-2020,true,1845853.2908,0.3953,53.0822,16,true,1529646.1701,0.3869,53.0822,16
ETHUSDT,P1-2020,true,1845853.2908,0.3953,53.0822,16,true,1529646.1701,0.3869,53.0822,16
BTCUSDT,P3-2019,true,2443.6900,0.2007,27.8374,13,true,2239.5063,0.1954,33.6300,13
BTCUSDT,P2-2020,true,24491.3206,0.3194,48.4014,16,true,23360.1465,0.3163,50.7749,16
BTCUSDT,P1-2020,true,24491.3206,0.3194,48.4014,16,true,23360.1465,0.3163,50.7749,16
EOSUSDT,P3-2019,true,2105.5420,0.1961,40.2635,10,true,2105.5420,0.1961,40.2635,10
EOSUSDT,P2-2020,true,21440.7428,0.2635,31.7509,11,true,21440.7428,0.2635,31.7509,11
EOSUSDT,P1-2020,true,21440.7428,0.2635,31.7509,11,true,21440.7428,0.2635,31.7509,11
XRPUSDT,P3-2019,true,2.5751,0.0163,48.1379,8,true,2.5751,0.0163,48.1379,8
XRPUSDT,P2-2020,true,1768.1016,0.1586,72.8942,16,true,983.4767,0.1322,82.2983,16
XRPUSDT,P1-2020,true,1768.1016,0.1586,72.8942,16,true,983.4767,0.1322,82.2983,16
BCHUSDT,P2-2020,true,4939.5412,0.2050,54.0412,14,true,4939.5412,0.2050,54.0412,14
BCHUSDT,P1-2020,true,4939.5412,0.2050,54.0412,14,true,4939.5412,0.2050,54.0412,14
ADAUSDT,P3-2019,true,137.5382,0.0731,72.3797,10,true,137.5382,0.0731,72.3797,10
ADAUSDT,P2-2020,true,352353.8821,0.2851,72.5901,16,true,231006.8849,0.2687,75.6362,15
ADAUSDT,P1-2020,true,352353.8821,0.2851,72.5901,16,true,231006.8849,0.2687,75.6362,15
BNBUSDT,P3-2019,true,228758.7606,0.3281,41.1704,14,true,228758.7606,0.3281,41.1704,14
BNBUSDT,P2-2020,true,13085.7109,0.2457,44.7769,16,true,13085.7109,0.2457,44.7769,16
BNBUSDT,P1-2020,true,13085.7109,0.2457,44.7769,16,true,13085.7109,0.2457,44.7769,16
