atr_t,period_label,equity,sharpe,dd_pct,trades
0,P1-2019 (Pre-COVID bear/chop) W0,0.457872,0.0632,96.02,57
0,P1-2019 (Pre-COVID bear/chop) W1,56.997319,4.7207,85.83,111
0,P1-2019 (Pre-COVID bear/chop) W2,0.048556,-6.0468,95.14,57
0,P1-2019 (Pre-COVID bear/chop) W3,2.372529,2.6017,73.00,93
0,P1-2019 (Pre-COVID bear/chop) W4,15.075519,3.6810,94.98,122
0,P1-2019 (Pre-COVID bear/chop) W5,9.769867,4.3288,72.08,114
0,P1-2019 (Pre-COVID bear/chop) W6,0.074927,-7.4876,94.97,66
0,P1-2019 (Pre-COVID bear/chop) W7,0.546562,-0.2536,93.96,99
0,P1-2019 (Pre-COVID bear/chop) W8,3.379515,2.8161,80.54,123
0,P1-2019 (Pre-COVID bear/chop) W9,0.130206,-2.7217,91.15,106
0,P1-2019 (Pre-COVID bear/chop) W10,34.414949,6.6302,50.87,82
0,P2-2020 (COVID crash/recovery) W0,0.457872,0.0632,96.02,57
0,P2-2020 (COVID crash/recovery) W1,56.997319,4.7207,85.83,111
0,P2-2020 (COVID crash/recovery) W2,0.048556,-6.0468,95.14,57
0,P2-2020 (COVID crash/recovery) W3,2.372529,2.6017,73.00,93
0,P2-2020 (COVID crash/recovery) W4,15.075519,3.6810,94.98,122
0,P2-2020 (COVID crash/recovery) W5,9.769867,4.3288,72.08,114
0,P2-2020 (COVID crash/recovery) W6,0.074927,-7.4876,94.97,66
0,P2-2020 (COVID crash/recovery) W7,0.546562,-0.2536,93.96,99
0,P2-2020 (COVID crash/recovery) W8,3.379515,2.8161,80.54,123
0,P2-2020 (COVID crash/recovery) W9,0.130206,-2.7217,91.15,106
0,P2-2020 (COVID crash/recovery) W10,34.414949,6.6302,50.87,82
5,P1-2019 (Pre-COVID bear/chop) W0,0.253621,-4.9680,88.65,35
5,P1-2019 (Pre-COVID bear/chop) W1,39.377936,4.8893,66.14,94
5,P1-2019 (Pre-COVID bear/chop) W2,0.133122,-4.5550,86.69,48
5,P1-2019 (Pre-COVID bear/chop) W3,2.074696,2.4384,74.28,88
5,P1-2019 (Pre-COVID bear/chop) W4,0.987586,1.7444,96.60,105
5,P1-2019 (Pre-COVID bear/chop) W5,9.792593,4.7137,72.08,99
