symbol,entry_bar,exit_bar,entry_date,exit_date,bars_held,entry_price,exit_price,size,pct_ret,equity_mult,exit_reason,hedge_active
BTCUSDT,307,311,2021-06-14 00:00:00,2021-06-18 00:00:00,4,40516.29000000,35819.84000000,0.133333,-0.1166220899,0.9844503880,TURTLE_ATR,true
BTCUSDT,349,350,2021-07-26 00:00:00,2021-07-27 00:00:00,1,37237.60000000,39457.87000000,0.333333,0.0587770513,1.0195923504,TURTLE_ATR,false
BTCUSDT,353,357,2021-07-30 00:00:00,2021-08-03 00:00:00,4,42206.37000000,38207.05000000,0.333333,-0.0954802182,0.9681732606,TURTLE_ATR,false
ETHUSDT,351,358,2021-07-28 00:00:00,2021-08-04 00:00:00,7,2300.90000000,2724.78000000,0.333333,0.1832765646,1.0610921882,TURTLE_ATR,false
XRPUSDT,351,363,2021-07-28 00:00:00,2021-08-09 00:00:00,12,0.73270000,0.81700000,0.333333,0.1141622237,1.0380540746,HOLD_MAX,false
ADAUSDT,357,364,2021-08-03 00:00:00,2021-08-10 00:00:00,7,1.36960000,1.67800000,0.333333,0.2241954854,1.0747318285,TURTLE_ATR,false
XRPUSDT,365,366,2021-08-11 00:00:00,2021-08-12 00:00:00,1,1.01050000,0.96600000,0.333333,-0.0448020693,0.9850659769,TURTLE_ATR,false
ADAUSDT,366,367,2021-08-12 00:00:00,2021-08-13 00:00:00,1,1.83240000,2.13860000,0.333333,0.1661699433,1.0553899811,TURTLE_ATR,false
SOLUSDT,364,369,2021-08-10 00:00:00,2021-08-15 00:00:00,5,40.64000000,53.53100000,0.333333,0.3161464646,1.1053821549,TURTLE_ATR,false
XRPUSDT,368,370,2021-08-14 00:00:00,2021-08-16 00:00:00,2,1.27910000,1.18550000,0.333333,-0.0739176146,0.9753607951,TURTLE_ATR,false
ETHUSDT,359,371,2021-08-05 00:00:00,2021-08-17 00:00:00,12,2826.99000000,3011.72000000,0.333333,0.0644931844,1.0214977281,HOLD_MAX,false
DOGEUSDT,369,371,2021-08-15 00:00:00,2021-08-17 00:00:00,2,0.33984000,0.29933000,0.333333,-0.1199075102,0.9600308299,TURTLE_ATR,false
SOLUSDT,371,372,2021-08-17 00:00:00,2021-08-18 00:00:00,1,64.12300000,72.66300000,0.333333,0.1322753590,1.0440917863,TURTLE_ATR,false
SOLUSDT,373,378,2021-08-19 00:00:00,2021-08-24 00:00:00,5,72.76400000,70.52700000,0.333333,-0.0315183201,0.9894938933,TURTLE_ATR,false
ADAUSDT,373,378,2021-08-19 00:00:00,2021-08-24 00:00:00,5,2.44110000,2.71870000,0.333333,0.1128286058,1.0376095353,TURTLE_ATR,false
SOLUSDT,381,384,2021-08-27 00:00:00,2021-08-30 00:00:00,3,87.98000000,110.25000000,0.333333,0.2521236107,1.0840412036,TURTLE_ATR,false
BTCUSDT,374,386,2021-08-20 00:00:00,2021-09-01 00:00:00,12,49322.47000000,48810.52000000,0.333333,-0.0111710302,0.9962763233,HOLD_MAX,false
ADAUSDT,381,392,2021-08-27 00:00:00,2021-09-07 00:00:00,11,2.94600000,2.51400000,0.333333,-0.1473219266,0.9508926911,TURTLE_ATR,false
SOLUSDT,392,393,2021-09-07 00:00:00,2021-09-08 00:00:00,1,173.46000000,191.02000000,0.333333,0.1003530791,1.0334510264,TURTLE_ATR,false
DOGEUSDT,421,422,2021-10-06 00:00:00,2021-10-07 00:00:00,1,0.25410000,0.24280000,0.133333,-0.0452347986,0.9939686935,TURTLE_ATR,true
XRPUSDT,424,427,2021-10-09 00:00:00,2021-10-12 00:00:00,3,1.16040000,1.10180000,0.133333,-0.0512591241,0.9931654501,TURTLE_ATR,true
BTCUSDT,419,430,2021-10-04 00:00:00,2021-10-15 00:00:00,11,49224.94000000,61672.42000000,0.333333,0.2518674841,1.0839558280,TURTLE_ATR,false
ETHUSDT,421,433,2021-10-06 00:00:00,2021-10-18 00:00:00,12,3574.89000000,3744.96000000,0.133333,0.0467357681,1.0062314357,HOLD_MAX,true
BTCUSDT,435,437,2021-10-20 00:00:00,2021-10-22 00:00:00,2,66001.41000000,60688.22000000,0.133333,-0.0812364639,0.9891684715,TURTLE_ATR,true
ETHUSDT,435,437,2021-10-20 00:00:00,2021-10-22 00:00:00,2,4161.15000000,3972.20000000,0.133333,-0.0461714885,0.9938438015,TURTLE_ATR,true
SOLUSDT,435,439,2021-10-20 00:00:00,2021-10-24 00:00:00,4,176.72000000,202.14000000,0.133333,0.1429286592,1.0190571546,TURTLE_ATR,true
SOLUSDT,440,442,2021-10-25 00:00:00,2021-10-27 00:00:00,2,209.70000000,184.49000000,0.133333,-0.1209229041,0.9838769461,TURTLE_ATR,true
ETHUSDT,438,450,2021-10-23 00:00:00,2021-11-04 00:00:00,12,4167.12000000,4532.32000000,0.133333,0.0867687021,1.0115691603,HOLD_MAX,true
XRPUSDT,449,452,2021-11-03 00:00:00,2021-11-06 00:00:00,3,1.21010000,1.15100000,0.133333,-0.0495995635,0.9933867249,TURTLE_ATR,true
SOLUSDT,448,456,2021-11-02 00:00:00,2021-11-10 00:00:00,8,220.82000000,233.09000000,0.133333,0.0547215042,1.0072962006,TURTLE_ATR,true
XRPUSDT,499,504,2021-12-23 00:00:00,2021-12-28 00:00:00,5,0.99410000,0.85150000,0.133333,-0.1441313023,0.9807824930,TURTLE_ATR,true
ADAUSDT,524,525,2022-01-17 00:00:00,2022-01-18 00:00:00,1,1.60300000,1.45800000,0.333333,-0.0911827409,0.9696057530,TURTLE_ATR,false
