pct,pass,total,pass_pct,sharpe,ret_pct,dd_pct,trades,base5_equity
0,56,63,88.89,6.9414,48.84,0.94,689,17.157198
1,56,63,88.89,6.9414,182.43,2.91,689,314.113297
2,56,63,88.89,6.9414,182.43,2.91,689,314.113297
3,56,63,88.89,6.9414,182.43,2.91,689,314.113297
4,56,63,88.89,6.9414,182.43,2.91,689,314.113297
5,56,63,88.89,6.9414,182.43,2.91,689,314.113297
6,56,63,88.89,6.9414,182.43,2.91,689,314.113297
7,56,63,88.89,6.9414,182.43,2.91,689,314.113297
8,56,63,88.89,6.9414,182.43,2.91,689,314.113297
9,56,63,88.89,6.9414,182.43,2.91,689,314.113297
10,56,63,88.89,6.9414,182.43,2.91,689,314.113297
11,56,63,88.89,6.9414,182.43,2.91,689,314.113297
12,56,63,88.89,6.9414,182.43,2.91,689,314.113297
13,56,63,88.89,6.9414,182.43,2.91,689,314.113297
14,56,63,88.89,6.9414,182.43,2.91,689,314.113297
15,56,63,88.89,6.9414,182.43,2.91,689,314.113297
16,56,63,88.89,6.9414,182.43,2.91,689,314.113297
17,56,63,88.89,6.9414,182.43,2.91,689,314.113297
18,56,63,88.89,6.9414,182.43,2.91,689,314.113297
19,56,63,88.89,6.9414,182.43,2.91,689,314.113297
20,56,63,88.89,6.9414,182.43,2.91,689,314.113297
21,56,63,88.89,6.9414,182.43,2.91,689,314.113297
22,56,63,88.89,6.9414,182.43,2.91,689,314.113297
23,56,63,88.89,6.9414,182.43,2.91,689,314.113297
24,56,63,88.89,6.9414,182.43,2.91,689,314.113297
25,56,63,88.89,6.9414,182.43,2.91,689,314.113297
26,56,63,88.89,6.9414,182.43,2.91,689,314.113297
27,56,63,88.89,6.9414,182.43,2.91,689,314.113297
28,56,63,88.89,6.9414,182.43,2.91,689,314.113297
29,56,63,88.89,6.9414,182.43,2.91,689,314.113297
30,56,63,88.89,6.9414,182.43,2.91,689,314.113297
31,56,63,88.89,6.9414,182.43,2.91,689,314.113297
32,56,63,88.89,6.9414,182.43,2.91,689,314.113297
33,56,63,88.89,6.9414,182.43,2.91,689,314.113297
34,56,63,88.89,6.9414,182.43,2.91,689,314.113297
35,56,63,88.89,6.9414,182.43,2.91,689,314.113297
36,56,63,88.89,6.9414,182.43,2.91,689,314.113297
37,56,63,88.89,6.9414,182.43,2.91,689,314.113297
38,56,63,88.89,6.9414,182.43,2.91,689,314.113297
39,56,63,88.89,6.9414,182.43,2.91,689,314.113297
40,56,63,88.89,6.9414,182.43,2.91,689,314.113297
41,56,63,88.89,6.9414,182.43,2.91,689,314.113297
42,56,63,88.89,6.9414,182.43,2.91,689,314.113297
43,56,63,88.89,6.9414,182.43,2.91,689,314.113297
44,56,63,88.89,6.9414,182.43,2.91,689,314.113297
45,56,63,88.89,6.9414,182.43,2.91,689,314.113297
46,56,63,88.89,6.9414,182.43,2.91,689,314.113297
47,56,63,88.89,6.9414,182.43,2.91,689,314.113297
48,56,63,88.89,6.9414,182.43,2.91,689,314.113297
49,56,63,88.89,6.9414,182.43,2.91,689,314.113297
50,56,63,88.89,6.9414,182.43,2.91,689,314.113297
51,56,63,88.89,6.9414,182.43,2.91,689,314.113297
