symbol,window,turtle_eq,turtle_dd,turtle_sharpe,turtle_n,ctrend_eq,ctrend_dd,ctrend_sharpe,ctrend_n,sleeve_eq,sleeve_dd,sleeve_sharpe,sleeve_n,dd_improvement,sharpe_ratio
BTCUSDT,0,0.8989,14.92,-5.3740,8,0.8178,18.82,-26.7182,5,0.8786,15.89,-10.7101,13,-0.98,1.9929
BTCUSDT,1,1.3821,39.58,4.9370,9,0.9612,9.90,-3.3158,3,1.2769,32.16,2.8738,12,7.42,0.5821
BTCUSDT,2,1.1423,28.84,3.3194,8,1.1773,27.36,4.8082,4,1.1511,28.47,3.6916,12,0.37,1.1121
BTCUSDT,3,2.2238,64.36,7.8727,15,1.5267,40.99,10.6204,4,2.0495,58.52,8.5596,19,5.84,1.0873
BTCUSDT,4,0.8705,16.54,-1.8843,9,1.0641,23.71,2.3621,5,0.9189,18.33,-0.8227,14,-1.79,0.4366
BTCUSDT,5,0.8299,21.06,-9.9000,5,0.7705,22.95,0.0000,5,0.8151,21.53,-7.4250,10,-0.47,0.7500
ETHUSDT,0,0.6881,31.19,-9.6756,7,0.9010,9.90,0.0000,2,0.7413,25.87,-7.2567,9,5.32,0.7500
ETHUSDT,1,0.9751,19.29,0.5835,9,0.9723,7.34,-1.9365,3,0.9744,16.30,-0.0465,12,2.99,-0.0797
ETHUSDT,2,1.7493,45.30,10.7965,8,0.8170,18.82,-27.2636,5,1.5162,38.68,1.2815,13,6.62,0.1187
ETHUSDT,3,3.5241,71.62,7.0867,15,0.8552,14.48,0.0000,3,2.8569,57.34,5.3150,18,14.29,0.7500
ETHUSDT,4,1.2180,29.60,5.0432,6,0.9937,26.39,0.8516,7,1.1619,28.80,3.9953,13,0.80,0.7922
ETHUSDT,5,0.9929,32.15,0.9397,7,0.8399,18.82,-15.6457,5,0.9547,28.82,-3.2066,12,3.33,-3.4124
SOLUSDT,0,3.1264,84.12,6.3980,11,0.9010,9.90,0.0000,2,2.5700,65.57,4.7985,13,18.55,0.7500
SOLUSDT,1,4.2525,76.48,12.2613,6,0.8118,18.82,0.0000,4,3.3923,62.07,9.1960,10,14.42,0.7500
SOLUSDT,2,0.8808,38.75,-0.2983,5,0.8552,14.48,0.0000,3,0.8744,32.68,-0.2237,8,6.07,0.7500
SOLUSDT,3,1.9253,49.54,8.2704,8,0.7314,26.86,0.0000,6,1.6269,43.87,6.2028,14,5.67,0.7500
SOLUSDT,4,1.4929,47.26,7.5998,8,0.8118,18.82,0.0000,4,1.3226,40.15,5.6998,12,7.11,0.7500
SOLUSDT,5,1.2331,22.62,4.4349,9,1.5821,40.00,8.7663,5,1.3203,26.96,5.5177,14,-4.35,1.2442
XRPUSDT,0,0.9262,7.38,-9.5793,4,0.6590,34.10,0.0000,8,0.8594,14.06,-7.1845,12,-6.68,0.7500
XRPUSDT,1,0.6394,36.06,-13.7653,8,0.7705,22.95,0.0000,5,0.6722,32.78,-10.3240,13,3.28,0.7500
XRPUSDT,2,1.1197,20.00,2.9287,8,0.7340,26.86,-35.9529,7,1.0232,21.71,-6.7917,15,-1.72,-2.3191
XRPUSDT,3,5.1662,81.83,9.6403,6,5.8645,84.64,9.6362,6,5.3407,82.54,9.6392,12,-0.70,0.9999
XRPUSDT,4,0.8881,45.21,0.5580,7,0.7705,22.95,0.0000,5,0.8587,39.64,0.4185,12,5.57,0.7500
XRPUSDT,5,1.2817,28.54,7.0469,5,0.7314,26.86,0.0000,6,1.1441,28.12,5.2852,11,0.42,0.7500
DOGEUSDT,0,0.9853,10.08,-0.3321,5,1.1902,31.80,4.0379,5,1.0365,15.51,0.7604,10,-5.43,-2.2894
DOGEUSDT,1,0.5845,41.55,-7.4698,12,1.1116,14.61,8.6057,2,0.7163,34.81,-3.4509,14,6.74,0.4620
DOGEUSDT,2,1.9224,73.66,4.5043,8,0.8552,14.48,0.0000,3,1.6556,58.86,3.3782,11,14.80,0.7500
DOGEUSDT,3,1.1132,25.55,4.6357,3,0.8604,14.48,-23.5763,4,1.0500,22.78,-2.4173,7,2.77,-0.5215
DOGEUSDT,4,0.8266,17.34,-6.6989,7,0.6590,34.10,0.0000,8,0.7847,21.53,-5.0242,15,-4.19,0.7500
DOGEUSDT,5,0.7890,26.28,-2.5449,11,0.8552,14.48,0.0000,3,0.8055,23.33,-1.9086,14,2.95,0.7500
