cooldown,pass_count,total_windows,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,win_rate_pct
0,47,60,78.3333,1.293944,20.5405,11.8654,3118,49.2303
1,47,60,78.3333,1.293944,20.5405,11.8654,3118,49.2303
2,45,60,75.0000,1.179627,18.3715,12.6818,2858,48.8104
3,42,60,70.0000,0.974325,15.2741,12.0685,2634,48.0638
4,42,60,70.0000,0.971734,14.2138,11.8414,2506,48.0447
5,41,60,68.3333,0.860609,12.2086,12.3532,2393,47.2628
6,44,60,73.3333,1.003428,13.5031,11.0332,2252,48.5790
7,42,60,70.0000,1.024278,14.6336,10.6859,2129,48.2856
8,37,60,61.6667,0.981022,14.2013,10.9209,2086,48.8495
9,45,60,75.0000,1.091889,14.3239,10.3477,2001,50.5247
10,44,60,73.3333,1.101694,14.9758,10.4694,1955,50.6394
11,42,60,70.0000,0.929413,13.5647,10.5150,1921,50.3384
12,40,60,66.6667,0.908077,13.5007,10.4319,1872,50.1603
13,43,60,71.6667,1.090237,15.2891,10.1541,1835,51.1172
14,42,60,70.0000,1.078329,15.0451,10.3110,1811,50.9111
15,42,60,70.0000,1.135566,15.2640,9.8450,1772,51.0158
16,41,60,68.3333,1.123737,14.5511,9.9821,1761,50.2555
17,41,60,68.3333,1.084740,14.1663,10.1929,1709,50.5559
18,41,60,68.3333,1.134284,14.8820,9.9921,1676,50.7160
19,45,60,75.0000,1.114714,14.5573,10.1358,1653,50.6957
20,44,60,73.3333,1.084177,14.0225,10.1373,1642,50.0000
21,42,60,70.0000,1.025191,12.9599,10.1709,1622,50.0617
22,47,60,78.3333,1.239178,14.7937,9.1667,1567,52.0102
23,51,60,85.0000,1.149415,13.4777,8.6155,1539,52.1767
24,48,60,80.0000,1.084591,13.1537,8.6498,1521,52.3340
25,50,60,83.3333,1.217169,14.1398,7.8737,1481,53.7475
26,48,60,80.0000,1.223334,14.6024,7.8681,1448,54.2127
27,48,60,80.0000,1.162896,13.7895,8.0053,1438,54.1725
28,51,60,85.0000,1.235379,14.0351,7.9539,1425,54.3158
29,49,60,81.6667,1.197073,13.8870,7.6036,1404,54.2023
30,50,60,83.3333,1.242754,13.3220,7.6154,1366,55.0512
31,47,60,78.3333,1.054690,11.3347,7.7551,1363,52.6779
32,47,60,78.3333,1.054302,11.3932,7.8383,1334,51.7991
33,45,60,75.0000,0.952908,10.4045,7.9759,1325,51.1698
34,47,60,78.3333,0.948783,10.7271,7.4306,1293,52.2042
35,48,60,80.0000,1.014237,11.2014,7.3045,1280,51.9531
36,46,60,76.6667,1.027638,11.2501,7.2927,1246,52.0867
37,47,60,78.3333,1.075980,11.8910,7.2338,1235,53.2794
38,43,60,71.6667,1.030767,11.1755,7.1869,1197,53.8012
39,41,60,68.3333,0.869795,9.5580,7.6541,1191,51.8052
40,48,60,80.0000,1.137525,10.9677,7.2860,1165,54.7639
41,47,60,78.3333,1.021244,10.3420,7.2697,1162,54.0448
42,46,60,76.6667,0.921825,9.4767,7.3634,1159,51.7688
43,47,60,78.3333,1.023694,10.2289,7.1958,1150,53.0435
44,51,60,85.0000,1.077443,10.8971,7.0835,1141,53.1989
45,51,60,85.0000,1.121880,11.3743,7.0660,1136,53.9613
46,51,60,85.0000,1.052870,10.6116,7.1119,1119,53.8874
47,51,60,85.0000,0.941257,9.5761,7.4389,1112,53.1475
48,50,60,83.3333,0.928490,9.5667,7.5219,1105,53.3937
49,49,60,81.6667,0.893739,9.4238,7.5515,1098,52.9144
50,49,60,81.6667,0.890434,9.7176,7.4900,1071,53.0345
51,50,60,83.3333,0.990898,10.6995,7.3556,1049,53.2888
52,51,60,85.0000,1.114319,11.1780,6.9618,1034,55.3191
53,58,60,96.6667,1.389177,13.2120,6.3170,1020,57.4510
54,57,60,95.0000,1.397946,13.3437,6.3606,1011,57.7646
55,57,60,95.0000,1.481834,14.2945,5.9142,1005,59.3035
56,57,60,95.0000,1.409807,13.4906,6.0325,999,58.6587
57,57,60,95.0000,1.358428,13.0374,5.9427,995,57.4874
58,58,60,96.6667,1.408763,13.0764,6.0775,995,57.0854
59,56,60,93.3333,1.393278,13.1498,5.9897,992,56.0484
60,55,60,91.6667,1.349550,12.6798,6.0093,988,56.1741
61,53,60,88.3333,1.292229,12.5518,6.0690,988,55.1619
62,53,60,88.3333,1.370777,13.1736,5.9911,975,55.8974
63,53,60,88.3333,1.259927,12.1487,6.0201,970,54.6392
64,52,60,86.6667,1.242856,11.7690,5.9577,964,55.3942
65,49,60,81.6667,1.217925,11.3742,6.0536,944,56.2500
66,48,60,80.0000,1.132115,10.9303,6.1501,932,55.1502
67,46,60,76.6667,1.162578,11.3242,6.0520,923,55.6880
68,46,60,76.6667,1.024734,10.3211,6.2728,912,53.5088
69,45,60,75.0000,0.999045,10.0010,6.3087,903,53.5991
70,43,60,71.6667,0.933758,9.3463,6.4073,897,53.4002
71,45,60,75.0000,0.948662,9.4163,6.3914,891,54.0965
72,43,60,71.6667,0.897979,8.8682,6.3914,891,53.3109
73,42,60,70.0000,0.848246,8.6092,6.2738,891,52.0763
74,42,60,70.0000,0.794908,8.6764,6.3576,891,51.2907
75,41,60,68.3333,0.955904,9.7365,6.0660,870,53.9080
76,40,60,66.6667,0.882473,9.4809,6.1151,868,53.9171
77,41,60,68.3333,0.827674,8.7690,5.7135,859,51.9208
78,43,60,71.6667,0.765112,8.0022,5.8946,848,52.3585
79,44,60,73.3333,0.816255,8.2606,5.6632,842,52.6128
80,43,60,71.6667,0.842674,8.6780,5.6203,840,53.5714
81,39,60,65.0000,0.758700,7.6853,5.5819,826,51.8160
82,38,60,63.3333,0.722716,7.4214,5.4962,824,51.6990
83,37,60,61.6667,0.649183,7.1297,5.5240,819,51.6484
