cooldown,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0,Base5,0,1.58195644,58.1956,2.211591,11.6075,56,50.0000,true
0,Base5,1,1.43482925,43.4829,2.785510,7.8958,78,50.0000,true
0,Base5,2,1.75563507,75.5635,3.549082,7.7924,70,62.8571,true
0,Base5,3,1.11939203,11.9392,0.966165,15.4150,38,52.6316,true
0,Base5,4,0.93038003,-6.9620,-0.193137,22.6008,66,48.4848,false
0,Base5,5,1.19046288,19.0463,1.750804,7.0809,56,50.0000,true
0,NoDOGE,0,1.32873602,32.8736,1.961129,10.5910,45,51.1111,true
0,NoDOGE,1,1.43344303,43.3443,2.833095,6.1297,72,51.3889,true
0,NoDOGE,2,1.52836876,52.8369,2.870720,10.9714,63,60.3175,true
0,NoDOGE,3,1.07225404,7.2254,0.646802,16.6968,33,51.5152,true
0,NoDOGE,4,0.89354563,-10.6454,-0.483462,23.4920,55,47.2727,false
0,NoDOGE,5,1.13462352,13.4624,1.418834,5.8094,43,48.8372,true
0,Legacy4,0,1.45405237,45.4052,2.426201,6.8028,42,52.3810,true
0,Legacy4,1,1.52051487,52.0515,3.733715,5.7687,66,60.6061,true
0,Legacy4,2,1.50419093,50.4191,2.618899,7.1451,46,54.3478,true
0,Legacy4,3,1.07220103,7.2201,0.649564,8.1814,31,54.8387,true
0,Legacy4,4,0.85308901,-14.6911,-0.871216,31.0126,56,41.0714,false
0,Legacy4,5,1.00539381,0.5394,0.131725,9.0365,39,35.8974,true
0,Legacy4,6,1.05180812,5.1808,0.734631,8.3397,58,48.2759,true
0,Legacy5BNB,0,1.55553382,55.5534,2.569857,6.8028,49,55.1020,true
0,Legacy5BNB,1,1.41735188,41.7352,2.993258,6.0999,76,53.9474,true
0,Legacy5BNB,2,1.72039704,72.0397,3.049784,7.1014,58,56.8966,true
0,Legacy5BNB,3,1.02999472,2.9995,0.308409,13.3995,38,52.6316,true
0,Legacy5BNB,4,0.96398483,-3.6015,-0.098100,29.8324,59,45.7627,false
0,Legacy5BNB,5,1.00731889,0.7319,0.160950,8.6200,44,36.3636,true
0,Legacy5BNB,6,1.08023892,8.0239,1.047410,7.9968,71,49.2958,true
0,OldGuardNoBNB,0,1.40319530,40.3195,2.164051,7.8431,45,53.3333,true
0,OldGuardNoBNB,1,1.44619262,44.6193,3.277118,6.5628,68,57.3529,true
0,OldGuardNoBNB,2,1.52951806,52.9518,2.643689,7.5704,55,50.9091,true
0,OldGuardNoBNB,3,1.18516370,18.5164,1.116137,10.4870,45,48.8889,true
0,OldGuardNoBNB,4,0.87673083,-12.3269,-0.609252,33.2587,62,40.3226,false
0,OldGuardNoBNB,5,0.99855274,-0.1447,0.029062,9.5980,47,36.1702,false
0,OldGuardNoBNB,6,1.01313206,1.3132,0.225513,11.5248,66,45.4545,true
0,LargeCaps5,0,1.39572797,39.5728,2.212465,7.5934,54,51.8519,true
0,LargeCaps5,1,1.32549718,32.5497,2.146551,7.2722,83,48.1928,true
0,LargeCaps5,2,1.77686992,77.6870,3.488341,9.7969,74,60.8108,true
0,LargeCaps5,3,1.03004564,3.0046,0.323533,15.9978,40,50.0000,true
0,LargeCaps5,4,1.01516260,1.5163,0.215441,21.2526,60,50.0000,true
0,LargeCaps5,5,1.12825550,12.8255,1.363789,6.2616,48,47.9167,true
0,Legacy3,0,1.26894761,26.8948,2.073742,6.2433,34,50.0000,true
0,Legacy3,1,1.40393779,40.3938,3.796502,4.7516,56,60.7143,true
0,Legacy3,2,1.32395019,32.3950,2.171710,6.2461,36,52.7778,true
0,Legacy3,3,1.05057887,5.0579,0.503567,8.1814,26,53.8462,true
0,Legacy3,4,0.87764835,-12.2352,-1.012462,25.9335,45,37.7778,false
0,Legacy3,5,1.01032134,1.0321,0.221376,9.3180,34,32.3529,true
0,Legacy3,6,1.03481086,3.4811,0.604477,6.4951,48,47.9167,true
0,LowVolume5,0,1.31488741,31.4887,1.997341,9.0450,46,54.3478,true
0,LowVolume5,1,1.27835508,27.8355,2.268204,12.2804,65,52.3077,true
0,LowVolume5,2,1.27693956,27.6940,1.825865,6.4931,48,47.9167,true
0,LowVolume5,3,0.95063787,-4.9362,-0.162014,22.8300,45,42.2222,false
0,LowVolume5,4,0.81925410,-18.0746,-1.352025,30.9725,50,40.0000,false
0,LowVolume5,5,1.13970730,13.9707,1.420880,10.4575,48,39.5833,true
0,LowVolume5,6,0.89362268,-10.6377,-1.681120,12.4572,47,36.1702,false
0,OldGuard4,0,1.20436036,20.4360,1.558759,8.4533,38,50.0000,true
0,OldGuard4,1,1.33474583,33.4746,3.175301,5.1868,59,57.6271,true
0,OldGuard4,2,1.39043349,39.0433,2.428094,7.5704,46,50.0000,true
0,OldGuard4,3,1.16126352,16.1264,1.017590,9.1335,40,47.5000,true
0,OldGuard4,4,0.88315494,-11.6845,-0.780191,30.1078,52,36.5385,false
0,OldGuard4,5,0.99166244,-0.8338,-0.084500,10.5729,43,32.5581,false
0,OldGuard4,6,0.95133944,-4.8661,-0.723139,11.9510,57,40.3509,false
1,Base5,0,1.58195644,58.1956,2.211591,11.6075,56,50.0000,true
1,Base5,1,1.43482925,43.4829,2.785510,7.8958,78,50.0000,true
1,Base5,2,1.75563507,75.5635,3.549082,7.7924,70,62.8571,true
1,Base5,3,1.11939203,11.9392,0.966165,15.4150,38,52.6316,true
1,Base5,4,0.93038003,-6.9620,-0.193137,22.6008,66,48.4848,false
1,Base5,5,1.19046288,19.0463,1.750804,7.0809,56,50.0000,true
1,NoDOGE,0,1.32873602,32.8736,1.961129,10.5910,45,51.1111,true
1,NoDOGE,1,1.43344303,43.3443,2.833095,6.1297,72,51.3889,true
1,NoDOGE,2,1.52836876,52.8369,2.870720,10.9714,63,60.3175,true
1,NoDOGE,3,1.07225404,7.2254,0.646802,16.6968,33,51.5152,true
1,NoDOGE,4,0.89354563,-10.6454,-0.483462,23.4920,55,47.2727,false
1,NoDOGE,5,1.13462352,13.4624,1.418834,5.8094,43,48.8372,true
1,Legacy4,0,1.45405237,45.4052,2.426201,6.8028,42,52.3810,true
1,Legacy4,1,1.52051487,52.0515,3.733715,5.7687,66,60.6061,true
1,Legacy4,2,1.50419093,50.4191,2.618899,7.1451,46,54.3478,true
1,Legacy4,3,1.07220103,7.2201,0.649564,8.1814,31,54.8387,true
1,Legacy4,4,0.85308901,-14.6911,-0.871216,31.0126,56,41.0714,false
1,Legacy4,5,1.00539381,0.5394,0.131725,9.0365,39,35.8974,true
1,Legacy4,6,1.05180812,5.1808,0.734631,8.3397,58,48.2759,true
1,Legacy5BNB,0,1.55553382,55.5534,2.569857,6.8028,49,55.1020,true
1,Legacy5BNB,1,1.41735188,41.7352,2.993258,6.0999,76,53.9474,true
1,Legacy5BNB,2,1.72039704,72.0397,3.049784,7.1014,58,56.8966,true
1,Legacy5BNB,3,1.02999472,2.9995,0.308409,13.3995,38,52.6316,true
