rank,symbol,entry_date,weekday,exit_date,bars_held,exit_reason,trade_pct_return,account_equity_mult,log_contribution,size,hedge_active_trade,btc_trend_regime,btc_21d_return,btc_sma50_over_sma200,btc_atr_pct_ap17_lb41,symbol_atr24_pct_252,btc_realized_vol21,btc_vol_regime,dv_rank_vl92,dv_top3_excluded,weekend_excluded,atr_t24_excluded,atr_t65_excluded,low_vol_excluded,hedge_atr38_pct_252tr,hedge_active_calc,plausible_filters_that_would_exclude
1,SOLUSDT,2023-01-11,Wed,2023-01-14,3,TURTLE_ATR,0.4804777356,1.1601592452,0.14855727604101665,0.333333,false,bear,0.06648510788027351,-0.13478182898587276,14.634146341463415,14.682539682539682,0.008509700236046403,low_vol_q1,5,True,False,True,True,True,15.079365079365079,False,DV top-3 gate(rank 5); ATR_RANK>=24(14.6); ATR_RANK>=65(14.6); low-vol/chop filter
2,DOGEUSDT,2022-10-28,Fri,2022-10-29,1,TURTLE_ATR,0.4506096453,1.1502032151,0.13993863554660943,0.333333,false,bear,0.0543648288359142,-0.20882775008137267,21.951219512195124,19.444444444444443,0.015461982228110627,low_vol_q1,5,True,False,True,True,True,21.03174603174603,False,DV top-3 gate(rank 5); ATR_RANK>=24(22.0); ATR_RANK>=65(22.0); low-vol/chop filter
3,SOLUSDT,2021-07-30,Fri,2021-08-11,12,HOLD_MAX,0.2853964429,1.0951321476,0.09087503872661416,0.333333,false,bear,0.24812535911456823,-0.22157267623508603,19.51219512195122,61.507936507936506,0.031925990948483904,mid_vol,6,True,False,True,True,False,30.555555555555557,False,DV top-3 gate(rank 6); ATR_RANK>=24(19.5); ATR_RANK>=65(19.5)
4,SOLUSDT,2021-08-27,Fri,2021-08-30,3,TURTLE_ATR,0.2521236107,1.0840412036,0.08069591299617308,0.333333,false,chop,0.14550619594755632,-0.12254200773727009,9.75609756097561,91.26984126984127,0.03361948967040489,mid_vol,6,True,False,True,True,False,37.698412698412696,False,DV top-3 gate(rank 6); ATR_RANK>=24(9.8); ATR_RANK>=65(9.8)
5,BTCUSDT,2021-10-04,Mon,2021-10-15,11,TURTLE_ATR,0.2518674841,1.083955828,0.08061715310969739,0.333333,false,bull,0.09533022716809447,0.03661122170383524,56.09756097560975,27.38095238095238,0.04191698955960882,high_vol_q4,1,False,False,False,True,False,43.65079365079365,False,ATR_RANK>=65(56.1)
6,ADAUSDT,2021-08-04,Wed,2021-08-10,6,TURTLE_ATR,0.2180589442,1.0726863147,0.07016607673246318,0.333333,false,bear,0.21033381454368416,-0.2202800551040246,53.65853658536585,36.904761904761905,0.034100286915103376,mid_vol,4,True,False,False,True,False,27.38095238095238,False,DV top-3 gate(rank 4); ATR_RANK>=65(53.7)
7,XRPUSDT,2024-11-28,Thu,2024-12-01,3,TURTLE_ATR,0.4861978949,1.064826386,0.06281176803216049,0.133333,true,bull,0.26083100914090807,0.1664644170869629,70.73170731707317,100.0,0.031919534256972956,mid_vol,5,True,False,False,False,False,76.58730158730158,True,DV top-3 gate(rank 5)
8,SOLUSDT,2021-08-13,Fri,2021-08-15,2,TURTLE_ATR,0.1931338908,1.0643779636,0.06239055678795631,0.333333,false,chop,0.4211771449740429,-0.1907293412649288,43.90243902439025,65.47619047619048,0.03363925551906942,mid_vol,6,True,False,False,True,False,31.349206349206348,False,DV top-3 gate(rank 6); ATR_RANK>=65(43.9)
9,XRPUSDT,2021-08-10,Tue,2021-08-11,1,TURTLE_ATR,0.1863375904,1.0621125301,0.06025987775246437,0.333333,false,chop,0.5301931665791104,-0.20340848400854616,70.73170731707317,24.206349206349206,0.032683021071108466,mid_vol,5,True,False,False,False,False,29.761904761904763,False,DV top-3 gate(rank 5)
10,ETHUSDT,2021-07-28,Wed,2021-08-04,7,TURTLE_ATR,0.1832765646,1.0610921882,0.05929874388746001,0.333333,false,bear,0.18183858541638842,-0.22447373668551007,12.195121951219512,40.476190476190474,0.031741021183395265,mid_vol,2,False,False,True,True,False,34.523809523809526,False,ATR_RANK>=24(12.2); ATR_RANK>=65(12.2)
