universe,window,equity
Base5,0,3.779921
Base5,1,2.691850
Base5,2,1.573721
Base5,3,3.806095
Base5,4,1.218350
Base5,5,1.416347
Base5,6,1.063951
NoDOGE,0,3.779921
NoDOGE,1,1.142086
NoDOGE,2,1.532703
NoDOGE,3,3.806095
NoDOGE,4,1.218350
NoDOGE,5,1.416347
NoDOGE,6,1.332741
Legacy4,0,1.244013
Legacy4,1,1.076920
Legacy4,2,3.182821
Legacy4,3,2.307401
Legacy4,4,0.980272
Legacy4,5,1.260784
Legacy4,6,1.351446
Legacy5BNB,0,1.385968
Legacy5BNB,1,0.996098
Legacy5BNB,2,3.321567
Legacy5BNB,3,3.042840
Legacy5BNB,4,0.970500
Legacy5BNB,5,1.227579
Legacy5BNB,6,1.351446
OldGuardNoBNB,0,1.443086
OldGuardNoBNB,1,1.139659
OldGuardNoBNB,2,3.182821
OldGuardNoBNB,3,2.307401
OldGuardNoBNB,4,1.084869
OldGuardNoBNB,5,0.633930
OldGuardNoBNB,6,1.351446
LargeCaps5,0,3.335520
LargeCaps5,1,1.142086
LargeCaps5,2,1.532703
LargeCaps5,3,4.018126
LargeCaps5,4,1.218350
LargeCaps5,5,1.416347
LargeCaps5,6,1.332741
Legacy3,0,1.783807
Legacy3,1,1.394228
Legacy3,2,2.298595
Legacy3,3,1.818661
Legacy3,4,0.911706
Legacy3,5,1.488508
Legacy3,6,1.179694
LowVolume5,0,1.101867
LowVolume5,1,0.909608
LowVolume5,2,1.976512
LowVolume5,3,1.512049
LowVolume5,4,0.760915
LowVolume5,5,0.533663
LowVolume5,6,1.216205
OldGuard4,0,0.998955
OldGuard4,1,1.075002
OldGuard4,2,2.298595
OldGuard4,3,1.818661
OldGuard4,4,1.234133
OldGuard4,5,0.761009
OldGuard4,6,1.166326
