threshold,pass_count,total_trades,avg_return_pct,avg_sharpe,avg_dd_pct
0.0,52,750,68.1125,5.169149,19.6217
1.0,53,723,61.2122,5.580810,19.0915
2.0,53,723,61.2122,5.580810,19.0915
3.0,55,702,69.8691,6.771601,17.0767
4.0,55,702,69.8691,6.771601,17.0767
5.0,55,690,69.6126,7.133739,16.6429
6.0,55,690,69.6126,7.133739,16.6429
7.0,55,690,69.6126,7.133739,16.6429
8.0,53,665,58.5793,6.325538,18.2188
9.0,53,665,58.5793,6.325538,18.2188
10.0,50,651,60.0487,5.050293,20.6099
11.0,50,651,60.0487,5.050293,20.6099
12.0,50,651,60.0487,5.050293,20.6099
13.0,50,629,59.6916,4.784707,20.5618
14.0,50,629,59.6916,4.784707,20.5618
15.0,51,609,61.7992,5.249263,18.2986
16.0,51,609,61.7992,5.249263,18.2986
17.0,51,609,61.7992,5.249263,18.2986
18.0,51,588,58.6660,5.568679,16.9103
19.0,51,588,58.6660,5.568679,16.9103
20.0,49,579,57.2492,5.663489,16.5840
21.0,49,579,57.2492,5.663489,16.5840
22.0,49,571,49.2218,5.864422,16.1840
23.0,49,571,49.2218,5.864422,16.1840
24.0,49,571,49.2218,5.864422,16.1840
25.0,48,567,44.5169,5.557576,16.2663
26.0,48,567,44.5169,5.557576,16.2663
27.0,46,544,45.7872,5.909774,15.4910
28.0,46,544,45.7872,5.909774,15.4910
29.0,46,544,45.7872,5.909774,15.4910
30.0,45,538,37.4939,4.835134,16.6514
31.0,45,538,37.4939,4.835134,16.6514
32.0,46,523,34.3608,4.433696,17.1626
33.0,46,523,34.3608,4.433696,17.1626
34.0,46,523,34.3608,4.433696,17.1626
35.0,47,517,46.1014,5.027951,16.2614
36.0,47,517,46.1014,5.027951,16.2614
37.0,45,512,39.1192,4.240217,17.6794
38.0,45,512,39.1192,4.240217,17.6794
39.0,45,512,39.1192,4.240217,17.6794
40.0,45,506,37.8009,4.074268,17.3007
41.0,45,506,37.8009,4.074268,17.3007
42.0,46,498,38.3365,4.492406,16.9001
43.0,46,498,38.3365,4.492406,16.9001
44.0,44,483,37.8907,4.319702,16.8346
45.0,44,483,37.8907,4.319702,16.8346
46.0,44,483,37.8907,4.319702,16.8346
47.0,45,466,46.1834,5.800418,14.5123
48.0,45,466,46.1834,5.800418,14.5123
49.0,47,456,46.8450,6.559336,11.7347
50.0,47,456,46.8450,6.559336,11.7347
51.0,47,456,46.8450,6.559336,11.7347
52.0,46,455,44.7406,6.434342,11.8159
53.0,46,455,44.7406,6.434342,11.8159
54.0,43,435,43.5638,6.410201,11.8303
55.0,43,435,43.5638,6.410201,11.8303
56.0,43,435,43.5638,6.410201,11.8303
57.0,46,404,48.2872,7.859192,8.9390
58.0,46,404,48.2872,7.859192,8.9390
59.0,43,390,32.9175,7.192623,9.8709
60.0,43,390,32.9175,7.192623,9.8709
61.0,41,389,28.9120,6.073736,10.1740
62.0,41,389,28.9120,6.073736,10.1740
63.0,41,389,28.9120,6.073736,10.1740
64.0,39,375,27.5952,5.853680,10.4697
65.0,39,375,27.5952,5.853680,10.4697
66.0,39,368,27.5347,5.060658,9.7291
67.0,39,368,27.5347,5.060658,9.7291
68.0,39,368,27.5347,5.060658,9.7291
69.0,38,359,22.8026,4.284602,9.8378
70.0,38,359,22.8026,4.284602,9.8378
71.0,38,352,25.0811,3.118458,10.0520
72.0,38,352,25.0811,3.118458,10.0520
73.0,38,352,25.0811,3.118458,10.0520
74.0,36,338,27.0111,3.913539,10.2063
75.0,36,338,27.0111,3.913539,10.2063
76.0,39,328,26.6697,4.511162,9.3691
77.0,39,328,26.6697,4.511162,9.3691
78.0,39,328,26.6697,4.511162,9.3691
79.0,44,311,30.5452,-1265921613719232.500000,7.2581
80.0,44,311,30.5452,-1265921613719232.500000,7.2581
81.0,44,306,30.2914,-1265921613719231.750000,7.0862
82.0,44,306,30.2914,-1265921613719231.750000,7.0862
83.0,42,289,30.7060,-1265921613719231.500000,7.1688
84.0,42,289,30.7060,-1265921613719231.500000,7.1688
85.0,42,289,30.7060,-1265921613719231.500000,7.1688
86.0,40,280,25.8000,-1265921613719232.250000,7.1828
87.0,40,280,25.8000,-1265921613719232.250000,7.1828
88.0,39,273,25.8763,-1265921613719232.750000,7.1734
89.0,39,273,25.8763,-1265921613719232.750000,7.1734
90.0,39,273,25.8763,-1265921613719232.750000,7.1734
91.0,39,253,19.5372,-3071233921991286.500000,7.0244
92.0,39,253,19.5372,-3071233921991286.500000,7.0244
93.0,41,211,19.3295,-1805312308272042.000000,4.9656
94.0,41,211,19.3295,-1805312308272042.000000,4.9656
95.0,41,211,19.3295,-1805312308272042.000000,4.9656
96.0,28,181,9.8577,8683583610253972.000000,4.4652
97.0,28,181,9.8577,8683583610253972.000000,4.4652
98.0,0,0,0.0000,0.000000,0.0000
99.0,0,0,0.0000,0.000000,0.0000
100.0,0,0,0.0000,0.000000,0.0000
