universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,pass
Base5,0,0.0,567.9122,15.523394,13.6959,11,1
Base5,1,0.0,184.7368,5.282998,20.3498,13,1
Base5,2,0.0,62.0812,10.666554,8.3326,13,1
Base5,3,0.0,288.9293,17.205865,10.4750,14,1
Base5,4,0.0,5.3539,1.995893,16.4264,10,1
Base5,5,0.0,13.6104,2.746733,32.8324,13,1
Base5,6,0.0,-9.4940,-0.757842,33.6464,11,0
NoDOGE,0,0.0,363.1859,12.609764,16.5972,11,1
NoDOGE,1,0.0,20.8069,8.157131,10.4424,10,1
NoDOGE,2,0.0,57.8566,10.581496,8.1217,12,1
NoDOGE,3,0.0,288.9293,17.205865,10.4750,14,1
NoDOGE,4,0.0,5.3539,1.995893,16.4264,10,1
NoDOGE,5,0.0,13.6104,2.746733,32.8324,13,1
NoDOGE,6,0.0,28.7882,7.633461,5.3993,10,1
Legacy4,0,0.0,33.9209,6.468658,12.8248,12,1
Legacy4,1,0.0,8.1266,2.370141,19.0987,13,1
Legacy4,2,0.0,227.8061,11.470560,11.8602,14,1
Legacy4,3,0.0,118.9547,12.544082,10.4750,13,1
Legacy4,4,0.0,-17.9745,-6.953698,17.9745,8,0
Legacy4,5,0.0,23.3032,3.412296,44.3709,13,1
Legacy4,6,0.0,30.5957,5.425142,14.1112,12,1
Legacy5BNB,0,0.0,49.2026,10.312034,5.9564,10,1
Legacy5BNB,1,0.0,1.3644,0.910672,19.0987,13,1
Legacy5BNB,2,0.0,242.0959,12.617574,11.8602,13,1
Legacy5BNB,3,0.0,95.6450,8.401677,19.6252,12,1
Legacy5BNB,4,0.0,-18.8918,-10.354928,18.8918,5,0
Legacy5BNB,5,0.0,-11.3098,-0.911008,35.1706,12,0
Legacy5BNB,6,0.0,30.5957,5.425142,14.1112,12,1
OldGuardNoBNB,0,0.0,66.9263,9.269723,13.1046,12,1
OldGuardNoBNB,1,0.0,26.2358,9.419582,6.7672,10,1
OldGuardNoBNB,2,0.0,227.8061,11.470560,11.8602,14,1
OldGuardNoBNB,3,0.0,118.9547,12.544082,10.4750,13,1
OldGuardNoBNB,4,0.0,-9.2222,-2.175264,17.9745,9,0
OldGuardNoBNB,5,0.0,-38.0024,-2.747217,48.7082,13,0
OldGuardNoBNB,6,0.0,30.5957,5.425142,14.1112,12,1
LargeCaps5,0,0.0,308.7296,11.525453,16.5972,11,1
LargeCaps5,1,0.0,20.8069,8.157131,10.4424,10,1
LargeCaps5,2,0.0,57.8566,10.581496,8.1217,12,1
LargeCaps5,3,0.0,126.8950,9.514498,19.6252,13,1
LargeCaps5,4,0.0,5.3539,1.995893,16.4264,10,1
LargeCaps5,5,0.0,13.6104,2.746733,32.8324,13,1
LargeCaps5,6,0.0,28.7882,7.633461,5.3993,10,1
Legacy3,0,0.0,3.2218,1.454626,23.3622,14,1
Legacy3,1,0.0,36.9593,7.093405,18.1901,14,1
Legacy3,2,0.0,131.0383,7.849856,13.6550,14,1
Legacy3,3,0.0,66.4403,8.316693,12.4954,11,1
Legacy3,4,0.0,-23.7119,-10.187882,23.7119,8,0
