universe,filter,avg_ret,avg_sharpe,worst_dd,total_trades,pct_pass
Base5,none,2.72e2,1.201e0,4.60e1,89,8.3e1
Base5,btc_only,1.94e2,1.080e0,3.93e1,71,8.3e1
Base5,btc_or_eth,1.99e2,1.133e0,3.93e1,71,8.3e1
Base5,btc_and_eth,1.71e2,1.070e0,4.91e1,68,8.3e1

universe,filter,passes,total,pct_pass,avg_sharpe
Base5,none,5,6,8.3e1,1.201e0
Base5,btc_only,5,6,8.3e1,1.080e0
Base5,btc_or_eth,5,6,8.3e1,1.133e0
Base5,btc_and_eth,5,6,8.3e1,1.070e0
NoDOGE,none,6,6,1.0e2,1.092e0
NoDOGE,btc_only,6,6,1.0e2,1.526e0
NoDOGE,btc_or_eth,6,6,1.0e2,1.514e0
NoDOGE,btc_and_eth,6,6,1.0e2,1.591e0
Legacy4,none,5,6,8.3e1,9.434e-1
Legacy4,btc_only,4,6,6.7e1,4.310e-1
Legacy4,btc_or_eth,4,6,6.7e1,1.676e-1
Legacy4,btc_and_eth,5,6,8.3e1,7.215e-1
Legacy5BNB,none,5,6,8.3e1,9.434e-1
Legacy5BNB,btc_only,4,6,6.7e1,4.310e-1
Legacy5BNB,btc_or_eth,4,6,6.7e1,1.676e-1
Legacy5BNB,btc_and_eth,5,6,8.3e1,7.215e-1
OldGuardNoBNB,none,5,6,8.3e1,9.434e-1
OldGuardNoBNB,btc_only,4,6,6.7e1,4.310e-1
OldGuardNoBNB,btc_or_eth,4,6,6.7e1,1.676e-1
OldGuardNoBNB,btc_and_eth,5,6,8.3e1,7.215e-1
LargeCaps5,none,6,6,1.0e2,1.092e0
LargeCaps5,btc_only,6,6,1.0e2,1.526e0
LargeCaps5,btc_or_eth,6,6,1.0e2,1.514e0
LargeCaps5,btc_and_eth,6,6,1.0e2,1.591e0
Legacy3,none,5,6,8.3e1,1.150e0
Legacy3,btc_only,4,6,6.7e1,3.217e-1
Legacy3,btc_or_eth,4,6,6.7e1,3.719e-1
Legacy3,btc_and_eth,5,6,8.3e1,6.465e-1
LowVolume5,none,3,6,5.0e1,2.332e-1
LowVolume5,btc_only,2,6,3.3e1,-4.500e-1
LowVolume5,btc_or_eth,2,6,3.3e1,-5.080e-1
LowVolume5,btc_and_eth,3,6,5.0e1,-3.509e-1
OldGuard4,none,5,6,8.3e1,1.150e0
OldGuard4,btc_only,4,6,6.7e1,3.217e-1
OldGuard4,btc_or_eth,4,6,6.7e1,3.719e-1
OldGuard4,btc_and_eth,5,6,8.3e1,6.465e-1
