hold_max,pass_count,total_windows,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,win_rate_pct
5,42,60,70.0000,1.122677,21.3500,12.9799,3577,50.0419
10,42,60,70.0000,1.277704,26.0640,13.6018,3184,49.6231
15,46,60,76.6667,1.439127,29.2266,12.8459,3014,48.6397
20,47,60,78.3333,1.332990,26.9021,13.6009,2953,48.5269
25,48,60,80.0000,1.298491,26.4970,13.9335,2938,48.4343
30,50,60,83.3333,1.350937,28.5939,13.8287,2934,48.3640
35,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
40,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
45,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
50,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
55,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
60,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
65,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
70,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
75,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
80,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
85,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
90,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
95,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
100,48,60,80.0000,1.304461,27.4588,13.9898,2934,48.3640
