hold_max,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
5,Base5,0,1.65669573,65.6696,2.232184,10.3222,64,51.5625,true
5,Base5,1,1.65201439,65.2014,3.200635,11.5794,86,53.4884,true
5,Base5,2,1.78576886,78.5769,3.217387,7.9913,79,59.4937,true
5,Base5,3,1.16811562,16.8116,1.441371,7.3532,44,50.0000,true
5,Base5,4,0.94357482,-5.6425,-0.113594,21.2055,72,48.6111,false
5,Base5,5,1.06918527,6.9185,0.721873,12.4093,67,35.8209,true
5,NoDOGE,0,1.29134371,29.1344,1.717556,10.3222,53,52.8302,true
5,NoDOGE,1,1.61983668,61.9837,3.174631,10.9988,80,53.7500,true
5,NoDOGE,2,1.49588060,49.5881,2.446949,11.1635,72,56.9444,true
5,NoDOGE,3,1.12418752,12.4188,1.163603,9.2721,38,50.0000,true
5,NoDOGE,4,0.85429286,-14.5707,-0.746322,23.1107,60,48.3333,false
5,NoDOGE,5,1.00227119,0.2271,0.087187,13.6213,54,31.4815,true
5,Legacy4,0,1.35529411,35.5294,2.017387,8.5376,50,52.0000,true
5,Legacy4,1,1.63662991,63.6630,3.625408,7.0734,75,60.0000,true
5,Legacy4,2,1.40177283,40.1773,1.973431,9.7315,55,56.3636,true
5,Legacy4,3,1.01584657,1.5847,0.218484,10.3958,38,52.6316,true
5,Legacy4,4,0.80727941,-19.2721,-1.174261,31.2007,63,44.4444,false
5,Legacy4,5,0.92052590,-7.9474,-1.053828,15.9758,48,29.1667,false
5,Legacy4,6,1.19050586,19.0506,1.735935,9.7026,68,57.3529,true
5,Legacy5BNB,0,1.55187584,55.1876,2.533822,6.5984,58,53.4483,true
5,Legacy5BNB,1,1.58828558,58.8286,3.307904,5.4692,87,56.3218,true
5,Legacy5BNB,2,1.60865787,60.8658,2.457440,9.6771,69,60.8696,true
5,Legacy5BNB,3,0.97753612,-2.2464,-0.029710,13.4667,46,56.5217,false
5,Legacy5BNB,4,0.89234091,-10.7659,-0.527284,30.9847,69,46.3768,false
5,Legacy5BNB,5,0.91592504,-8.4075,-1.064171,15.2183,54,31.4815,false
5,Legacy5BNB,6,1.28608660,28.6087,2.242052,8.3792,84,57.1429,true
5,OldGuardNoBNB,0,1.35510465,35.5105,1.970856,8.5376,54,51.8519,true
5,OldGuardNoBNB,1,1.57574193,57.5742,3.368153,7.0734,77,58.4416,true
5,OldGuardNoBNB,2,1.46073484,46.0735,2.157153,10.2097,64,53.1250,true
5,OldGuardNoBNB,3,1.17482297,17.4823,1.010188,14.3475,52,48.0769,true
5,OldGuardNoBNB,4,0.77453593,-22.5464,-1.335276,35.7203,71,42.2535,false
5,OldGuardNoBNB,5,0.87912353,-12.0876,-1.508169,18.0974,58,31.0345,false
5,OldGuardNoBNB,6,1.11165866,11.1659,1.058197,10.1477,76,52.6316,true
5,LargeCaps5,0,1.42023140,42.0231,2.235575,7.5544,65,50.7692,true
5,LargeCaps5,1,1.60561125,60.5611,2.949013,9.2172,91,52.7473,true
5,LargeCaps5,2,1.75641264,75.6413,3.098284,9.3892,85,60.0000,true
5,LargeCaps5,3,1.08179123,8.1791,0.780314,9.5719,46,54.3478,true
5,LargeCaps5,4,0.94046742,-5.9533,-0.191387,22.9620,69,52.1739,false
5,LargeCaps5,5,1.00575429,0.5754,0.132988,12.4622,58,32.7586,true
