hedge_size_mult,pass_count,total_windows,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,win_rate_pct
0.1,51,60,85.0000,1.330560,14.4718,8.8497,3014,48.6397
0.15,51,60,85.0000,1.408437,15.9652,9.0980,3014,48.6397
0.2,51,60,85.0000,1.455943,17.4937,9.4367,3014,48.6397
0.25,52,60,86.6667,1.481243,19.0579,9.8154,3014,48.6397
0.3,51,60,85.0000,1.491018,20.6585,10.2122,3014,48.6397
0.35,51,60,85.0000,1.490273,22.2959,10.6638,3014,48.6397
0.4,51,60,85.0000,1.482588,23.9708,11.1740,3014,48.6397
0.45,51,60,85.0000,1.470454,25.6839,11.7053,3014,48.6397
0.5,48,60,80.0000,1.455580,27.4356,12.2636,3014,48.6397
0.55,46,60,76.6667,1.439127,29.2266,12.8459,3014,48.6397
0.6,46,60,76.6667,1.421880,31.0575,13.4320,3014,48.6397
0.65,46,60,76.6667,1.404366,32.9289,14.0163,3014,48.6397
0.7,46,60,76.6667,1.386936,34.8414,14.5996,3014,48.6397
0.75,46,60,76.6667,1.369822,36.7956,15.1800,3014,48.6397
0.8,46,60,76.6667,1.353172,38.7921,15.7617,3014,48.6397
0.85,46,60,76.6667,1.337076,40.8314,16.3521,3014,48.6397
0.9,46,60,76.6667,1.321587,42.9143,16.9398,3014,48.6397
0.95,46,60,76.6667,1.306730,45.0412,17.5346,3014,48.6397
1,46,60,76.6667,1.292512,47.2127,18.1255,3014,48.6397
