hedge_lb,universes_passed,total_universes,pass_pct,avg_sharpe,avg_return_pct,avg_dd_pct,total_trades,win_rate_pct
21,8,9,88.89,0.834039,14.6906,9.1343,2889,48.7712
42,8,9,88.89,0.935341,15.3157,8.9661,2889,48.7712
63,8,9,88.89,1.035327,15.8633,8.7209,2889,48.7712
84,8,9,88.89,0.912328,12.0147,8.6568,2889,48.7712
105,9,9,100.00,0.924367,10.6819,8.1685,2889,48.7712
126,9,9,100.00,1.189039,12.0450,6.5396,2889,48.7712
147,9,9,100.00,1.242830,10.7594,5.3062,2889,48.7712
168,9,9,100.00,1.172667,8.7945,4.1534,2889,48.7712
189,8,9,88.89,1.134640,8.5472,4.1534,2889,48.7712
210,8,9,88.89,1.134640,8.5472,4.1534,2889,48.7712
252,8,9,88.89,1.134640,8.5472,4.1534,2889,48.7712
294,8,9,88.89,1.092485,8.4496,4.3242,2889,48.7712
336,8,9,88.89,1.020442,11.9029,5.3046,2889,48.7712
378,9,9,100.00,0.994261,13.4061,6.6807,2889,48.7712
420,9,9,100.00,1.045586,17.2713,6.9888,2889,48.7712
504,8,9,88.89,1.104947,23.8977,7.4584,2889,48.7712
630,8,9,88.89,1.087838,27.2224,9.0924,2889,48.7712
