hedge_lb,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
21,Base5,0,1.47703492,47.7035,2.199786,10.5016,55,47.2727,true
21,Base5,1,1.22217730,22.2177,1.927631,5.9470,77,49.3506,true
21,Base5,2,1.61146338,61.1463,3.640972,5.1605,67,64.1791,true
21,Base5,3,1.12741623,12.7416,1.088463,15.6858,36,55.5556,true
21,Base5,4,1.00546462,0.5465,0.180211,15.7072,61,50.8197,true
21,Base5,5,1.20020432,20.0204,2.034735,6.3318,54,48.1481,true
21,Base5,6,0.99910925,-0.0891,-0.042201,3.3815,11,54.5455,false
21,NoDOGE,0,1.33219565,33.2196,2.099994,5.6809,44,47.7273,true
21,NoDOGE,1,1.22127528,22.1275,1.942862,5.4211,71,50.7042,true
21,NoDOGE,2,1.44753956,44.7540,2.973977,6.2489,60,61.6667,true
21,NoDOGE,3,1.09734289,9.7343,0.871659,16.4891,31,54.8387,true
21,NoDOGE,4,0.93181740,-6.8183,-0.240372,20.0534,50,50.0000,false
21,NoDOGE,5,1.16413850,16.4138,1.784933,5.8094,41,46.3415,true
21,NoDOGE,6,0.99910925,-0.0891,-0.042201,3.3815,11,54.5455,false
21,LargeCaps5,0,1.33219565,33.2196,2.099994,5.6809,44,47.7273,true
21,LargeCaps5,1,1.22127528,22.1275,1.942862,5.4211,71,50.7042,true
21,LargeCaps5,2,1.44753956,44.7540,2.973977,6.2489,60,61.6667,true
21,LargeCaps5,3,1.09734289,9.7343,0.871659,16.4891,31,54.8387,true
21,LargeCaps5,4,0.93181740,-6.8183,-0.240372,20.0534,50,50.0000,false
21,LargeCaps5,5,1.16413850,16.4138,1.784933,5.8094,41,46.3415,true
21,LargeCaps5,6,0.99910925,-0.0891,-0.042201,3.3815,11,54.5455,false
21,LowVolume5,0,1.45313928,45.3139,2.585836,6.0670,43,53.4884,true
21,LowVolume5,1,1.18973818,18.9738,2.058598,6.5879,51,54.9020,true
21,LowVolume5,2,1.19802910,19.8029,1.208503,10.3049,47,48.9362,true
21,LowVolume5,3,1.08174743,8.1747,0.612797,16.6310,43,46.5116,true
21,LowVolume5,4,1.08303434,8.3034,0.632220,22.8032,50,38.0000,true
21,LowVolume5,5,0.96257544,-3.7425,-0.712794,8.9470,39,33.3333,false
21,LowVolume5,6,0.93430837,-6.5692,-1.482999,8.4829,56,41.0714,false
21,LowVolume5,7,0.98310052,-1.6899,-5.620334,1.6899,5,20.0000,false
21,Legacy3,0,1.26322404,26.3224,2.432607,3.6368,23,47.8261,true
21,Legacy3,1,1.15520947,15.5209,2.472073,3.3266,43,55.8140,true
21,Legacy3,2,1.27082706,27.0827,2.551240,3.4724,28,57.1429,true
21,Legacy3,3,0.99991473,-0.0085,0.068113,8.1814,18,50.0000,false
21,Legacy3,4,0.83223945,-16.7761,-1.527383,28.1350,34,41.1765,false
21,Legacy3,5,1.02834816,2.8348,0.686084,5.3040,26,26.9231,true
21,Legacy3,6,1.00881849,0.8818,0.310084,2.7758,39,46.1538,true
21,Legacy3,7,1.08422601,8.4226,1.070245,6.6581,33,48.4848,true
21,Legacy3,8,0.99275737,-0.7243,-0.037506,6.4481,24,45.8333,false
21,Legacy3,9,0.97266162,-2.7338,-1.820682,2.8101,5,40.0000,false
21,Legacy4,0,1.48790394,48.7904,2.973911,3.3834,30,53.3333,true
21,Legacy4,1,1.27619778,27.6198,2.902493,3.8620,57,57.8947,true
21,Legacy4,2,1.48048847,48.0488,2.968389,5.8794,37,59.4595,true
21,Legacy4,3,1.01565194,1.5652,0.237341,8.1814,22,54.5455,true
21,Legacy4,4,0.79487099,-20.5129,-1.165936,31.7865,46,41.3043,false
21,Legacy4,5,1.01942129,1.9421,0.422412,5.7147,33,30.3030,true
21,Legacy4,6,1.02002442,2.0024,0.514744,4.8040,49,44.8980,true
21,Legacy4,7,1.09667571,9.6676,1.201123,5.2179,37,48.6486,true
21,Legacy4,8,1.02720318,2.7203,0.359124,9.4483,35,42.8571,true
21,Legacy4,9,0.95345213,-4.6548,-2.765441,4.7004,7,28.5714,false
21,HighBeta3,0,1.14340261,14.3403,1.049014,9.1643,32,50.0000,true
21,HighBeta3,1,1.02448533,2.4485,0.370769,9.1328,36,38.8889,true
21,HighBeta3,2,1.19374396,19.3744,2.798190,4.9794,39,69.2308,true
