hedge_atr_period,pass_count,total_windows,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,win_rate_pct
5,46,60,76.6667,1.130025,13.6431,11.2582,3014,48.6397
6,50,60,83.3333,1.344068,17.4916,10.3303,3014,48.6397
7,49,60,81.6667,1.388558,18.1641,10.4652,3014,48.6397
8,51,60,85.0000,1.385428,17.7171,10.4177,3014,48.6397
9,50,60,83.3333,1.359914,16.2592,10.3708,3014,48.6397
10,47,60,78.3333,1.277470,15.9398,10.1100,3014,48.6397
11,42,60,70.0000,1.199276,14.3194,10.1687,3014,48.6397
12,43,60,71.6667,1.262978,14.9722,10.1040,3014,48.6397
13,42,60,70.0000,1.159306,13.9779,10.2890,3014,48.6397
14,43,60,71.6667,1.225908,15.5496,10.0332,3014,48.6397
15,43,60,71.6667,1.139388,13.6597,9.9032,3014,48.6397
16,47,60,78.3333,1.250403,16.4052,10.3265,3014,48.6397
17,46,60,76.6667,1.270534,16.4397,10.1869,3014,48.6397
18,46,60,76.6667,1.228687,15.6834,10.2661,3014,48.6397
19,48,60,80.0000,1.346795,17.5794,10.0648,3014,48.6397
20,48,60,80.0000,1.292375,17.1722,10.2415,3014,48.6397
21,50,60,83.3333,1.308713,17.1269,10.0980,3014,48.6397
22,44,60,73.3333,1.210955,15.3052,10.4459,3014,48.6397
23,47,60,78.3333,1.220000,15.5988,10.4211,3014,48.6397
24,47,60,78.3333,1.296397,16.4129,10.2665,3014,48.6397
25,47,60,78.3333,1.325349,16.7548,10.2645,3014,48.6397
26,46,60,76.6667,1.244416,16.2062,10.1939,3014,48.6397
27,43,60,71.6667,1.198838,16.0241,10.2599,3014,48.6397
28,42,60,70.0000,1.225023,16.4116,10.4048,3014,48.6397
29,40,60,66.6667,1.172527,15.5953,10.9243,3014,48.6397
30,44,60,73.3333,1.283973,16.5769,10.3267,3014,48.6397
31,44,60,73.3333,1.274048,16.0014,10.3669,3014,48.6397
32,44,60,73.3333,1.276383,16.4664,10.3774,3014,48.6397
33,46,60,76.6667,1.290186,16.5512,10.1542,3014,48.6397
34,49,60,81.6667,1.352765,17.3571,10.0083,3014,48.6397
35,50,60,83.3333,1.387875,17.3495,9.7581,3014,48.6397
36,50,60,83.3333,1.347490,16.8855,10.0741,3014,48.6397
37,52,60,86.6667,1.434175,18.4848,10.0115,3014,48.6397
38,52,60,86.6667,1.481243,19.0579,9.8154,3014,48.6397
39,52,60,86.6667,1.416054,18.0533,10.0304,3014,48.6397
40,51,60,85.0000,1.395343,17.9073,9.9845,3014,48.6397
41,49,60,81.6667,1.353186,17.3403,10.0640,3014,48.6397
42,50,60,83.3333,1.298287,17.3210,10.1558,3014,48.6397
43,52,60,86.6667,1.364209,17.9621,10.1607,3014,48.6397
44,51,60,85.0000,1.401310,18.4768,10.2367,3014,48.6397
45,52,60,86.6667,1.425111,18.8771,10.0395,3014,48.6397
46,50,60,83.3333,1.405027,18.7401,10.2151,3014,48.6397
47,51,60,85.0000,1.411871,18.7181,10.1271,3014,48.6397
48,51,60,85.0000,1.425739,19.2357,10.1556,3014,48.6397
49,52,60,86.6667,1.443322,19.5414,10.1045,3014,48.6397
50,52,60,86.6667,1.416368,19.3805,10.1661,3014,48.6397
51,52,60,86.6667,1.445358,19.5892,10.0680,3014,48.6397
52,49,60,81.6667,1.410557,19.1288,9.9795,3014,48.6397
53,49,60,81.6667,1.413567,19.3548,9.7877,3014,48.6397
54,46,60,76.6667,1.281468,18.2222,9.9644,3014,48.6397
55,46,60,76.6667,1.276160,17.9568,9.9794,3014,48.6397
56,46,60,76.6667,1.267543,17.8313,10.0230,3014,48.6397
57,49,60,81.6667,1.331360,18.1058,10.2247,3014,48.6397
58,47,60,78.3333,1.279827,17.6807,10.2261,3014,48.6397
59,47,60,78.3333,1.296469,18.1424,10.1563,3014,48.6397
60,47,60,78.3333,1.314390,18.4544,10.0798,3014,48.6397
61,46,60,76.6667,1.285953,17.9362,9.8383,3014,48.6397
62,47,60,78.3333,1.352544,18.3741,9.7140,3014,48.6397
63,47,60,78.3333,1.311697,17.8706,9.9226,3014,48.6397
64,47,60,78.3333,1.344209,18.1085,9.7544,3014,48.6397
65,47,60,78.3333,1.342940,17.9299,9.7685,3014,48.6397
66,46,60,76.6667,1.311299,17.5613,9.7954,3014,48.6397
67,44,60,73.3333,1.203763,15.6371,9.8763,3014,48.6397
68,44,60,73.3333,1.203763,15.6371,9.8763,3014,48.6397
69,44,60,73.3333,1.186872,15.4604,10.0083,3014,48.6397
70,44,60,73.3333,1.207218,15.2074,10.0309,3014,48.6397
71,46,60,76.6667,1.221933,15.5292,10.0467,3014,48.6397
72,46,60,76.6667,1.248649,15.9396,9.9353,3014,48.6397
73,46,60,76.6667,1.209927,15.3177,10.0349,3014,48.6397
74,44,60,73.3333,1.202357,14.9834,9.8859,3014,48.6397
75,46,60,76.6667,1.207209,14.6779,9.9816,3014,48.6397
76,43,60,71.6667,1.164045,13.6627,9.9226,3014,48.6397
