hedge_atr_period,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
5,Base5,0,1.45017686,45.0177,2.131951,8.1048,55,47.2727,true
5,Base5,1,1.14909177,14.9092,1.544926,9.8194,77,49.3506,true
5,Base5,2,1.50500400,50.5004,4.224634,3.4648,67,64.1791,true
5,Base5,3,1.02159608,2.1596,0.270763,15.0270,36,55.5556,true
5,Base5,4,0.95430829,-4.5692,-0.092306,18.6302,61,50.8197,false
5,Base5,5,1.19359994,19.3600,1.937566,7.1490,54,48.1481,true
5,NoDOGE,0,1.40597447,40.5974,2.567997,5.1866,44,47.7273,true
5,NoDOGE,1,1.14824369,14.8244,1.560524,8.5563,71,50.7042,true
5,NoDOGE,2,1.35190961,35.1910,3.438373,4.2507,60,61.6667,true
5,NoDOGE,3,0.99434545,-0.5655,0.036312,15.8366,31,54.8387,false
5,NoDOGE,4,0.88444944,-11.5551,-0.535507,22.7032,50,50.0000,false
5,NoDOGE,5,1.15773258,15.7733,1.684008,6.0720,41,46.3415,true
5,Legacy4,0,1.50561201,50.5612,3.101601,5.8547,40,52.5000,true
5,Legacy4,1,1.26426935,26.4269,2.602172,5.5410,64,60.9375,true
5,Legacy4,2,1.20298759,20.2988,1.944987,6.3988,43,55.8140,true
5,Legacy4,3,1.01200651,1.2007,0.190530,13.6028,30,56.6667,true
5,Legacy4,4,0.81613277,-18.3867,-1.090842,29.3841,55,40.0000,false
5,Legacy4,5,1.03790696,3.7907,0.671047,7.5258,39,30.7692,true
5,Legacy4,6,1.02685684,2.6857,0.602383,5.5245,56,46.4286,true
5,Legacy5BNB,0,1.61344113,61.3441,3.135641,5.8547,47,55.3191,true
5,Legacy5BNB,1,1.19140254,19.1403,1.763873,7.7822,74,54.0541,true
5,Legacy5BNB,2,1.27151965,27.1520,2.091430,6.3988,55,52.7273,true
5,Legacy5BNB,3,0.96849902,-3.1501,-0.114490,17.9839,37,54.0541,false
