LB,equity
5,2.055825
6,2.055825
7,2.055825
8,2.055825
9,2.055825
10,2.055825
11,2.055825
12,2.055825
13,2.055825
14,2.055825
15,2.055825
16,2.055825
17,2.055825
18,2.055825
19,2.055825
20,2.055825
21,2.049445
22,2.049445
23,2.049445
24,2.049445
25,2.049445
26,2.049445
27,2.049445
28,2.055652
29,2.055652
30,2.055652
31,2.055652
32,2.055652
33,2.055652
34,2.055652
35,2.049993
36,2.049993
37,2.049993
38,1.999454
39,1.999454
40,1.999454
41,2.025058
42,2.025058
43,2.025058
44,2.025058
45,2.025058
46,2.025058
47,2.025058
48,2.025058
49,2.025058
50,2.025058
51,2.025058
52,2.025058
53,2.025058
54,2.025058
55,2.025058
56,2.025058
57,2.025058
58,2.025058
59,2.025058
60,2.025058
61,1.811979
62,1.811979
63,1.811979
64,1.811979
65,1.811979
66,1.811979
67,1.811979
68,1.811979
69,1.811979
70,1.811979
71,1.811979
72,1.811979
73,1.811979
74,1.811979
75,1.811979
76,1.811979
77,1.811979
78,1.811979
79,1.811979
80,1.811979
81,1.657036
82,1.657036
83,1.657036
84,1.657036
85,1.657036
86,1.657036
87,1.657036
88,1.803933
89,1.803933
90,1.809245
91,1.809245
92,1.809245
93,1.809245
94,1.809245
95,1.809245
96,1.809245
97,1.809245
98,1.809245
99,1.820747
100,1.820747
101,1.820747
102,1.824351
103,1.824351
104,1.824351
105,1.824351
106,1.824351
107,1.824351
108,1.824351
109,1.824351
110,1.824351
111,1.824351
112,1.824351
113,1.824351
114,1.824351
115,1.824351
116,1.824351
117,1.824351
118,1.824351
119,1.824351
120,1.824351
121,1.824351
122,2.058107
123,2.058107
124,2.058107
125,2.058107
126,2.065710
127,2.010054
128,2.010054
129,2.043882
130,2.043882
131,2.043882
132,2.043882
133,2.043882
134,2.043882
135,2.043882
136,2.043882
137,2.043882
138,2.043882
139,2.043882
140,2.077566
141,1.637327
142,1.637327
143,1.637327
144,1.637327
145,1.637327
146,1.637327
147,1.637327
148,1.637327
149,1.637327
150,1.637327
151,1.637327
152,1.637327
153,1.637327
154,1.637327
155,1.637327
156,1.637327
157,1.637327
158,1.637327
159,1.637327
160,1.637327
161,1.621757
162,1.621757
163,1.621757
164,1.621757
165,1.621757
166,1.621757
167,1.621757
168,1.621757
169,1.621757
170,1.621757
171,1.621757
172,1.621757
173,1.621757
174,1.621757
175,1.621757
176,1.621757
177,1.621757
178,1.621757
179,1.621757
180,1.621757
181,1.437561
182,1.437561
183,1.437561
184,1.437561
185,1.437561
186,1.437561
187,1.437561
188,1.437561
189,1.437561
190,1.437561
191,1.437561
192,1.437561
193,1.437561
194,1.437561
195,1.437561
196,1.437561
197,1.437561
198,1.437561
199,1.437561
200,1.437561
