bar,date,lb_5,lb_8,lb_10
300,2021-06-07 00:00:00,1.00000000,1.00000000,1.00000000,1.0
301,2021-06-08 00:00:00,1.00000000,1.00000000,1.00000000,1.0
302,2021-06-09 00:00:00,1.00000000,1.00000000,1.00000000,1.0
303,2021-06-10 00:00:00,1.00000000,1.00000000,1.00000000,1.0
304,2021-06-11 00:00:00,1.00000000,1.00000000,1.00000000,1.0
305,2021-06-12 00:00:00,1.00000000,1.00000000,1.00000000,1.0
306,2021-06-13 00:00:00,1.00000000,1.00000000,1.00000000,1.0
307,2021-06-14 00:00:00,1.00000000,1.00000000,1.00000000,1.0
308,2021-06-15 00:00:00,1.00000000,1.00000000,1.00000000,1.0
309,2021-06-16 00:00:00,1.00000000,1.00000000,1.00000000,1.0
310,2021-06-17 00:00:00,1.00000000,1.00000000,1.00000000,1.0
311,2021-06-18 00:00:00,1.00000000,1.00000000,1.00000000,1.0
312,2021-06-19 00:00:00,1.00000000,1.00000000,1.00000000,1.0
313,2021-06-20 00:00:00,1.00000000,1.00000000,1.00000000,1.0
314,2021-06-21 00:00:00,1.00000000,1.00000000,1.00000000,1.0
315,2021-06-22 00:00:00,1.00000000,1.00000000,1.00000000,1.0
316,2021-06-23 00:00:00,1.00000000,1.00000000,1.00000000,1.0
317,2021-06-24 00:00:00,1.00000000,1.00000000,1.00000000,1.0
318,2021-06-25 00:00:00,1.00000000,1.00000000,1.00000000,1.0
319,2021-06-26 00:00:00,1.00000000,1.00000000,1.00000000,1.0
320,2021-06-27 00:00:00,1.00000000,1.00000000,1.00000000,1.0
321,2021-06-28 00:00:00,1.00000000,1.00000000,1.00000000,1.0
322,2021-06-29 00:00:00,1.00000000,1.00000000,1.00000000,1.0
323,2021-06-30 00:00:00,1.00000000,1.00000000,1.00000000,1.0
324,2021-07-01 00:00:00,1.00000000,1.00000000,1.00000000,1.0
325,2021-07-02 00:00:00,1.00000000,1.00000000,1.00000000,1.0
326,2021-07-03 00:00:00,1.00000000,1.00000000,1.00000000,1.0
327,2021-07-04 00:00:00,1.00000000,1.00000000,1.00000000,1.0
328,2021-07-05 00:00:00,1.00000000,1.00000000,1.00000000,1.0
329,2021-07-06 00:00:00,1.00000000,1.00000000,1.00000000,1.0
330,2021-07-07 00:00:00,1.00000000,1.00000000,1.00000000,1.0
331,2021-07-08 00:00:00,1.00000000,1.00000000,1.00000000,1.0
332,2021-07-09 00:00:00,1.00000000,1.00000000,1.00000000,1.0
333,2021-07-10 00:00:00,1.00000000,1.00000000,1.00000000,1.0
334,2021-07-11 00:00:00,1.00000000,1.00000000,1.00000000,1.0
335,2021-07-12 00:00:00,1.00000000,1.00000000,1.00000000,1.0
336,2021-07-13 00:00:00,1.00000000,1.00000000,1.00000000,1.0
337,2021-07-14 00:00:00,1.00000000,1.00000000,1.00000000,1.0
338,2021-07-15 00:00:00,1.00000000,1.00000000,1.00000000,1.0
339,2021-07-16 00:00:00,1.00000000,1.00000000,1.00000000,1.0
340,2021-07-17 00:00:00,1.00000000,1.00000000,1.00000000,1.0
341,2021-07-18 00:00:00,1.00000000,1.00000000,1.00000000,1.0
342,2021-07-19 00:00:00,1.00000000,1.00000000,1.00000000,1.0
343,2021-07-20 00:00:00,1.00000000,1.00000000,1.00000000,1.0
344,2021-07-21 00:00:00,1.00000000,1.00000000,1.00000000,1.0
345,2021-07-22 00:00:00,1.00000000,1.00000000,1.00000000,1.0
346,2021-07-23 00:00:00,1.00000000,1.00000000,1.00000000,1.0
347,2021-07-24 00:00:00,1.00000000,1.00000000,1.00000000,1.0
348,2021-07-25 00:00:00,1.00000000,1.00000000,1.00000000,1.0
349,2021-07-26 00:00:00,0.99973344,0.99973344,0.99973344,1.0
350,2021-07-27 00:00:00,1.01959235,1.01959235,1.01959235,1.0
351,2021-07-28 00:00:00,1.01877700,1.01877700,1.01877700,1.0
352,2021-07-29 00:00:00,1.03831833,1.03831833,1.03831833,1.0
353,2021-07-30 00:00:00,1.07037468,1.07037468,1.07037468,1.0
354,2021-07-31 00:00:00,1.12480363,1.12480363,1.12480363,1.0
355,2021-08-01 00:00:00,1.09066541,1.09066541,1.09066541,1.0
356,2021-08-02 00:00:00,1.09421132,1.09421132,1.09421132,1.0
357,2021-08-03 00:00:00,1.07801475,1.07801475,1.07801475,1.0
358,2021-08-04 00:00:00,1.13816575,1.13816575,1.13816575,1.0
359,2021-08-05 00:00:00,1.15958167,1.15958167,1.15958167,1.0
360,2021-08-06 00:00:00,1.19598838,1.19598838,1.19598838,1.0
361,2021-08-07 00:00:00,1.24850228,1.24850228,1.24850228,1.0
362,2021-08-08 00:00:00,1.19657951,1.19657951,1.19657951,1.0
363,2021-08-09 00:00:00,1.24005198,1.24005198,1.24005198,1.0
364,2021-08-10 00:00:00,1.34505029,1.34505029,1.34505029,1.0
365,2021-08-11 00:00:00,1.45603136,1.45603136,1.45603136,1.0
366,2021-08-12 00:00:00,1.45854874,1.45854874,1.45854874,1.0
367,2021-08-13 00:00:00,1.50991260,1.50991260,1.50991260,1.0
368,2021-08-14 00:00:00,1.49920603,1.49920603,1.49920603,1.0
369,2021-08-15 00:00:00,1.57394700,1.57394700,1.57394700,1.0
370,2021-08-16 00:00:00,1.51091425,1.51091425,1.51091425,1.0
371,2021-08-17 00:00:00,1.49308328,1.49308328,1.49308328,1.0
372,2021-08-18 00:00:00,1.49268529,1.49268529,1.49268529,1.0
373,2021-08-19 00:00:00,1.49297844,1.49297844,1.49297844,1.0
374,2021-08-20 00:00:00,1.49595331,1.49595331,1.49595331,1.0
375,2021-08-21 00:00:00,1.49155213,1.49155213,1.49155213,1.0
376,2021-08-22 00:00:00,1.54672985,1.54672985,1.54672985,1.0
377,2021-08-23 00:00:00,1.58958020,1.58958020,1.58958020,1.0
378,2021-08-24 00:00:00,1.54954171,1.54954171,1.54954171,1.0
379,2021-08-25 00:00:00,1.54954171,1.54954171,1.54954171,1.0
380,2021-08-26 00:00:00,1.54954171,1.54954171,1.54954171,1.0
381,2021-08-27 00:00:00,1.54871562,1.54871562,1.54871562,1.0
382,2021-08-28 00:00:00,1.57970890,1.57970890,1.57970890,1.0
383,2021-08-29 00:00:00,1.56873608,1.56873608,1.56873608,1.0
384,2021-08-30 00:00:00,1.63905840,1.63905840,1.63905840,1.0
385,2021-08-31 00:00:00,1.64532543,1.64532543,1.64532543,1.0
386,2021-09-01 00:00:00,1.66469624,1.66469624,1.66469624,1.0
387,2021-09-02 00:00:00,1.68197804,1.68197804,1.68197804,1.0
388,2021-09-03 00:00:00,1.68311750,1.68311750,1.68311750,1.0
389,2021-09-04 00:00:00,1.65728976,1.65728976,1.65728976,1.0
390,2021-09-05 00:00:00,1.67248255,1.67248255,1.67248255,1.0
391,2021-09-06 00:00:00,1.65785949,1.65785949,1.65785949,1.0
392,2021-09-07 00:00:00,1.59685245,1.59685245,1.59685245,1.0
393,2021-09-08 00:00:00,1.65070882,1.65070882,1.65070882,1.0
394,2021-09-09 00:00:00,1.65070882,1.65070882,1.65070882,1.0
395,2021-09-10 00:00:00,1.65070882,1.65070882,1.65070882,1.0
396,2021-09-11 00:00:00,1.65070882,1.65070882,1.65070882,1.0
397,2021-09-12 00:00:00,1.65070882,1.65070882,1.65070882,1.0
398,2021-09-13 00:00:00,1.65070882,1.65070882,1.65070882,1.0
399,2021-09-14 00:00:00,1.65070882,1.65070882,1.65070882,1.0
400,2021-09-15 00:00:00,1.65070882,1.65070882,1.65070882,1.0
401,2021-09-16 00:00:00,1.65070882,1.65070882,1.65070882,1.0
402,2021-09-17 00:00:00,1.65070882,1.65070882,1.65070882,1.0
403,2021-09-18 00:00:00,1.65070882,1.65070882,1.65070882,1.0
404,2021-09-19 00:00:00,1.65070882,1.65070882,1.65070882,1.0
405,2021-09-20 00:00:00,1.65070882,1.65070882,1.65070882,1.0
406,2021-09-21 00:00:00,1.65070882,1.65070882,1.65070882,1.0
407,2021-09-22 00:00:00,1.65070882,1.65070882,1.65070882,1.0
408,2021-09-23 00:00:00,1.65070882,1.65070882,1.65070882,1.0
409,2021-09-24 00:00:00,1.65070882,1.65070882,1.65070882,1.0
410,2021-09-25 00:00:00,1.65070882,1.65070882,1.65070882,1.0
411,2021-09-26 00:00:00,1.65070882,1.65070882,1.65070882,1.0
412,2021-09-27 00:00:00,1.65070882,1.65070882,1.65070882,1.0
413,2021-09-28 00:00:00,1.65070882,1.65070882,1.65070882,1.0
414,2021-09-29 00:00:00,1.65070882,1.65070882,1.65070882,1.0
415,2021-09-30 00:00:00,1.65070882,1.65070882,1.65070882,1.0
416,2021-10-01 00:00:00,1.65070882,1.65070882,1.65070882,1.0
417,2021-10-02 00:00:00,1.65070882,1.65070882,1.65070882,1.0
418,2021-10-03 00:00:00,1.65026881,1.65026881,1.65026881,1.0
419,2021-10-04 00:00:00,1.63123527,1.63123527,1.63123527,1.0
420,2021-10-05 00:00:00,1.64835497,1.64835497,1.64835497,1.0
421,2021-10-06 00:00:00,1.65700018,1.65700018,1.65700018,1.0
422,2021-10-07 00:00:00,1.64163723,1.64163723,1.64163723,1.0
423,2021-10-08 00:00:00,1.65717835,1.65717835,1.65717835,1.0
424,2021-10-09 00:00:00,1.66235744,1.66235744,1.66235744,1.0
425,2021-10-10 00:00:00,1.62340839,1.62340839,1.62340839,1.0
426,2021-10-11 00:00:00,1.64597272,1.64597272,1.64597272,1.0
427,2021-10-12 00:00:00,1.62856224,1.62856224,1.62856224,1.0
428,2021-10-13 00:00:00,1.64724449,1.64724449,1.64724449,1.0
429,2021-10-14 00:00:00,1.65370979,1.65370979,1.65370979,1.0
430,2021-10-15 00:00:00,1.70310400,1.70310400,1.70310400,1.0
431,2021-10-16 00:00:00,1.70156615,1.70156615,1.70156615,1.0
432,2021-10-17 00:00:00,1.70223164,1.70223164,1.70223164,1.0
433,2021-10-18 00:00:00,1.69821702,1.69810429,1.69810429,1.0
434,2021-10-19 00:00:00,1.70330805,1.70846610,1.70846610,1.0
435,2021-10-20 00:00:00,1.71816089,1.72345702,1.72345702,1.0
436,2021-10-21 00:00:00,1.71660620,1.72165199,1.72165199,1.0
437,2021-10-22 00:00:00,1.71786414,1.72283291,1.72283291,1.0
438,2021-10-23 00:00:00,1.71892174,1.72389356,1.72389356,1.0
439,2021-10-24 00:00:00,1.71940826,1.72438149,1.72438149,1.0
440,2021-10-25 00:00:00,1.71858023,1.72355106,1.72355106,1.0
441,2021-10-26 00:00:00,1.70399679,1.70892544,1.70892544,1.0
442,2021-10-27 00:00:00,1.67729337,1.68214478,1.68214478,1.0
443,2021-10-28 00:00:00,1.68944218,1.69432873,1.69432873,1.0
444,2021-10-29 00:00:00,1.68850446,1.69338830,1.69338830,1.0
445,2021-10-30 00:00:00,1.68527443,1.69014893,1.69014893,1.0
446,2021-10-31 00:00:00,1.68408360,1.68895466,1.68895466,1.0
447,2021-11-01 00:00:00,1.68516532,1.69003950,1.69003950,1.0
448,2021-11-02 00:00:00,1.69424540,1.69914585,1.69914585,1.0
449,2021-11-03 00:00:00,1.69447336,1.69937447,1.69937447,1.0
450,2021-11-04 00:00:00,1.69309421,1.69799132,1.69799132,1.0
451,2021-11-05 00:00:00,1.67992481,1.68478383,1.68478383,1.0
452,2021-11-06 00:00:00,1.69335472,1.69825259,1.69825259,1.0
453,2021-11-07 00:00:00,1.69153328,1.69642588,1.69642588,1.0
454,2021-11-08 00:00:00,1.69071319,1.69560342,1.69560342,1.0
455,2021-11-09 00:00:00,1.68527584,1.69015034,1.69015034,1.0
456,2021-11-10 00:00:00,1.67116646,1.67600015,1.67600015,1.0
457,2021-11-11 00:00:00,1.67116646,1.67600015,1.67600015,1.0
458,2021-11-12 00:00:00,1.67116646,1.67600015,1.67600015,1.0
459,2021-11-13 00:00:00,1.67116646,1.67600015,1.67600015,1.0
460,2021-11-14 00:00:00,1.67116646,1.67600015,1.67600015,1.0
461,2021-11-15 00:00:00,1.67116646,1.67600015,1.67600015,1.0
462,2021-11-16 00:00:00,1.67116646,1.67600015,1.67600015,1.0
463,2021-11-17 00:00:00,1.67116646,1.67600015,1.67600015,1.0
464,2021-11-18 00:00:00,1.67116646,1.67600015,1.67600015,1.0
465,2021-11-19 00:00:00,1.67116646,1.67600015,1.67600015,1.0
466,2021-11-20 00:00:00,1.67116646,1.67600015,1.67600015,1.0
467,2021-11-21 00:00:00,1.67116646,1.67600015,1.67600015,1.0
468,2021-11-22 00:00:00,1.67116646,1.67600015,1.67600015,1.0
469,2021-11-23 00:00:00,1.67116646,1.67600015,1.67600015,1.0
470,2021-11-24 00:00:00,1.67116646,1.67600015,1.67600015,1.0
471,2021-11-25 00:00:00,1.67116646,1.67600015,1.67600015,1.0
472,2021-11-26 00:00:00,1.67116646,1.67600015,1.67600015,1.0
473,2021-11-27 00:00:00,1.67116646,1.67600015,1.67600015,1.0
474,2021-11-28 00:00:00,1.67116646,1.67600015,1.67600015,1.0
475,2021-11-29 00:00:00,1.67116646,1.67600015,1.67600015,1.0
476,2021-11-30 00:00:00,1.67116646,1.67600015,1.67600015,1.0
477,2021-12-01 00:00:00,1.67116646,1.67600015,1.67600015,1.0
478,2021-12-02 00:00:00,1.67116646,1.67600015,1.67600015,1.0
479,2021-12-03 00:00:00,1.67116646,1.67600015,1.67600015,1.0
480,2021-12-04 00:00:00,1.67116646,1.67600015,1.67600015,1.0
481,2021-12-05 00:00:00,1.67116646,1.67600015,1.67600015,1.0
482,2021-12-06 00:00:00,1.67116646,1.67600015,1.67600015,1.0
483,2021-12-07 00:00:00,1.67116646,1.67600015,1.67600015,1.0
484,2021-12-08 00:00:00,1.67116646,1.67600015,1.67600015,1.0
485,2021-12-09 00:00:00,1.67116646,1.67600015,1.67600015,1.0
486,2021-12-10 00:00:00,1.67116646,1.67600015,1.67600015,1.0
487,2021-12-11 00:00:00,1.67116646,1.67600015,1.67600015,1.0
488,2021-12-12 00:00:00,1.67116646,1.67600015,1.67600015,1.0
489,2021-12-13 00:00:00,1.67116646,1.67600015,1.67600015,1.0
490,2021-12-14 00:00:00,1.67116646,1.67600015,1.67600015,1.0
491,2021-12-15 00:00:00,1.67116646,1.67600015,1.67600015,1.0
492,2021-12-16 00:00:00,1.67116646,1.67600015,1.67600015,1.0
493,2021-12-17 00:00:00,1.67116646,1.67600015,1.67600015,1.0
494,2021-12-18 00:00:00,1.67116646,1.67600015,1.67600015,1.0
495,2021-12-19 00:00:00,1.67116646,1.67600015,1.67600015,1.0
496,2021-12-20 00:00:00,1.67116646,1.67600015,1.67600015,1.0
497,2021-12-21 00:00:00,1.67116646,1.67600015,1.67600015,1.0
498,2021-12-22 00:00:00,1.67116646,1.67600015,1.67600015,1.0
499,2021-12-23 00:00:00,1.67116646,1.67600015,1.67600015,1.0
500,2021-12-24 00:00:00,1.67116646,1.67600015,1.67600015,1.0
501,2021-12-25 00:00:00,1.67116646,1.67600015,1.67600015,1.0
502,2021-12-26 00:00:00,1.67116646,1.67600015,1.67600015,1.0
503,2021-12-27 00:00:00,1.67116646,1.67600015,1.67600015,1.0
504,2021-12-28 00:00:00,1.67116646,1.67600015,1.67600015,1.0
505,2021-12-29 00:00:00,1.67116646,1.67600015,1.67600015,1.0
506,2021-12-30 00:00:00,1.67116646,1.67600015,1.67600015,1.0
507,2021-12-31 00:00:00,1.67116646,1.67600015,1.67600015,1.0
508,2022-01-01 00:00:00,1.67116646,1.67600015,1.67600015,1.0
509,2022-01-02 00:00:00,1.67116646,1.67600015,1.67600015,1.0
510,2022-01-03 00:00:00,1.67116646,1.67600015,1.67600015,1.0
511,2022-01-04 00:00:00,1.67116646,1.67600015,1.67600015,1.0
512,2022-01-05 00:00:00,1.67116646,1.67600015,1.67600015,1.0
513,2022-01-06 00:00:00,1.67116646,1.67600015,1.67600015,1.0
514,2022-01-07 00:00:00,1.67116646,1.67600015,1.67600015,1.0
515,2022-01-08 00:00:00,1.67116646,1.67600015,1.67600015,1.0
516,2022-01-09 00:00:00,1.67116646,1.67600015,1.67600015,1.0
517,2022-01-10 00:00:00,1.67116646,1.67600015,1.67600015,1.0
518,2022-01-11 00:00:00,1.67116646,1.67600015,1.67600015,1.0
