rank,lb,equity,sharpe,max_dd,trades,delta_vs_baseline_pct
1,8,3.360714,1.220038,23.7493,275,236.0714
2,8,3.360714,1.220038,23.7493,275,236.0714
3,5,3.356507,1.219363,23.7493,270,235.6507
4,10,3.352925,1.218366,23.7493,276,235.2925
5,9,3.352925,1.218366,23.7493,276,235.2925
6,9,3.352925,1.218366,23.7493,276,235.2925
7,6,3.342796,1.214970,23.7493,273,234.2796
8,6,3.342796,1.214970,23.7493,273,234.2796
9,15,3.306979,1.183142,23.7493,283,230.6979
10,12,3.304343,1.186483,23.7493,280,230.4343
11,12,3.304343,1.186483,23.7493,280,230.4343
12,16,3.303354,1.181434,23.7493,284,230.3354
13,7,3.281233,1.198525,23.7493,275,228.1233
14,7,3.281233,1.198525,23.7493,275,228.1233
15,11,3.235416,1.184423,23.7493,278,223.5416
16,11,3.235416,1.184423,23.7493,278,223.5416
17,17,3.232321,1.156746,27.4437,289,223.2321
18,50,3.231295,1.146181,24.0105,297,223.1295
19,48,3.231295,1.146181,24.0105,297,223.1295
20,49,3.231295,1.146181,24.0105,297,223.1295
21,51,3.231295,1.146181,24.0105,297,223.1295
22,52,3.231295,1.146181,24.0105,297,223.1295
23,53,3.231295,1.146181,24.0105,297,223.1295
24,54,3.231295,1.146181,24.0105,297,223.1295
25,51,3.231295,1.146181,24.0105,297,223.1295
26,52,3.231295,1.146181,24.0105,297,223.1295
27,53,3.231295,1.146181,24.0105,297,223.1295
28,54,3.231295,1.146181,24.0105,297,223.1295
29,13,3.230097,1.164092,23.7493,281,223.0097
30,14,3.230097,1.164092,23.7493,281,223.0097
31,13,3.230097,1.164092,23.7493,281,223.0097
32,14,3.230097,1.164092,23.7493,281,223.0097
33,47,3.224231,1.144285,24.0105,296,222.4231
34,55,3.219146,1.142487,24.0105,298,221.9146
35,60,3.219146,1.142487,24.0105,298,221.9146
36,56,3.219146,1.142487,24.0105,298,221.9146
37,57,3.219146,1.142487,24.0105,298,221.9146
38,58,3.219146,1.142487,24.0105,298,221.9146
39,59,3.219146,1.142487,24.0105,298,221.9146
40,25,3.179797,1.152268,21.6028,283,217.9797
41,18,3.136795,1.128575,27.4437,294,213.6795
42,19,3.123384,1.124027,27.4437,298,212.3384
43,70,3.110401,1.103778,25.6593,298,211.0401
44,75,3.110401,1.103778,25.6593,298,211.0401
45,20,3.103129,1.118090,27.4437,299,210.3129
46,65,3.094149,1.099764,25.1795,295,209.4149
47,80,3.042509,1.081692,25.6593,302,204.2509
48,46,3.024722,1.093143,24.0105,294,202.4722
49,40,2.929926,1.061421,22.3208,300,192.9926
50,35,2.918085,1.059467,23.8431,298,191.8085
51,30,2.894217,1.058021,25.4535,291,189.4217
52,135,2.703808,0.986743,33.3332,307,170.3808
53,45,2.683099,0.997111,24.0105,292,168.3099
54,145,2.675361,0.966079,36.4294,311,167.5361
55,150,2.675361,0.966079,36.4294,311,167.5361
56,155,2.675361,0.966079,36.4294,311,167.5361
57,160,2.675361,0.966079,36.4294,311,167.5361
58,165,2.627865,0.963613,35.0352,305,162.7865
59,170,2.627865,0.963613,35.0352,305,162.7865
60,175,2.627865,0.963613,35.0352,305,162.7865
61,180,2.627865,0.963613,35.0352,305,162.7865
62,140,2.578233,0.941871,36.4294,308,157.8233
63,125,2.567535,0.951986,33.3332,299,156.7535
64,105,2.521180,0.978096,35.3515,297,152.1180
65,130,2.493101,0.921176,33.3332,303,149.3101
66,85,2.311402,0.886480,37.8503,301,131.1402
67,95,2.310866,0.886065,37.8503,304,131.0866
68,90,2.310018,0.885805,37.8503,303,131.0018
69,115,2.295957,0.884624,41.4246,300,129.5957
70,100,2.293307,0.878911,38.3226,305,129.3307
71,110,2.284339,0.880251,41.4246,299,128.4339
72,120,2.236310,0.855225,41.4246,305,123.6310
73,195,2.035712,0.771475,43.3497,304,103.5712
74,200,2.035712,0.771475,43.3497,304,103.5712
75,185,2.034127,0.770921,43.3497,302,103.4127
76,190,2.016061,0.762541,43.3497,303,101.6061
77,225,1.987073,0.780744,32.4684,293,98.7073
78,230,1.987073,0.780744,32.4684,293,98.7073
79,235,1.987073,0.780744,32.4684,293,98.7073
80,240,1.987073,0.780744,32.4684,293,98.7073
81,245,1.741569,0.677181,40.8830,283,74.1569
82,250,1.741569,0.677181,40.8830,283,74.1569
83,205,1.720025,0.628798,42.0306,297,72.0025
84,210,1.716435,0.626707,42.1516,298,71.6435
85,220,1.709803,0.622890,42.5226,299,70.9803
86,215,1.705429,0.620351,42.5226,299,70.5429
