lb,equity,sharpe,max_dd,trades
8,3.360714,1.220038,23.7493,275
8,3.360714,1.220038,23.7493,275
5,3.356507,1.219363,23.7493,270
10,3.352925,1.218366,23.7493,276
9,3.352925,1.218366,23.7493,276
9,3.352925,1.218366,23.7493,276
6,3.342796,1.214970,23.7493,273
6,3.342796,1.214970,23.7493,273
15,3.306979,1.183142,23.7493,283
12,3.304343,1.186483,23.7493,280
12,3.304343,1.186483,23.7493,280
16,3.303354,1.181434,23.7493,284
7,3.281233,1.198525,23.7493,275
7,3.281233,1.198525,23.7493,275
11,3.235416,1.184423,23.7493,278
11,3.235416,1.184423,23.7493,278
17,3.232321,1.156746,27.4437,289
50,3.231295,1.146181,24.0105,297
48,3.231295,1.146181,24.0105,297
49,3.231295,1.146181,24.0105,297
51,3.231295,1.146181,24.0105,297
52,3.231295,1.146181,24.0105,297
53,3.231295,1.146181,24.0105,297
54,3.231295,1.146181,24.0105,297
51,3.231295,1.146181,24.0105,297
52,3.231295,1.146181,24.0105,297
53,3.231295,1.146181,24.0105,297
54,3.231295,1.146181,24.0105,297
13,3.230097,1.164092,23.7493,281
14,3.230097,1.164092,23.7493,281
13,3.230097,1.164092,23.7493,281
14,3.230097,1.164092,23.7493,281
47,3.224231,1.144285,24.0105,296
55,3.219146,1.142487,24.0105,298
60,3.219146,1.142487,24.0105,298
56,3.219146,1.142487,24.0105,298
57,3.219146,1.142487,24.0105,298
58,3.219146,1.142487,24.0105,298
59,3.219146,1.142487,24.0105,298
25,3.179797,1.152268,21.6028,283
18,3.136795,1.128575,27.4437,294
19,3.123384,1.124027,27.4437,298
70,3.110401,1.103778,25.6593,298
75,3.110401,1.103778,25.6593,298
20,3.103129,1.118090,27.4437,299
65,3.094149,1.099764,25.1795,295
80,3.042509,1.081692,25.6593,302
46,3.024722,1.093143,24.0105,294
40,2.929926,1.061421,22.3208,300
35,2.918085,1.059467,23.8431,298
30,2.894217,1.058021,25.4535,291
135,2.703808,0.986743,33.3332,307
45,2.683099,0.997111,24.0105,292
145,2.675361,0.966079,36.4294,311
150,2.675361,0.966079,36.4294,311
155,2.675361,0.966079,36.4294,311
160,2.675361,0.966079,36.4294,311
165,2.627865,0.963613,35.0352,305
170,2.627865,0.963613,35.0352,305
175,2.627865,0.963613,35.0352,305
180,2.627865,0.963613,35.0352,305
140,2.578233,0.941871,36.4294,308
125,2.567535,0.951986,33.3332,299
105,2.521180,0.978096,35.3515,297
130,2.493101,0.921176,33.3332,303
85,2.311402,0.886480,37.8503,301
95,2.310866,0.886065,37.8503,304
90,2.310018,0.885805,37.8503,303
115,2.295957,0.884624,41.4246,300
100,2.293307,0.878911,38.3226,305
110,2.284339,0.880251,41.4246,299
120,2.236310,0.855225,41.4246,305
195,2.035712,0.771475,43.3497,304
200,2.035712,0.771475,43.3497,304
185,2.034127,0.770921,43.3497,302
190,2.016061,0.762541,43.3497,303
225,1.987073,0.780744,32.4684,293
230,1.987073,0.780744,32.4684,293
235,1.987073,0.780744,32.4684,293
240,1.987073,0.780744,32.4684,293
245,1.741569,0.677181,40.8830,283
250,1.741569,0.677181,40.8830,283
205,1.720025,0.628798,42.0306,297
210,1.716435,0.626707,42.1516,298
220,1.709803,0.622890,42.5226,299
215,1.705429,0.620351,42.5226,299
