fc,pass_count,total_windows,pass_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,win_rate_pct
0,28,54,51.85,2.1124,13.14,58.66,1558,43.00
1,28,54,51.85,2.1124,13.14,58.66,1558,43.00
2,27,54,50.00,1.6239,5.59,63.14,1429,42.62
3,27,54,50.00,1.2654,6.14,58.64,1360,42.06
4,28,54,51.85,0.5954,-2.50,64.73,1308,40.60
5,28,54,51.85,0.3661,-4.57,66.12,1249,40.11
6,24,54,44.44,1.3267,3.69,58.59,1165,42.40
7,26,54,48.15,1.5157,6.31,51.04,1131,40.23
8,28,54,51.85,1.7062,6.24,52.64,1106,40.87
9,29,54,53.70,2.9764,14.24,47.89,1063,44.03
10,29,54,53.70,3.0507,15.78,44.27,1028,44.55
11,31,54,57.41,2.4200,9.09,47.75,1011,43.52
12,31,54,57.41,2.4213,9.49,47.58,999,43.74
13,31,54,57.41,1.8574,5.50,48.62,983,42.93
14,29,54,53.70,1.8277,5.57,49.12,970,42.99
15,31,54,57.41,1.6116,5.07,49.18,953,43.13
16,26,54,48.15,0.8455,2.92,50.42,945,40.85
17,29,54,53.70,0.9388,3.27,48.86,910,41.21
18,29,54,53.70,0.7993,2.51,50.13,896,40.96
19,27,54,50.00,0.7228,2.89,48.99,886,40.52
20,28,54,51.85,0.8326,4.15,48.81,886,40.52
21,28,54,51.85,0.3464,1.43,48.90,886,39.50
22,25,54,46.30,0.5790,3.73,48.29,854,39.46
23,25,54,46.30,0.5647,5.89,45.83,842,39.67
24,27,54,50.00,0.7632,8.62,42.10,822,40.51
25,30,54,55.56,1.7620,13.09,39.98,789,42.08
26,30,54,55.56,1.6836,12.88,40.08,789,42.21
27,30,54,55.56,1.9528,15.84,40.92,789,42.59
28,29,54,53.70,2.0705,16.91,41.00,786,43.13
29,31,54,57.41,2.4126,19.01,39.60,785,42.93
30,37,54,68.52,2.9375,19.37,38.90,775,44.65
31,35,54,64.81,3.0562,19.26,39.91,758,45.25
32,35,54,64.81,2.7922,17.07,40.02,752,44.81
33,34,54,62.96,3.1174,19.81,39.06,737,45.73
34,35,54,64.81,3.1177,19.61,38.73,723,46.33
35,35,54,64.81,3.4025,20.50,38.40,714,46.50
36,35,54,64.81,3.6711,20.98,38.52,705,46.24
37,37,54,68.52,3.7720,21.38,37.64,697,47.63
38,35,54,64.81,3.7018,21.80,38.06,697,48.21
39,35,54,64.81,4.0364,22.84,38.09,691,49.49
40,35,54,64.81,3.7753,22.52,38.84,691,48.63
41,35,54,64.81,3.4505,18.61,38.46,691,48.05
