fc,universe,window,equity,sharpe,max_dd,trades,win_rate,pass
0,Base5,0,0.901182,-0.3869,19.33,31,48.4,0
0,Base5,1,1.064127,0.4222,21.14,50,40.0,1
0,Base5,2,1.297290,3.0089,5.37,71,57.7,1
0,Base5,3,1.068180,0.7172,8.95,43,41.9,1
0,Base5,4,1.293808,1.7442,10.67,44,47.7,1
0,Base5,5,0.992888,-0.0552,10.58,27,22.2,0
0,NoDOGE,0,0.830007,-0.8491,22.39,29,44.8,0
0,NoDOGE,1,0.927826,-0.1826,19.61,45,37.8,0
0,NoDOGE,2,1.315102,3.2056,5.12,63,58.7,1
0,NoDOGE,3,1.054321,0.6670,9.97,35,40.0,1
0,NoDOGE,4,1.220235,1.5041,10.72,40,47.5,1
0,NoDOGE,5,0.972054,-0.3699,12.46,27,18.5,0
0,Legacy4,0,0.928397,-0.4597,12.40,20,45.0,0
0,Legacy4,1,0.816196,-1.5852,20.94,35,37.1,0
0,Legacy4,2,1.108968,1.7875,4.48,39,53.8,1
0,Legacy4,3,1.040675,0.7839,7.09,25,40.0,1
0,Legacy4,4,1.138987,1.6488,5.29,28,42.9,1
0,Legacy4,5,0.984854,-0.2879,7.67,16,18.8,0
0,Legacy5BNB,0,0.928397,-0.4597,12.40,20,45.0,0
0,Legacy5BNB,1,0.816196,-1.5852,20.94,35,37.1,0
0,Legacy5BNB,2,1.108968,1.7875,4.48,39,53.8,1
0,Legacy5BNB,3,1.040675,0.7839,7.09,25,40.0,1
0,Legacy5BNB,4,1.138987,1.6488,5.29,28,42.9,1
0,Legacy5BNB,5,0.984854,-0.2879,7.67,16,18.8,0
0,OldGuardNoBNB,0,0.928397,-0.4597,12.40,20,45.0,0
0,OldGuardNoBNB,1,0.816196,-1.5852,20.94,35,37.1,0
0,OldGuardNoBNB,2,1.108968,1.7875,4.48,39,53.8,1
0,OldGuardNoBNB,3,1.040675,0.7839,7.09,25,40.0,1
0,OldGuardNoBNB,4,1.138987,1.6488,5.29,28,42.9,1
0,OldGuardNoBNB,5,0.984854,-0.2879,7.67,16,18.8,0
0,LargeCaps5,0,0.830007,-0.8491,22.39,29,44.8,0
0,LargeCaps5,1,0.927826,-0.1826,19.61,45,37.8,0
0,LargeCaps5,2,1.315102,3.2056,5.12,63,58.7,1
0,LargeCaps5,3,1.054321,0.6670,9.97,35,40.0,1
0,LargeCaps5,4,1.220235,1.5041,10.72,40,47.5,1
0,LargeCaps5,5,0.972054,-0.3699,12.46,27,18.5,0
0,Legacy3,0,0.887260,-1.3506,12.48,15,40.0,0
0,Legacy3,1,0.909040,-1.3687,10.04,22,36.4,0
0,Legacy3,2,1.053809,1.3878,3.97,27,51.9,1
0,Legacy3,3,1.021053,0.5502,3.87,20,45.0,1
0,Legacy3,4,1.082785,1.1984,4.11,21,38.1,1
0,Legacy3,5,0.984773,-0.7540,2.36,8,25.0,0
0,LowVolume5,0,0.844923,-1.7252,17.93,16,43.8,0
0,LowVolume5,1,0.935650,-0.8744,8.66,16,31.2,0
0,LowVolume5,2,1.048627,1.2469,3.50,22,59.1,1
0,LowVolume5,3,1.095006,1.2756,3.62,17,41.2,1
0,LowVolume5,4,1.071977,0.7431,6.73,20,35.0,1
0,LowVolume5,5,0.998449,-0.0430,3.67,8,25.0,0
0,OldGuard4,0,0.887260,-1.3506,12.48,15,40.0,0
0,OldGuard4,1,0.909040,-1.3687,10.04,22,36.4,0
0,OldGuard4,2,1.053809,1.3878,3.97,27,51.9,1
0,OldGuard4,3,1.021053,0.5502,3.87,20,45.0,1
0,OldGuard4,4,1.082785,1.1984,4.11,21,38.1,1
0,OldGuard4,5,0.984773,-0.7540,2.36,8,25.0,0
1,Base5,0,0.901182,-0.3869,19.33,31,48.4,0
1,Base5,1,1.064127,0.4222,21.14,50,40.0,1
1,Base5,2,1.297290,3.0089,5.37,71,57.7,1
1,Base5,3,1.068180,0.7172,8.95,43,41.9,1
1,Base5,4,1.293808,1.7442,10.67,44,47.7,1
1,Base5,5,0.992888,-0.0552,10.58,27,22.2,0
1,NoDOGE,0,0.830007,-0.8491,22.39,29,44.8,0
1,NoDOGE,1,0.927826,-0.1826,19.61,45,37.8,0
1,NoDOGE,2,1.315102,3.2056,5.12,63,58.7,1
1,NoDOGE,3,1.054321,0.6670,9.97,35,40.0,1
1,NoDOGE,4,1.220235,1.5041,10.72,40,47.5,1
1,NoDOGE,5,0.972054,-0.3699,12.46,27,18.5,0
1,Legacy4,0,0.928397,-0.4597,12.40,20,45.0,0
1,Legacy4,1,0.816196,-1.5852,20.94,35,37.1,0
1,Legacy4,2,1.108968,1.7875,4.48,39,53.8,1
1,Legacy4,3,1.040675,0.7839,7.09,25,40.0,1
1,Legacy4,4,1.138987,1.6488,5.29,28,42.9,1
1,Legacy4,5,0.984854,-0.2879,7.67,16,18.8,0
1,Legacy5BNB,0,0.928397,-0.4597,12.40,20,45.0,0
1,Legacy5BNB,1,0.816196,-1.5852,20.94,35,37.1,0
1,Legacy5BNB,2,1.108968,1.7875,4.48,39,53.8,1
1,Legacy5BNB,3,1.040675,0.7839,7.09,25,40.0,1
1,Legacy5BNB,4,1.138987,1.6488,5.29,28,42.9,1
1,Legacy5BNB,5,0.984854,-0.2879,7.67,16,18.8,0
1,OldGuardNoBNB,0,0.928397,-0.4597,12.40,20,45.0,0
1,OldGuardNoBNB,1,0.816196,-1.5852,20.94,35,37.1,0
1,OldGuardNoBNB,2,1.108968,1.7875,4.48,39,53.8,1
1,OldGuardNoBNB,3,1.040675,0.7839,7.09,25,40.0,1
1,OldGuardNoBNB,4,1.138987,1.6488,5.29,28,42.9,1
1,OldGuardNoBNB,5,0.984854,-0.2879,7.67,16,18.8,0
1,LargeCaps5,0,0.830007,-0.8491,22.39,29,44.8,0
1,LargeCaps5,1,0.927826,-0.1826,19.61,45,37.8,0
1,LargeCaps5,2,1.315102,3.2056,5.12,63,58.7,1
1,LargeCaps5,3,1.054321,0.6670,9.97,35,40.0,1
1,LargeCaps5,4,1.220235,1.5041,10.72,40,47.5,1
1,LargeCaps5,5,0.972054,-0.3699,12.46,27,18.5,0
1,Legacy3,0,0.887260,-1.3506,12.48,15,40.0,0
1,Legacy3,1,0.909040,-1.3687,10.04,22,36.4,0
1,Legacy3,2,1.053809,1.3878,3.97,27,51.9,1
1,Legacy3,3,1.021053,0.5502,3.87,20,45.0,1
1,Legacy3,4,1.082785,1.1984,4.11,21,38.1,1
1,Legacy3,5,0.984773,-0.7540,2.36,8,25.0,0
1,LowVolume5,0,0.844923,-1.7252,17.93,16,43.8,0
1,LowVolume5,1,0.935650,-0.8744,8.66,16,31.2,0
1,LowVolume5,2,1.048627,1.2469,3.50,22,59.1,1
1,LowVolume5,3,1.095006,1.2756,3.62,17,41.2,1
1,LowVolume5,4,1.071977,0.7431,6.73,20,35.0,1
1,LowVolume5,5,0.998449,-0.0430,3.67,8,25.0,0
1,OldGuard4,0,0.887260,-1.3506,12.48,15,40.0,0
1,OldGuard4,1,0.909040,-1.3687,10.04,22,36.4,0
1,OldGuard4,2,1.053809,1.3878,3.97,27,51.9,1
