hap,pass_count,pass_rate,avg_sharpe,avg_return,avg_dd,total_trades
0.09,8,72.7,0.6541,6.01,6.63,672
0.31,8,72.7,0.6541,6.01,6.63,672
0.15,8,72.7,0.6541,6.01,6.63,672
0.01,8,72.7,0.6541,6.01,6.63,672
0.27,8,72.7,0.6541,6.01,6.63,672
0.04,8,72.7,0.6541,6.01,6.63,672
0.02,8,72.7,0.6541,6.01,6.63,672
0.30,8,72.7,0.6541,6.01,6.63,672
0.07,8,72.7,0.6541,6.01,6.63,672
0.14,8,72.7,0.6541,6.01,6.63,672
0.28,8,72.7,0.6541,6.01,6.63,672
0.32,8,72.7,0.6541,6.01,6.63,672
0.12,8,72.7,0.6541,6.01,6.63,672
0.29,8,72.7,0.6541,6.01,6.63,672
0.26,8,72.7,0.6541,6.01,6.63,672
0.03,8,72.7,0.6541,6.01,6.63,672
0.23,8,72.7,0.6541,6.01,6.63,672
0.05,8,72.7,0.6541,6.01,6.63,672
0.17,8,72.7,0.6541,6.01,6.63,672
0.19,8,72.7,0.6541,6.01,6.63,672
0.08,8,72.7,0.6541,6.01,6.63,672
0.11,8,72.7,0.6541,6.01,6.63,672
0.21,8,72.7,0.6541,6.01,6.63,672
0.13,8,72.7,0.6541,6.01,6.63,672
0.10,8,72.7,0.6541,6.01,6.63,672
0.16,8,72.7,0.6541,6.01,6.63,672
0.25,8,72.7,0.6541,6.01,6.63,672
0.24,8,72.7,0.6541,6.01,6.63,672
0.18,8,72.7,0.6541,6.01,6.63,672
0.20,8,72.7,0.6541,6.01,6.63,672
0.22,8,72.7,0.6541,6.01,6.63,672
0.06,8,72.7,0.6541,6.01,6.63,672
0.58,7,63.6,0.7184,29.35,24.41,672
0.60,7,63.6,0.7184,29.35,24.41,672
0.99,7,63.6,0.7184,29.35,24.41,672
0.34,7,63.6,0.7184,29.35,24.41,672
0.38,7,63.6,0.7184,29.35,24.41,672
0.39,7,63.6,0.7184,29.35,24.41,672
0.42,7,63.6,0.7184,29.35,24.41,672
0.53,7,63.6,0.7184,29.35,24.41,672
0.66,7,63.6,0.7184,29.35,24.41,672
0.68,7,63.6,0.7184,29.35,24.41,672
0.69,7,63.6,0.7184,29.35,24.41,672
0.70,7,63.6,0.7184,29.35,24.41,672
0.78,7,63.6,0.7184,29.35,24.41,672
0.97,7,63.6,0.7184,29.35,24.41,672
0.47,7,63.6,0.7184,29.35,24.41,672
0.59,7,63.6,0.7184,29.35,24.41,672
0.67,7,63.6,0.7184,29.35,24.41,672
0.84,7,63.6,0.7184,29.35,24.41,672
0.88,7,63.6,0.7184,29.35,24.41,672
0.96,7,63.6,0.7184,29.35,24.41,672
0.98,7,63.6,0.7184,29.35,24.41,672
0.36,7,63.6,0.7184,29.35,24.41,672
0.55,7,63.6,0.7184,29.35,24.41,672
0.63,7,63.6,0.7184,29.35,24.41,672
0.71,7,63.6,0.7184,29.35,24.41,672
0.75,7,63.6,0.7184,29.35,24.41,672
0.79,7,63.6,0.7184,29.35,24.41,672
0.80,7,63.6,0.7184,29.35,24.41,672
0.40,7,63.6,0.7184,29.35,24.41,672
0.49,7,63.6,0.7184,29.35,24.41,672
0.64,7,63.6,0.7184,29.35,24.41,672
0.73,7,63.6,0.7184,29.35,24.41,672
0.85,7,63.6,0.7184,29.35,24.41,672
0.90,7,63.6,0.7184,29.35,24.41,672
0.94,7,63.6,0.7184,29.35,24.41,672
0.37,7,63.6,0.7184,29.35,24.41,672
0.45,7,63.6,0.7184,29.35,24.41,672
0.54,7,63.6,0.7184,29.35,24.41,672
0.83,7,63.6,0.7184,29.35,24.41,672
0.93,7,63.6,0.7184,29.35,24.41,672
0.41,7,63.6,0.7184,29.35,24.41,672
0.44,7,63.6,0.7184,29.35,24.41,672
0.46,7,63.6,0.7184,29.35,24.41,672
0.56,7,63.6,0.7184,29.35,24.41,672
0.57,7,63.6,0.7184,29.35,24.41,672
0.61,7,63.6,0.7184,29.35,24.41,672
0.62,7,63.6,0.7184,29.35,24.41,672
0.65,7,63.6,0.7184,29.35,24.41,672
0.72,7,63.6,0.7184,29.35,24.41,672
0.82,7,63.6,0.7184,29.35,24.41,672
0.86,7,63.6,0.7184,29.35,24.41,672
0.91,7,63.6,0.7184,29.35,24.41,672
0.74,7,63.6,0.7184,29.35,24.41,672
0.76,7,63.6,0.7184,29.35,24.41,672
0.77,7,63.6,0.7184,29.35,24.41,672
0.81,7,63.6,0.7184,29.35,24.41,672
0.87,7,63.6,0.7184,29.35,24.41,672
0.33,7,63.6,0.7184,29.35,24.41,672
0.35,7,63.6,0.7184,29.35,24.41,672
0.48,7,63.6,0.7184,29.35,24.41,672
0.89,7,63.6,0.7184,29.35,24.41,672
0.92,7,63.6,0.7184,29.35,24.41,672
0.50,7,63.6,0.7184,29.35,24.41,672
0.51,7,63.6,0.7184,29.35,24.41,672
0.52,7,63.6,0.7184,29.35,24.41,672
0.95,7,63.6,0.7184,29.35,24.41,672
0.43,7,63.6,0.7184,29.35,24.41,672
