hap,window,test_start,test_end,sharpe,return_pct,max_dd,trades
0.01,W0,552,804,-0.7643,-4.16,8.13,36
0.02,W0,552,804,-0.7643,-4.16,8.13,36
0.03,W0,552,804,-0.7643,-4.16,8.13,36
0.04,W0,552,804,-0.7643,-4.16,8.13,36
0.05,W0,552,804,-0.7643,-4.16,8.13,36
0.06,W0,552,804,-0.7643,-4.16,8.13,36
0.07,W0,552,804,-0.7643,-4.16,8.13,36
0.08,W0,552,804,-0.7643,-4.16,8.13,36
0.09,W0,552,804,-0.7643,-4.16,8.13,36
0.10,W0,552,804,-0.7643,-4.16,8.13,36
0.11,W0,552,804,-0.7643,-4.16,8.13,36
0.12,W0,552,804,-0.7643,-4.16,8.13,36
0.13,W0,552,804,-0.7643,-4.16,8.13,36
0.14,W0,552,804,-0.7643,-4.16,8.13,36
0.15,W0,552,804,-0.7643,-4.16,8.13,36
0.16,W0,552,804,-0.7643,-4.16,8.13,36
0.17,W0,552,804,-0.7643,-4.16,8.13,36
0.18,W0,552,804,-0.7643,-4.16,8.13,36
0.19,W0,552,804,-0.7643,-4.16,8.13,36
0.20,W0,552,804,-0.7643,-4.16,8.13,36
0.21,W0,552,804,-0.7643,-4.16,8.13,36
0.22,W0,552,804,-0.7643,-4.16,8.13,36
0.23,W0,552,804,-0.7643,-4.16,8.13,36
0.24,W0,552,804,-0.7643,-4.16,8.13,36
0.25,W0,552,804,-0.7643,-4.16,8.13,36
0.26,W0,552,804,-0.7643,-4.16,8.13,36
0.27,W0,552,804,-0.7643,-4.16,8.13,36
0.28,W0,552,804,-0.7643,-4.16,8.13,36
0.29,W0,552,804,-0.7643,-4.16,8.13,36
0.30,W0,552,804,-0.7643,-4.16,8.13,36
0.31,W0,552,804,-0.7643,-4.16,8.13,36
0.32,W0,552,804,-0.7643,-4.16,8.13,36
0.33,W0,552,804,-0.7128,-16.60,29.35,36
0.34,W0,552,804,-0.7128,-16.60,29.35,36
0.35,W0,552,804,-0.7128,-16.60,29.35,36
0.36,W0,552,804,-0.7128,-16.60,29.35,36
0.37,W0,552,804,-0.7128,-16.60,29.35,36
0.38,W0,552,804,-0.7128,-16.60,29.35,36
0.39,W0,552,804,-0.7128,-16.60,29.35,36
0.40,W0,552,804,-0.7128,-16.60,29.35,36
0.41,W0,552,804,-0.7128,-16.60,29.35,36
0.42,W0,552,804,-0.7128,-16.60,29.35,36
0.43,W0,552,804,-0.7128,-16.60,29.35,36
0.44,W0,552,804,-0.7128,-16.60,29.35,36
0.45,W0,552,804,-0.7128,-16.60,29.35,36
0.46,W0,552,804,-0.7128,-16.60,29.35,36
0.47,W0,552,804,-0.7128,-16.60,29.35,36
0.48,W0,552,804,-0.7128,-16.60,29.35,36
0.49,W0,552,804,-0.7128,-16.60,29.35,36
0.50,W0,552,804,-0.7128,-16.60,29.35,36
0.51,W0,552,804,-0.7128,-16.60,29.35,36
0.52,W0,552,804,-0.7128,-16.60,29.35,36
0.53,W0,552,804,-0.7128,-16.60,29.35,36
0.54,W0,552,804,-0.7128,-16.60,29.35,36
0.55,W0,552,804,-0.7128,-16.60,29.35,36
0.56,W0,552,804,-0.7128,-16.60,29.35,36
0.57,W0,552,804,-0.7128,-16.60,29.35,36
0.58,W0,552,804,-0.7128,-16.60,29.35,36
0.59,W0,552,804,-0.7128,-16.60,29.35,36
0.60,W0,552,804,-0.7128,-16.60,29.35,36
0.61,W0,552,804,-0.7128,-16.60,29.35,36
0.62,W0,552,804,-0.7128,-16.60,29.35,36
0.63,W0,552,804,-0.7128,-16.60,29.35,36
0.64,W0,552,804,-0.7128,-16.60,29.35,36
0.65,W0,552,804,-0.7128,-16.60,29.35,36
0.66,W0,552,804,-0.7128,-16.60,29.35,36
0.67,W0,552,804,-0.7128,-16.60,29.35,36
0.68,W0,552,804,-0.7128,-16.60,29.35,36
0.69,W0,552,804,-0.7128,-16.60,29.35,36
0.70,W0,552,804,-0.7128,-16.60,29.35,36
0.71,W0,552,804,-0.7128,-16.60,29.35,36
0.72,W0,552,804,-0.7128,-16.60,29.35,36
0.73,W0,552,804,-0.7128,-16.60,29.35,36
0.74,W0,552,804,-0.7128,-16.60,29.35,36
0.75,W0,552,804,-0.7128,-16.60,29.35,36
0.76,W0,552,804,-0.7128,-16.60,29.35,36
0.77,W0,552,804,-0.7128,-16.60,29.35,36
0.78,W0,552,804,-0.7128,-16.60,29.35,36
0.79,W0,552,804,-0.7128,-16.60,29.35,36
0.80,W0,552,804,-0.7128,-16.60,29.35,36
0.81,W0,552,804,-0.7128,-16.60,29.35,36
0.82,W0,552,804,-0.7128,-16.60,29.35,36
0.83,W0,552,804,-0.7128,-16.60,29.35,36
0.84,W0,552,804,-0.7128,-16.60,29.35,36
0.85,W0,552,804,-0.7128,-16.60,29.35,36
0.86,W0,552,804,-0.7128,-16.60,29.35,36
0.87,W0,552,804,-0.7128,-16.60,29.35,36
0.88,W0,552,804,-0.7128,-16.60,29.35,36
0.89,W0,552,804,-0.7128,-16.60,29.35,36
0.90,W0,552,804,-0.7128,-16.60,29.35,36
0.91,W0,552,804,-0.7128,-16.60,29.35,36
0.92,W0,552,804,-0.7128,-16.60,29.35,36
0.93,W0,552,804,-0.7128,-16.60,29.35,36
0.94,W0,552,804,-0.7128,-16.60,29.35,36
0.95,W0,552,804,-0.7128,-16.60,29.35,36
0.96,W0,552,804,-0.7128,-16.60,29.35,36
0.97,W0,552,804,-0.7128,-16.60,29.35,36
0.98,W0,552,804,-0.7128,-16.60,29.35,36
0.99,W0,552,804,-0.7128,-16.60,29.35,36
0.01,W1,678,930,-0.5515,-4.60,6.98,71
0.02,W1,678,930,-0.5515,-4.60,6.98,71
0.03,W1,678,930,-0.5515,-4.60,6.98,71
0.04,W1,678,930,-0.5515,-4.60,6.98,71
0.05,W1,678,930,-0.5515,-4.60,6.98,71
0.06,W1,678,930,-0.5515,-4.60,6.98,71
0.07,W1,678,930,-0.5515,-4.60,6.98,71
0.08,W1,678,930,-0.5515,-4.60,6.98,71
0.09,W1,678,930,-0.5515,-4.60,6.98,71
0.10,W1,678,930,-0.5515,-4.60,6.98,71
0.11,W1,678,930,-0.5515,-4.60,6.98,71
0.12,W1,678,930,-0.5515,-4.60,6.98,71
0.13,W1,678,930,-0.5515,-4.60,6.98,71
0.14,W1,678,930,-0.5515,-4.60,6.98,71
0.15,W1,678,930,-0.5515,-4.60,6.98,71
0.16,W1,678,930,-0.5515,-4.60,6.98,71
0.17,W1,678,930,-0.5515,-4.60,6.98,71
0.18,W1,678,930,-0.5515,-4.60,6.98,71
0.19,W1,678,930,-0.5515,-4.60,6.98,71
0.20,W1,678,930,-0.5515,-4.60,6.98,71
0.21,W1,678,930,-0.5515,-4.60,6.98,71
0.22,W1,678,930,-0.5515,-4.60,6.98,71
0.23,W1,678,930,-0.5515,-4.60,6.98,71
0.24,W1,678,930,-0.5515,-4.60,6.98,71
0.25,W1,678,930,-0.5515,-4.60,6.98,71
0.26,W1,678,930,-0.5515,-4.60,6.98,71
0.27,W1,678,930,-0.5515,-4.60,6.98,71
0.28,W1,678,930,-0.5515,-4.60,6.98,71
