symbol,year,entry_bar,exit_bar,entry_px,exit_px,ret_pct,bars_held,exit_reason
BTCUSDT,2017,44,68,4378.51,5477.03,25.088900105286925,24,chandelier
BTCUSDT,2017,73,85,6169.98,6506.98,5.461930184538688,12,chandelier
SOLUSDT,2020,89,107,2.1558,1.9111,-11.350774654420636,18,chandelier
BTCUSDT,2017,108,114,11165.41,14656.07,31.263160063087692,6,chandelier
ETHUSDT,2017,116,127,508.7,635.97,25.01867505405937,11,chandelier
ETHUSDT,2018,138,147,855.28,1138.93,33.164577682162566,9,chandelier
XRPUSDT,2018,149,159,0.58257,0.46605,-20.001029919151357,10,chandelier
SOLUSDT,2021,168,190,4.041,8.2357,103.80351398168766,22,chandelier
SOLUSDT,2021,192,198,11.4912,13.8442,20.476538568643843,6,chandelier
BTCUSDT,2018,199,202,11515,9910,-13.938341293964395,3,chandelier
SOLUSDT,2021,228,249,16.4589,24.85,50.98214339961966,21,chandelier
BTCUSDT,2018,250,266,9619.99,9002.2,-6.421940147546934,16,chandelier
SOLUSDT,2021,280,281,55.977,34.988,-37.4957571859871,1,chandelier
XRPUSDT,2019,290,296,0.32194,0.29757,-7.56973349071256,6,chandelier
XRPUSDT,2019,333,334,0.3505,0.34022,-2.932952924393717,1,chandelier
BTCUSDT,2018,335,348,7381.9,7730.93,4.728186510248067,13,chandelier
SOLUSDT,2021,353,371,32.354,64.123,98.19187735674106,18,chandelier
SOLUSDT,2021,372,385,72.663,108.27,49.00293134057223,13,chandelier
SOLUSDT,2021,386,397,110.71,174.29,57.429319844639124,11,chandelier
XRPUSDT,2019,414,419,0.47729,0.41049,-13.995683965723138,5,chandelier
BTCUSDT,2018,424,434,6752.5,6528.09,-3.323361717882267,10,chandelier
SOLUSDT,2021,435,442,176.72,184.49,4.396785875961973,7,chandelier
ETHUSDT,2018,446,449,220.74,210.77,-4.516625894717762,3,turtle_atr
SOLUSDT,2021,450,462,247.07,219.04,-11.34496296596107,12,chandelier
ETHUSDT,2018,493,495,129.03,127.6,-1.1082693947144118,2,chandelier
SOLUSDT,2021,502,505,197.81,170.63,-13.740458015267176,3,chandelier
ETHUSDT,2019,506,511,152.83,124.95,-18.24249165739712,5,chandelier
XRPUSDT,2019,528,553,0.29727,0.27547,-7.333400612238028,25,chandelier
BTCUSDT,2019,555,556,4117.76,3743.56,-9.087465029530616,1,chandelier
DOGEUSDT,2021,573,574,0.0364995,0.0459059,25.771311935779973,1,chandelier
