atr_period,universe,window,day,equity
24,Base5,0,0,1.000000
24,Base5,0,10,1.000000
24,Base5,0,20,1.000000
24,Base5,0,30,1.000000
24,Base5,0,40,1.000000
24,Base5,0,50,1.000000
24,Base5,0,60,1.000000
24,Base5,0,70,1.000000
24,Base5,0,80,1.000000
24,Base5,0,90,1.000000
24,Base5,0,100,1.000000
24,Base5,0,110,1.000000
24,Base5,0,120,1.000000
24,Base5,0,130,1.000000
24,Base5,0,140,1.000000
24,Base5,0,150,1.000000
24,Base5,0,160,1.000000
24,Base5,0,170,1.000000
24,Base5,0,180,1.000000
24,Base5,0,190,1.000000
24,Base5,0,200,1.000000
24,Base5,0,210,1.000000
24,Base5,0,220,1.000000
24,Base5,0,230,1.000000
24,Base5,0,240,1.000000
24,Base5,0,250,1.000000
24,Base5,1,0,1.000000
24,Base5,1,10,1.000000
24,Base5,1,20,1.000000
24,Base5,1,30,1.000000
24,Base5,1,40,1.000000
24,Base5,1,50,1.000000
24,Base5,1,60,1.000000
24,Base5,1,70,1.000000
24,Base5,1,80,1.000000
24,Base5,1,90,1.000000
24,Base5,1,100,1.000000
24,Base5,1,110,1.000000
24,Base5,1,120,1.000000
24,Base5,1,130,1.000000
24,Base5,1,140,1.000000
24,Base5,1,150,1.000000
24,Base5,1,160,1.000000
24,Base5,1,170,1.000000
24,Base5,1,180,1.000000
24,Base5,1,190,1.000000
24,Base5,1,200,1.000000
24,Base5,1,210,1.000000
24,Base5,1,220,1.000000
24,Base5,1,230,1.000000
24,Base5,1,240,1.000000
24,Base5,1,250,1.000000
24,Base5,2,0,1.000000
24,Base5,2,10,1.000000
24,Base5,2,20,1.000000
24,Base5,2,30,1.000000
24,Base5,2,40,1.000000
24,Base5,2,50,1.000000
24,Base5,2,60,1.000000
24,Base5,2,70,1.000000
24,Base5,2,80,1.000000
24,Base5,2,90,1.000000
24,Base5,2,100,1.000000
24,Base5,2,110,1.000000
24,Base5,2,120,1.000000
24,Base5,2,130,1.000000
24,Base5,2,140,1.000000
24,Base5,2,150,1.000000
24,Base5,2,160,1.000000
24,Base5,2,170,1.000000
24,Base5,2,180,1.000000
24,Base5,2,190,1.000000
24,Base5,2,200,1.000000
24,Base5,2,210,1.000000
24,Base5,2,220,1.000000
24,Base5,2,230,1.000000
24,Base5,2,240,1.000000
24,Base5,2,250,1.000000
24,Base5,3,0,1.000000
24,Base5,3,10,1.000000
24,Base5,3,20,1.000000
24,Base5,3,30,1.000000
24,Base5,3,40,1.000000
24,Base5,3,50,1.000000
24,Base5,3,60,1.000000
24,Base5,3,70,1.000000
24,Base5,3,80,1.000000
24,Base5,3,90,1.000000
24,Base5,3,100,1.000000
24,Base5,3,110,1.000000
24,Base5,3,120,1.000000
24,Base5,3,130,1.000000
24,Base5,3,140,1.000000
24,Base5,3,150,1.000000
24,Base5,3,160,1.000000
