atr_period,phase,universe,passes,total_w,avg_sharpe,avg_return,worst_dd,trades
95,phase1,Base5,6,6,1.2498,215.60,49.07,322
100,phase1,Base5,6,6,1.2265,211.45,48.08,327
40,phase1,Base5,6,6,1.1334,131.86,31.51,167
90,phase1,Base5,6,6,1.1251,160.19,49.07,321
55,phase1,Base5,6,6,1.0554,128.48,44.21,228
60,phase1,Base5,6,6,1.0324,137.90,49.07,249
70,phase1,Base5,6,6,1.0287,126.11,49.07,283
45,phase1,Base5,5,6,1.0120,109.52,36.53,191
65,phase1,Base5,6,6,0.9994,122.46,49.07,265
20,phase1,Base5,6,6,0.9983,162.36,47.74,106
85,phase1,Base5,5,6,0.9951,133.71,49.07,308
35,phase1,Base5,5,6,0.9937,110.47,33.43,158
75,phase1,Base5,5,6,0.9798,161.13,48.08,292
80,phase1,Base5,5,6,0.9561,113.23,49.07,307
15,phase1,Base5,6,6,0.8783,150.55,44.55,99
5,phase1,Base5,6,6,0.8256,150.74,48.46,97
25,phase1,Base5,5,6,0.8195,120.62,44.47,126
10,phase1,Base5,5,6,0.7663,115.57,46.01,102
30,phase1,Base5,5,6,0.7554,90.66,46.08,146
50,phase1,Base5,4,6,0.5884,65.67,44.21,219
95,phase2,ALL,43,54,0.6967,98.65,61.24,2652
100,phase2,ALL,44,54,0.6868,97.76,61.24,2680
90,phase2,ALL,43,54,0.6419,86.34,62.06,2585
25,phase2,ALL,38,54,0.5350,83.36,80.37,1067
40,phase2,ALL,37,54,0.4654,69.61,72.16,1424
