universe,mult,window_idx,cumulative_equity
Base5,2.0,0,3.580339
Base5,2.0,1,10.980649
Base5,2.0,2,10.619005
Base5,2.0,3,22.233888
Base5,2.0,4,29.918581
Base5,2.0,5,46.372706
Base5,1.5,0,5.619521
Base5,1.5,1,28.242107
Base5,1.5,2,22.235165
Base5,1.5,3,23.885479
Base5,1.5,4,25.680408
Base5,1.5,5,38.350989
Base5,2.5,0,3.580339
Base5,2.5,1,10.673604
Base5,2.5,2,10.332534
Base5,2.5,3,21.034295
Base5,2.5,4,28.304373
Base5,2.5,5,40.862188
NoDOGE,2.0,0,3.580339
NoDOGE,2.0,1,4.411406
NoDOGE,2.0,2,7.179240
NoDOGE,2.0,3,18.557287
NoDOGE,2.0,4,27.805678
NoDOGE,2.0,5,29.258220
NoDOGE,1.5,0,5.619521
NoDOGE,1.5,1,11.768225
NoDOGE,1.5,2,16.225646
NoDOGE,1.5,3,21.517905
NoDOGE,1.5,4,25.538783
NoDOGE,1.5,5,28.346574
NoDOGE,2.5,0,3.580339
NoDOGE,2.5,1,4.654772
NoDOGE,2.5,2,7.575300
NoDOGE,2.5,3,19.038177
NoDOGE,2.5,4,28.526228
NoDOGE,2.5,5,27.068868
Legacy4,2.0,0,1.321452
Legacy4,2.0,1,1.852890
Legacy4,2.0,2,3.774267
Legacy4,2.0,3,4.516039
Legacy4,2.0,4,5.097224
Legacy4,2.0,5,3.066538
Legacy4,1.5,0,1.150995
Legacy4,1.5,1,2.001160
Legacy4,1.5,2,2.578469
Legacy4,1.5,3,2.944378
Legacy4,1.5,4,2.521328
Legacy4,1.5,5,1.991445
Legacy4,2.5,0,1.315621
Legacy4,2.5,1,1.615377
Legacy4,2.5,2,3.293798
Legacy4,2.5,3,3.413439
Legacy4,2.5,4,3.697079
Legacy4,2.5,5,2.071667
Legacy5BNB,2.0,0,1.522502
Legacy5BNB,2.0,1,2.584053
Legacy5BNB,2.0,2,4.085816
Legacy5BNB,2.0,3,7.395906
Legacy5BNB,2.0,4,7.425494
Legacy5BNB,2.0,5,4.503974
Legacy5BNB,1.5,0,1.151223
Legacy5BNB,1.5,1,1.971876
Legacy5BNB,1.5,2,2.495065
Legacy5BNB,1.5,3,5.075620
Legacy5BNB,1.5,4,4.578224
Legacy5BNB,1.5,5,3.365908
Legacy5BNB,2.5,0,1.515784
Legacy5BNB,2.5,1,2.675648
Legacy5BNB,2.5,2,4.234930
Legacy5BNB,2.5,3,6.639403
Legacy5BNB,2.5,4,6.396664
Legacy5BNB,2.5,5,3.613854
OldGuardNoBNB,2.0,0,3.230659
OldGuardNoBNB,2.0,1,2.911771
OldGuardNoBNB,2.0,2,5.028930
OldGuardNoBNB,2.0,3,6.017285
OldGuardNoBNB,2.0,4,5.869359
OldGuardNoBNB,2.0,5,4.202403
OldGuardNoBNB,1.5,0,1.677451
OldGuardNoBNB,1.5,1,1.938651
OldGuardNoBNB,1.5,2,2.104073
OldGuardNoBNB,1.5,3,2.402661
OldGuardNoBNB,1.5,4,1.778043
OldGuardNoBNB,1.5,5,2.612800
OldGuardNoBNB,2.5,0,3.216404
OldGuardNoBNB,2.5,1,2.900913
OldGuardNoBNB,2.5,2,5.915040
OldGuardNoBNB,2.5,3,6.129892
OldGuardNoBNB,2.5,4,5.737643
OldGuardNoBNB,2.5,5,3.826372
LargeCaps5,2.0,0,2.915658
LargeCaps5,2.0,1,3.592441
LargeCaps5,2.0,2,5.082066
LargeCaps5,2.0,3,13.683241
LargeCaps5,2.0,4,20.502555
LargeCaps5,2.0,5,20.592854
LargeCaps5,1.5,0,3.616014
LargeCaps5,1.5,1,6.572323
LargeCaps5,1.5,2,7.876970
LargeCaps5,1.5,3,14.987269
LargeCaps5,1.5,4,13.010117
LargeCaps5,1.5,5,13.784014
LargeCaps5,2.5,0,2.915658
LargeCaps5,2.5,1,3.790626
LargeCaps5,2.5,2,5.362430
LargeCaps5,2.5,3,14.037826
LargeCaps5,2.5,4,21.033853
LargeCaps5,2.5,5,19.051919
Legacy3,2.0,0,1.490210
Legacy3,2.0,1,2.226389
Legacy3,2.0,2,2.255383
Legacy3,2.0,3,2.089409
Legacy3,2.0,4,1.192410
Legacy3,2.0,5,0.721413
Legacy3,1.5,0,1.120033
Legacy3,1.5,1,2.385773
Legacy3,1.5,2,2.350096
Legacy3,1.5,3,2.716751
Legacy3,1.5,4,1.815739
Legacy3,1.5,5,1.325379
Legacy3,2.5,0,1.490210
Legacy3,2.5,1,1.798837
Legacy3,2.5,2,1.824110
Legacy3,2.5,3,1.463607
Legacy3,2.5,4,0.801525
Legacy3,2.5,5,0.482845
LowVolume5,2.0,0,1.224415
LowVolume5,2.0,1,1.426509
LowVolume5,2.0,2,2.981084
LowVolume5,2.0,3,8.455116
LowVolume5,2.0,4,3.714818
LowVolume5,2.0,5,1.405971
LowVolume5,1.5,0,0.663002
LowVolume5,1.5,1,1.000414
LowVolume5,1.5,2,2.090720
LowVolume5,1.5,3,8.731524
LowVolume5,1.5,4,3.746159
LowVolume5,1.5,5,1.944659
LowVolume5,2.5,0,1.224415
LowVolume5,2.5,1,1.153763
LowVolume5,2.5,2,2.294118
LowVolume5,2.5,3,6.105990
LowVolume5,2.5,4,2.270388
LowVolume5,2.5,5,0.829996
OldGuard4,2.0,0,2.547615
OldGuard4,2.0,1,2.973754
OldGuard4,2.0,2,2.653427
OldGuard4,2.0,3,2.458161
OldGuard4,2.0,4,1.280010
OldGuard4,2.0,5,1.151126
OldGuard4,1.5,0,1.178650
OldGuard4,1.5,1,1.328128
OldGuard4,1.5,2,1.291690
OldGuard4,1.5,3,1.493216
OldGuard4,1.5,4,0.862854
OldGuard4,1.5,5,1.309700
OldGuard4,2.5,0,2.547615
OldGuard4,2.5,1,2.975795
OldGuard4,2.5,2,2.649470
OldGuard4,2.5,3,2.125848
OldGuard4,2.5,4,1.062248
OldGuard4,2.5,5,0.955290
