mult,pass,avg_sharpe,avg_return_pct,worst_dd_pct,total_trades
1.00,44,9.2801,1123.02,70.43,968
1.05,44,9.2801,1123.02,70.43,968
1.10,44,9.2801,1123.02,70.43,968
1.15,44,9.2801,1123.02,70.43,968
1.20,44,9.2801,1123.02,70.43,968
1.25,44,9.2801,1123.02,70.43,968
1.30,44,9.2801,1123.02,70.43,968
1.35,44,9.2801,1123.02,70.43,968
1.40,44,9.2801,1123.02,70.43,968
1.45,44,9.2801,1123.02,70.43,968
1.50,44,9.2801,1123.02,70.43,968
1.55,44,9.2801,1123.02,70.43,968
1.60,44,9.2801,1123.02,70.43,968
1.65,44,9.2801,1123.02,70.43,968
1.70,44,9.2801,1123.02,70.43,968
1.75,44,9.2801,1123.02,70.43,968
1.80,44,9.2801,1123.02,70.43,968
1.85,44,9.2801,1123.02,70.43,968
1.90,44,9.2801,1123.02,70.43,968
1.95,44,9.2801,1123.02,70.43,968
2.00,44,9.2801,1123.02,70.43,968
2.05,44,9.2801,1123.02,70.43,968
2.10,44,9.2801,1123.02,70.43,968
2.15,44,9.2801,1123.02,70.43,968
2.20,44,9.2801,1123.02,70.43,968
2.25,44,9.2801,1123.02,70.43,968
2.30,44,9.2801,1123.02,70.43,968
2.35,44,9.2801,1123.02,70.43,968
2.40,44,9.2189,1122.56,70.43,968
2.45,44,9.2801,1123.02,70.43,968
2.50,44,9.2801,1123.02,70.43,968
2.55,44,9.2801,1123.02,70.43,968
2.60,44,9.2801,1123.02,70.43,968
2.65,44,9.2801,1123.02,70.43,968
2.70,44,9.2801,1123.02,70.43,968
2.75,44,9.2801,1123.02,70.43,968
2.80,44,9.2801,1123.02,70.43,968
2.85,44,9.2801,1123.02,70.43,968
2.90,44,9.2801,1123.02,70.43,968
2.95,44,9.2801,1123.02,70.43,968
3.00,44,9.2801,1123.02,70.43,968
3.05,44,9.2801,1123.02,70.43,968
3.10,44,9.2801,1123.02,70.43,968
3.15,44,9.2801,1123.02,70.43,968
3.20,44,9.2801,1123.02,70.43,968
3.25,44,9.2801,1123.02,70.43,968
3.30,43,9.2197,1121.87,70.43,968
3.35,44,9.2801,1123.02,70.43,968
3.40,44,9.2801,1123.02,70.43,968
3.45,44,9.2801,1123.02,70.43,968
3.50,44,9.2801,1123.02,70.43,968
3.55,44,9.2801,1123.02,70.43,968
3.60,44,9.2801,1123.02,70.43,968
3.65,44,9.2801,1123.02,70.43,968
3.70,44,9.2801,1123.02,70.43,968
3.75,44,9.2801,1123.02,70.43,968
3.80,44,9.2801,1123.02,70.43,968
3.85,44,9.2801,1123.02,70.43,968
3.90,44,9.2801,1123.02,70.43,968
3.95,44,9.2801,1123.02,70.43,968
4.00,44,9.2801,1123.02,70.43,968
4.05,44,9.2801,1123.02,70.43,968
4.10,44,9.2801,1123.02,70.43,968
4.15,44,9.2801,1123.02,70.43,968
4.20,44,9.2801,1123.02,70.43,968
4.25,44,9.2801,1123.02,70.43,968
4.30,44,9.2801,1123.02,70.43,968
4.35,44,9.2801,1123.02,70.43,968
4.40,44,9.2801,1123.02,70.43,968
4.45,44,9.2801,1123.02,70.43,968
4.50,44,9.2801,1123.02,70.43,968
4.55,44,9.2801,1123.02,70.43,968
4.60,44,9.2801,1123.02,70.43,968
4.65,44,9.2801,1123.02,70.43,968
4.70,44,9.2801,1123.02,70.43,968
4.75,44,9.2801,1123.02,70.43,968
4.80,44,9.2801,1123.02,70.43,968
4.85,44,9.2801,1123.02,70.43,968
4.90,44,9.2801,1123.02,70.43,968
4.95,44,9.2801,1123.02,70.43,968
5.00,44,9.2801,1123.02,70.43,968
