atr_mult,pass_count,total_windows,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,win_rate_pct
0.50,37,60,61.6667,0.430453,8.4075,7.7308,5360,45.3545
0.55,37,60,61.6667,0.480201,8.4768,7.6706,5340,45.4120
0.60,36,60,60.0000,0.507416,8.9289,7.6175,5323,45.9140
0.65,37,60,61.6667,0.569722,10.0203,7.5056,5287,46.0185
0.70,38,60,63.3333,0.597169,10.0520,7.6586,5246,45.8445
0.75,39,60,65.0000,0.589368,9.8760,7.6720,5215,45.4267
0.80,37,60,61.6667,0.551203,9.7300,7.7341,5171,45.6391
0.85,37,60,61.6667,0.663943,10.7154,7.5002,5116,46.1884
0.90,39,60,65.0000,0.655250,10.0631,7.5464,5077,46.0311
0.95,38,60,63.3333,0.685522,10.0576,7.8365,5006,46.2845
1.00,36,60,60.0000,0.566326,8.8531,8.7378,4939,46.3454
1.05,40,60,66.6667,0.758147,11.0650,8.4398,4790,47.9123
1.10,41,60,68.3333,0.707932,10.1125,8.4345,4688,47.7602
1.15,44,60,73.3333,0.792736,11.2014,8.4983,4601,48.9241
1.20,38,60,63.3333,0.789566,11.7251,9.0663,4532,49.2056
1.25,35,60,58.3333,0.781584,11.5345,9.5469,4437,48.4562
1.30,40,60,66.6667,0.873979,12.7056,9.8737,4361,49.1401
1.35,40,60,66.6667,0.859481,12.7337,10.0157,4298,49.4881
1.40,42,60,70.0000,0.946806,13.0234,10.1847,4172,50.1198
1.45,41,60,68.3333,0.941430,12.9690,10.2391,4109,49.7688
1.50,42,60,70.0000,1.010307,14.2090,10.1624,3992,49.8246
1.55,41,60,68.3333,0.973325,14.2162,10.5785,3922,48.7761
1.60,42,60,70.0000,1.044246,15.7855,10.8151,3797,48.9334
1.65,39,60,65.0000,0.949552,14.9861,11.3484,3727,47.8669
1.70,38,60,63.3333,1.000460,15.9065,11.1535,3618,47.5954
1.75,41,60,68.3333,1.129431,17.9098,11.0011,3516,47.6394
1.80,44,60,73.3333,1.178573,18.7150,10.8852,3416,49.0340
1.85,40,60,66.6667,1.210753,18.9839,11.9114,3345,50.1943
1.90,42,60,70.0000,1.227869,19.5046,11.7933,3249,49.9846
1.95,46,60,76.6667,1.265713,19.6942,11.9785,3207,49.7350
2.00,47,60,78.3333,1.293944,20.5405,11.8654,3118,49.2303
2.05,42,60,70.0000,1.136882,19.0777,12.0091,3068,48.5984
2.10,42,60,70.0000,1.053528,18.1329,12.5585,3024,47.8505
2.15,43,60,71.6667,1.008579,17.1884,12.7500,2957,47.8187
2.20,42,60,70.0000,0.948607,16.4661,12.9447,2883,46.7569
2.25,41,60,68.3333,1.005727,18.8200,13.1262,2823,47.1484
2.30,42,60,70.0000,1.028815,19.4614,13.3605,2734,47.8786
2.35,43,60,71.6667,1.077196,22.5548,13.8016,2692,48.0684
2.40,40,60,66.6667,1.057668,22.1266,13.7325,2662,47.0699
2.45,37,60,61.6667,1.044964,22.3333,13.8050,2605,47.7927
2.50,38,60,63.3333,1.089892,24.7027,14.0081,2557,47.5166
2.55,41,60,68.3333,1.111347,24.9277,14.3731,2524,47.2266
2.60,41,60,68.3333,1.101460,24.6442,14.6445,2482,47.5423
2.65,43,60,71.6667,1.074828,23.7879,14.5551,2470,47.4089
2.70,41,60,68.3333,1.094920,24.7823,14.3664,2439,47.6835
2.75,43,60,71.6667,1.148822,25.6720,14.5766,2416,48.0132
2.80,41,60,68.3333,1.071280,24.1548,14.9629,2389,48.3047
2.85,40,60,66.6667,1.096553,24.7365,14.7826,2364,48.4772
2.90,39,60,65.0000,1.031610,23.5063,14.8796,2353,48.4063
2.95,40,60,66.6667,1.081127,24.2282,14.8175,2322,48.6219
3.00,40,60,66.6667,1.111418,24.8713,15.0786,2309,49.1988
3.05,41,60,68.3333,1.102351,24.6925,14.9031,2297,49.6735
3.10,41,60,68.3333,1.132743,25.2916,14.9534,2288,49.9126
3.15,40,60,66.6667,1.129889,25.5830,14.9799,2287,50.0219
3.20,40,60,66.6667,1.091446,25.5322,15.2436,2273,50.0660
3.25,40,60,66.6667,1.129686,26.3950,15.1067,2258,50.1771
3.30,42,60,70.0000,1.150330,26.4922,15.2977,2250,50.8000
3.35,41,60,68.3333,1.105277,25.5180,15.2893,2236,50.6708
3.40,40,60,66.6667,1.102193,25.3498,15.2538,2234,50.1791
3.45,40,60,66.6667,1.065679,25.1567,15.5938,2228,50.2693
3.50,40,60,66.6667,1.083733,25.9371,15.5145,2208,50.4076
3.55,39,60,65.0000,1.059463,25.6144,15.7370,2205,50.6122
3.60,39,60,65.0000,1.082424,26.1959,15.8093,2182,50.9624
3.65,39,60,65.0000,1.084919,26.1839,15.9319,2182,50.9624
3.70,41,60,68.3333,1.107012,26.8362,16.0547,2166,51.2927
3.75,42,60,70.0000,1.094533,26.1319,16.0700,2160,51.4352
3.80,40,60,66.6667,1.107797,26.1787,16.0755,2145,51.3753
3.85,40,60,66.6667,1.111772,26.3465,16.1800,2127,51.7160
3.90,40,60,66.6667,1.130254,27.2937,16.0566,2109,51.8255
3.95,40,60,66.6667,1.142822,27.9993,16.1076,2092,51.4818
4.00,40,60,66.6667,1.207606,29.7979,15.7022,2072,52.0753
4.05,40,60,66.6667,1.193610,29.7624,15.7677,2066,51.8393
4.10,39,60,65.0000,1.176601,29.5555,15.8655,2062,51.6489
