atr_mult,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.50,Base5,0,1.31204197,31.2042,1.608422,8.5250,93,46.2366,true
0.50,Base5,1,1.30524021,30.5240,2.848511,5.8553,125,48.0000,true
0.50,Base5,2,1.40711601,40.7116,3.017707,6.1395,120,52.5000,true
0.50,Base5,3,0.95894297,-4.1057,-0.495082,9.4416,70,41.4286,false
0.50,Base5,4,1.05809195,5.8092,0.511949,9.1399,101,42.5743,true
0.50,Base5,5,1.05686763,5.6868,0.998692,6.5234,100,39.0000,true
0.50,NoDOGE,0,1.23760101,23.7601,2.160843,4.2054,80,48.7500,true
0.50,NoDOGE,1,1.37646341,37.6463,3.377137,4.2373,116,50.8621,true
0.50,NoDOGE,2,1.31129535,31.1295,2.704278,6.1336,108,52.7778,true
0.50,NoDOGE,3,0.97311330,-2.6887,-0.308818,8.3438,61,45.9016,false
0.50,NoDOGE,4,1.01241547,1.2415,0.192304,8.0646,85,43.5294,true
0.50,NoDOGE,5,1.00373039,0.3730,0.115389,8.4959,82,37.8049,true
0.50,Legacy4,0,1.15923649,15.9236,1.473139,5.6459,79,45.5696,true
0.50,Legacy4,1,1.25761933,25.7619,2.781774,4.3677,112,53.5714,true
0.50,Legacy4,2,1.26691485,26.6915,2.418085,4.3884,91,48.3516,true
0.50,Legacy4,3,0.92225594,-7.7744,-1.090533,9.3441,55,41.8182,false
0.50,Legacy4,4,1.03776415,3.7764,0.460141,6.4916,83,46.9880,true
0.50,Legacy4,5,0.89222830,-10.7772,-3.231261,11.5276,76,30.2632,false
0.50,Legacy4,6,0.94509065,-5.4909,-1.337248,6.3310,99,44.4444,false
0.50,Legacy5BNB,0,1.19669827,19.6698,1.743781,4.3106,94,48.9362,true
0.50,Legacy5BNB,1,1.27778892,27.7789,2.862075,4.8351,133,53.3835,true
0.50,Legacy5BNB,2,1.27374469,27.3745,2.215939,4.5774,116,46.5517,true
0.50,Legacy5BNB,3,0.93700749,-6.2993,-0.786741,8.0752,69,46.3768,false
0.50,Legacy5BNB,4,1.08238948,8.2389,0.868473,7.5709,98,48.9796,true
0.50,Legacy5BNB,5,0.88346220,-11.6538,-3.504675,12.0213,86,30.2326,false
0.50,Legacy5BNB,6,0.98456013,-1.5440,-0.254356,5.8825,122,46.7213,false
0.50,OldGuardNoBNB,0,1.14163236,14.1632,1.303528,7.0586,89,46.0674,true
0.50,OldGuardNoBNB,1,1.23794214,23.7942,2.588286,4.6520,115,52.1739,true
0.50,OldGuardNoBNB,2,1.30679576,30.6796,2.513599,4.3884,106,48.1132,true
0.50,OldGuardNoBNB,3,0.94755151,-5.2448,-0.495858,13.0195,71,42.2535,false
0.50,OldGuardNoBNB,4,1.00674902,0.6749,0.140024,7.9513,95,45.2632,true
0.50,OldGuardNoBNB,5,0.84672411,-15.3276,-3.660002,15.3276,94,32.9787,false
0.50,OldGuardNoBNB,6,0.89367081,-10.6329,-2.655652,10.6329,112,41.0714,false
0.50,LargeCaps5,0,1.26608147,26.6081,2.322902,4.2054,97,50.5155,true
0.50,LargeCaps5,1,1.39853902,39.8539,3.464726,4.7053,137,51.0949,true
0.50,LargeCaps5,2,1.33004681,33.0047,2.882265,6.6882,132,52.2727,true
0.50,LargeCaps5,3,0.98867832,-1.1322,-0.095795,7.0346,75,49.3333,false
0.50,LargeCaps5,4,1.08084779,8.0848,0.763533,8.5899,100,47.0000,true
0.50,LargeCaps5,5,0.97510432,-2.4896,-0.524087,9.8840,93,34.4086,false
0.50,Legacy3,0,1.07143437,7.1434,0.891929,6.9128,64,45.3125,true
0.50,Legacy3,1,1.18174933,18.1749,2.549819,2.7928,90,54.4444,true
0.50,Legacy3,2,1.13530685,13.5307,1.465135,5.4888,69,42.0290,true
0.50,Legacy3,3,0.92746358,-7.2536,-1.027079,8.8322,43,41.8605,false
0.50,Legacy3,4,1.04443388,4.4434,0.635646,5.0295,67,47.7612,true
0.50,Legacy3,5,0.91394407,-8.6056,-2.789111,9.1344,59,30.5085,false
0.50,Legacy3,6,0.92772946,-7.2271,-2.056446,7.4225,74,39.1892,false
0.50,LowVolume5,0,1.18591070,18.5911,1.836678,5.9503,88,50.0000,true
0.50,LowVolume5,1,1.21339767,21.3398,2.553402,6.4335,93,50.5376,true
0.50,LowVolume5,2,1.16924955,16.9250,1.538825,5.5005,88,50.0000,true
0.50,LowVolume5,3,0.90693821,-9.3062,-0.778774,18.0055,62,38.7097,false
0.50,LowVolume5,4,0.95114429,-4.8856,-0.527056,8.4705,81,45.6790,false
0.50,LowVolume5,5,0.91814960,-8.1850,-1.896286,10.9329,85,40.0000,false
0.50,LowVolume5,6,0.84748910,-15.2511,-3.754171,15.2511,72,30.5556,false
0.50,OldGuard4,0,1.04509131,4.5091,0.568906,9.2970,75,45.3333,true
0.50,OldGuard4,1,1.16325924,16.3259,2.306051,3.6291,93,52.6882,true
0.50,OldGuard4,2,1.19019607,19.0196,1.793396,5.4888,84,44.0476,true
0.50,OldGuard4,3,0.95290199,-4.7098,-0.442185,12.4810,59,42.3729,false
0.50,OldGuard4,4,1.01321941,1.3219,0.222622,5.7275,79,45.5696,true
0.50,OldGuard4,5,0.85818531,-14.1815,-3.664920,14.1815,78,33.3333,false
0.50,OldGuard4,6,0.87725420,-12.2746,-3.496584,12.2746,87,35.6322,false
0.55,Base5,0,1.26067030,26.0670,1.401737,10.6873,93,45.1613,true
0.55,Base5,1,1.32526418,32.5264,3.015467,5.8553,124,49.1935,true
0.55,Base5,2,1.39879949,39.8799,2.963139,6.1395,120,52.5000,true
0.55,Base5,3,0.95174901,-4.8251,-0.592282,10.1210,70,40.0000,false
0.55,Base5,4,1.16634208,16.6342,1.183942,8.0646,99,44.4444,true
0.55,Base5,5,1.06426855,6.4269,1.114836,6.5234,99,39.3939,true
0.55,NoDOGE,0,1.18914400,18.9144,1.825396,4.7654,80,47.5000,true
0.55,NoDOGE,1,1.39758003,39.7580,3.545008,4.2373,115,52.1739,true
0.55,NoDOGE,2,1.30354517,30.3545,2.642898,6.1336,108,52.7778,true
0.55,NoDOGE,3,0.96581304,-3.4187,-0.408355,9.0314,61,44.2623,false
0.55,NoDOGE,4,1.04810276,4.8103,0.525237,8.0646,84,45.2381,true
0.55,NoDOGE,5,1.01075921,1.0759,0.269001,8.4959,81,38.2716,true
0.55,Legacy4,0,1.11384776,11.3848,1.122178,6.3994,79,44.3038,true
0.55,Legacy4,1,1.25761933,25.7619,2.781774,4.3677,112,53.5714,true
0.55,Legacy4,2,1.25942697,25.9427,2.355921,4.3884,91,48.3516,true
0.55,Legacy4,3,0.91533721,-8.4663,-1.192569,10.0242,55,40.0000,false
0.55,Legacy4,4,1.07434497,7.4345,0.885470,5.2155,82,48.7805,true
0.55,Legacy4,5,0.89222830,-10.7772,-3.231261,11.5276,76,30.2632,false
