atr_period,universe,window,ret,sharpe,max_dd,trades,win_rate,pass
5,Base5,W00,599.40,11.0052,0.00,13,69.2,true
5,Base5,W01,1323.65,7.7768,0.00,10,60.0,true
5,Base5,W02,434.79,19.0870,0.00,12,83.3,true
5,Base5,W03,122.51,7.6010,0.00,14,64.3,true
5,Base5,W04,17.32,3.4237,0.00,11,63.6,true
5,Base5,W05,-24.31,-1.4639,24.31,12,33.3,false
5,NoDOGE,W00,599.40,11.0052,0.00,13,69.2,true
5,NoDOGE,W01,-26.12,-5.4957,26.12,8,37.5,false
5,NoDOGE,W02,105.95,7.4708,0.00,12,58.3,true
5,NoDOGE,W03,292.79,13.6776,0.00,14,71.4,true
5,NoDOGE,W04,17.32,3.4237,0.00,11,63.6,true
5,NoDOGE,W05,-23.22,-1.3181,23.22,12,33.3,false
5,Legacy4,W00,93.77,8.6758,0.00,13,61.5,true
5,Legacy4,W01,30.62,3.9676,0.00,12,50.0,true
5,Legacy4,W02,343.87,11.4541,0.00,11,72.7,true
5,Legacy4,W03,0.64,2.7563,0.00,14,57.1,true
5,Legacy4,W04,27.23,4.4867,0.00,11,63.6,true
5,Legacy4,W05,-51.78,-5.6156,51.78,13,30.8,false
5,Legacy5BNB,W00,184.82,11.6683,0.00,13,69.2,true
5,Legacy5BNB,W01,52.83,6.1940,0.00,10,50.0,true
5,Legacy5BNB,W02,114.46,13.4770,0.00,11,63.6,true
5,Legacy5BNB,W03,138.85,9.4788,0.00,13,61.5,true
5,Legacy5BNB,W04,66.73,9.9893,0.00,9,55.6,true
5,Legacy5BNB,W05,-59.20,-14.0154,59.20,11,36.4,false
5,OldGuardNoBNB,W00,254.92,10.0152,0.00,13,61.5,true
5,OldGuardNoBNB,W01,-49.72,-7.0402,49.72,12,41.7,false
5,OldGuardNoBNB,W02,343.87,11.4541,0.00,11,72.7,true
5,OldGuardNoBNB,W03,0.64,2.7563,0.00,14,57.1,true
5,OldGuardNoBNB,W04,27.23,4.4867,0.00,11,63.6,true
5,OldGuardNoBNB,W05,-71.84,-12.9130,71.84,13,30.8,false
5,LargeCaps5,W00,599.40,11.0052,0.00,13,69.2,true
5,LargeCaps5,W01,-26.12,-5.4957,26.12,8,37.5,false
5,LargeCaps5,W02,105.95,7.4708,0.00,12,58.3,true
5,LargeCaps5,W03,165.03,10.0633,0.00,12,75.0,true
5,LargeCaps5,W04,0.45,1.5685,0.00,11,54.5,true
5,LargeCaps5,W05,-23.22,-1.3181,23.22,12,33.3,false
5,Legacy3,W00,288.73,13.8602,0.00,13,69.2,true
5,Legacy3,W01,70.94,7.0989,0.00,12,75.0,true
5,Legacy3,W02,202.43,7.4127,0.00,14,50.0,true
5,Legacy3,W03,148.65,7.8973,0.00,14,50.0,true
5,Legacy3,W04,-34.03,-7.1606,34.03,10,40.0,false
5,Legacy3,W05,-25.49,-1.4197,25.49,13,46.2,false
5,LowVolume5,W00,388.98,12.0992,0.00,14,71.4,true
5,LowVolume5,W01,44.45,5.9140,0.00,12,66.7,true
5,LowVolume5,W02,167.96,7.6812,0.00,14,57.1,true
5,LowVolume5,W03,467.71,9.6719,0.00,14,50.0,true
5,LowVolume5,W04,-59.72,-7.0243,59.72,12,41.7,false
5,LowVolume5,W05,-29.14,-1.3684,29.14,15,40.0,false
5,OldGuard4,W00,166.04,8.5478,0.00,13,61.5,true
5,OldGuard4,W01,28.84,6.1041,0.00,11,63.6,true
5,OldGuard4,W02,145.76,6.3047,0.00,14,42.9,true
