atr_period,step,equity
5,0,1.000000
5,1,1.009380
5,2,0.998836
5,3,0.998836
5,4,1.022833
5,5,1.022833
5,6,1.021731
5,7,1.031455
5,8,1.031455
5,9,1.035724
5,10,1.035724
5,11,1.035724
5,12,1.035724
5,13,1.032220
5,14,1.036362
5,15,1.041654
5,16,1.041654
5,17,1.043598
5,18,1.029657
5,19,1.024173
5,20,1.024173
5,21,1.024173
5,22,1.024173
5,23,1.027720
5,24,1.027720
5,25,1.027720
5,26,1.027662
5,27,1.026168
5,28,1.038206
5,29,1.044106
5,30,1.044106
5,31,1.062909
5,32,1.064116
5,33,1.081124
5,34,1.081124
5,35,1.075733
5,36,1.073819
5,37,1.072462
5,38,1.071639
5,39,1.062198
5,40,1.074866
5,41,1.086115
5,42,1.086115
5,43,1.103651
5,44,1.120712
5,45,1.125066
5,46,1.122229
5,47,1.122229
5,48,1.122229
5,49,1.122229
5,50,1.130759
5,51,1.130759
5,52,1.148914
5,53,1.162721
5,54,1.167731
5,55,1.162512
5,56,1.152675
5,57,1.135685
5,58,1.134660
5,59,1.130938
5,60,1.130938
5,61,1.107323
5,62,1.084250
5,63,1.094495
5,64,1.094495
5,65,1.094495
5,66,1.094495
5,67,1.099026
5,68,1.113097
5,69,1.113097
5,70,1.120225
5,71,1.115741
5,72,1.118599
5,73,1.129343
5,74,1.141629
5,75,1.122221
5,76,1.132677
5,77,1.132677
5,78,1.132677
5,79,1.136971
5,80,1.136971
5,81,1.136971
5,82,1.135834
5,83,1.138632
5,84,1.135790
5,85,1.133658
5,86,1.136490
5,87,1.146135
5,88,1.140008
5,89,1.155859
5,90,1.155859
5,91,1.144263
5,92,1.150242
5,93,1.150242
5,94,1.159267
5,95,1.159267
5,96,1.152932
5,97,1.155163
5,98,1.166914
5,99,1.169429
5,100,1.159484
5,101,1.150149
5,102,1.145214
5,103,1.140043
5,104,1.139974
5,105,1.139974
5,106,1.162314
5,107,1.162314
5,108,1.162514
5,109,1.162639
5,110,1.164289
5,111,1.162595
5,112,1.160956
5,113,1.189940
5,114,1.184497
5,115,1.183804
5,116,1.187835
5,117,1.184385
5,118,1.228565
5,119,1.228565
5,120,1.219300
5,121,1.217428
5,122,1.217428
5,123,1.217428
5,124,1.223725
5,125,1.245137
5,126,1.253655
5,127,1.253655
5,128,1.296567
5,129,1.306334
5,130,1.317392
5,131,1.342446
5,132,1.340963
5,133,1.332155
5,134,1.337357
5,135,1.337357
5,136,1.340331
5,137,1.354753
5,138,1.348909
5,139,1.356478
5,140,1.356984
5,141,1.353425
5,142,1.358072
5,143,1.358072
5,144,1.358072
5,145,1.352273
5,146,1.349387
5,147,1.351533
5,148,1.374660
5,149,1.405166
5,150,1.398771
5,151,1.428753
5,152,1.416899
5,153,1.420883
5,154,1.428788
5,155,1.466425
5,156,1.469808
5,157,1.469808
5,158,1.469808
5,159,1.481986
5,160,1.493687
5,161,1.496916
5,162,1.451670
5,163,1.451670
5,164,1.451670
5,165,1.451670
5,166,1.473467
5,167,1.473467
5,168,1.478932
5,169,1.489268
5,170,1.483855
5,171,1.483855
5,172,1.483428
5,173,1.481383
5,174,1.480299
5,175,1.480299
5,176,1.480299
5,177,1.487219
5,178,1.481688
5,179,1.471332
5,180,1.480057
5,181,1.503778
5,182,1.547404
5,183,1.540721
5,184,1.544088
5,185,1.544088
5,186,1.544256
5,187,1.524265
5,188,1.524265
5,189,1.528631
5,190,1.521125
5,191,1.521125
5,192,1.532178
5,193,1.523437
5,194,1.525357
5,195,1.518096
5,196,1.523215
5,197,1.509925
5,198,1.518880
5,199,1.484561
5,200,1.485928
5,201,1.506377
5,202,1.514714
5,203,1.514714
5,204,1.532178
5,205,1.541869
5,206,1.541869
5,207,1.541869
5,208,1.540241
5,209,1.540241
5,210,1.548475
5,211,1.548475
5,212,1.546840
5,213,1.561794
5,214,1.580818
5,215,1.580818
5,216,1.586403
5,217,1.632874
5,218,1.636704
5,219,1.636704
5,220,1.636704
5,221,1.625309
5,222,1.639493
5,223,1.636178
5,224,1.646505
5,225,1.644432
5,226,1.667052
5,227,1.668704
5,228,1.695352
5,229,1.695352
5,230,1.695352
5,231,1.695352
5,232,1.695352
5,233,1.695352
5,234,1.695352
5,235,1.695352
5,236,1.695352
5,237,1.695352
5,238,1.695352
5,239,1.695352
10,0,1.000000
10,1,1.009380
10,2,0.998836
10,3,0.998836
10,4,1.022833
10,5,1.022833
10,6,1.021731
10,7,1.031455
10,8,1.031455
10,9,1.035724
10,10,1.035724
10,11,1.035724
10,12,1.035724
10,13,1.032220
10,14,1.036362
10,15,1.041654
10,16,1.041654
10,17,1.043598
10,18,1.029657
10,19,1.024173
10,20,1.024173
10,21,1.024173
10,22,1.024173
10,23,1.027720
10,24,1.027720
10,25,1.027720
10,26,1.027662
10,27,1.026168
10,28,1.038206
10,29,1.044106
10,30,1.044106
10,31,1.062909
10,32,1.064116
10,33,1.081124
10,34,1.081124
10,35,1.075733
10,36,1.073819
10,37,1.072462
10,38,1.071639
10,39,1.062198
10,40,1.074866
10,41,1.086115
10,42,1.086115
10,43,1.103651
10,44,1.120712
10,45,1.125066
10,46,1.122229
10,47,1.122229
10,48,1.122229
10,49,1.122229
10,50,1.130759
10,51,1.130759
10,52,1.148914
10,53,1.162721
10,54,1.167731
10,55,1.162512
10,56,1.152675
10,57,1.135685
10,58,1.134660
10,59,1.130938
10,60,1.130938
10,61,1.107323
10,62,1.084250
10,63,1.094495
10,64,1.094495
10,65,1.094495
10,66,1.094495
10,67,1.099026
10,68,1.113097
10,69,1.113097
10,70,1.120225
10,71,1.115741
10,72,1.118599
10,73,1.129343
10,74,1.141629
10,75,1.122221
10,76,1.132677
10,77,1.132677
10,78,1.132677
10,79,1.136971
10,80,1.136971
10,81,1.136971
10,82,1.135834
10,83,1.138632
10,84,1.135790
10,85,1.133658
10,86,1.136490
10,87,1.146135
10,88,1.140008
10,89,1.155859
10,90,1.155859
10,91,1.144263
10,92,1.150242
10,93,1.150242
10,94,1.159267
10,95,1.159267
10,96,1.152932
10,97,1.155163
10,98,1.166914
10,99,1.169429
10,100,1.159484
10,101,1.150149
10,102,1.145214
10,103,1.140043
10,104,1.139974
10,105,1.139974
10,106,1.162314
10,107,1.162314
10,108,1.162514
10,109,1.162639
10,110,1.164289
10,111,1.162595
10,112,1.160956
10,113,1.189940
10,114,1.184497
10,115,1.183804
10,116,1.187835
10,117,1.184385
10,118,1.228565
10,119,1.228565
10,120,1.219300
10,121,1.217428
10,122,1.217428
10,123,1.217428
10,124,1.223725
10,125,1.245137
10,126,1.253655
10,127,1.253655
10,128,1.296567
10,129,1.306334
10,130,1.317392
10,131,1.342446
10,132,1.340963
10,133,1.332155
10,134,1.337357
10,135,1.337357
10,136,1.340331
10,137,1.354753
10,138,1.348909
10,139,1.356478
10,140,1.356984
10,141,1.353425
10,142,1.358072
10,143,1.358072
10,144,1.358072
10,145,1.352273
10,146,1.349387
10,147,1.351533
10,148,1.374660
10,149,1.405166
10,150,1.398771
10,151,1.428753
10,152,1.416899
10,153,1.420883
10,154,1.428788
10,155,1.466425
10,156,1.469808
10,157,1.469808
10,158,1.469808
10,159,1.481986
10,160,1.493687
10,161,1.496916
10,162,1.451670
10,163,1.451670
10,164,1.451670
10,165,1.451670
10,166,1.473467
10,167,1.473467
10,168,1.478932
10,169,1.489268
10,170,1.483855
10,171,1.483855
10,172,1.483428
10,173,1.481383
10,174,1.480299
10,175,1.480299
10,176,1.480299
10,177,1.487219
10,178,1.481688
10,179,1.471332
10,180,1.480057
10,181,1.503778
10,182,1.547404
10,183,1.540721
10,184,1.544088
10,185,1.544088
10,186,1.544256
10,187,1.524265
10,188,1.524265
10,189,1.528631
10,190,1.521125
10,191,1.521125
10,192,1.532178
10,193,1.523437
10,194,1.525357
10,195,1.518096
10,196,1.523215
10,197,1.509925
10,198,1.518880
10,199,1.484561
10,200,1.485928
10,201,1.506377
10,202,1.514714
10,203,1.514714
10,204,1.532178
10,205,1.541869
10,206,1.541869
10,207,1.541869
10,208,1.540241
10,209,1.540241
10,210,1.548475
10,211,1.548475
10,212,1.546840
10,213,1.561794
10,214,1.580818
10,215,1.580818
10,216,1.586403
10,217,1.632874
10,218,1.636704
10,219,1.636704
10,220,1.636704
10,221,1.625309
10,222,1.639493
10,223,1.636178
10,224,1.646505
10,225,1.644432
10,226,1.667052
10,227,1.668704
10,228,1.695352
10,229,1.695352
10,230,1.695352
10,231,1.695352
10,232,1.695352
10,233,1.695352
10,234,1.695352
10,235,1.695352
10,236,1.695352
10,237,1.695352
10,238,1.695352
10,239,1.695352
15,0,1.000000
15,1,1.009380
15,2,0.998836
15,3,0.998836
15,4,1.022833
