atr_period,universe,window,final_equity,final_ret_pct,final_dd_pct,sharpe,trades,pass
5,Base5,W00,6.9940,599.40,0.00,11.0052,13,true
5,Base5,W01,14.2365,1323.65,0.00,7.7768,10,true
5,Base5,W02,5.3479,434.79,0.00,19.0870,12,true
5,Base5,W03,2.2251,122.51,0.00,7.6010,14,true
5,Base5,W04,1.1732,17.32,0.00,3.4237,11,true
5,Base5,W05,0.7569,-24.31,24.31,-1.4639,12,false
5,NoDOGE,W00,6.9940,599.40,0.00,11.0052,13,true
5,NoDOGE,W01,0.7388,-26.12,26.12,-5.4957,8,false
5,NoDOGE,W02,2.0595,105.95,0.00,7.4708,12,true
5,NoDOGE,W03,3.9279,292.79,0.00,13.6776,14,true
5,NoDOGE,W04,1.1732,17.32,0.00,3.4237,11,true
5,NoDOGE,W05,0.7678,-23.22,23.22,-1.3181,12,false
5,Legacy4,W00,1.9377,93.77,0.00,8.6758,13,true
5,Legacy4,W01,1.3062,30.62,0.00,3.9676,12,true
5,Legacy4,W02,4.4387,343.87,0.00,11.4541,11,true
5,Legacy4,W03,1.0064,0.64,0.00,2.7563,14,true
5,Legacy4,W04,1.2723,27.23,0.00,4.4867,11,true
5,Legacy4,W05,0.4822,-51.78,51.78,-5.6156,13,false
5,Legacy5BNB,W00,2.8482,184.82,0.00,11.6683,13,true
5,Legacy5BNB,W01,1.5283,52.83,0.00,6.1940,10,true
5,Legacy5BNB,W02,2.1446,114.46,0.00,13.4770,11,true
5,Legacy5BNB,W03,2.3885,138.85,0.00,9.4788,13,true
5,Legacy5BNB,W04,1.6673,66.73,0.00,9.9893,9,true
5,Legacy5BNB,W05,0.4080,-59.20,59.20,-14.0154,11,false
5,OldGuardNoBNB,W00,3.5492,254.92,0.00,10.0152,13,true
5,OldGuardNoBNB,W01,0.5028,-49.72,49.72,-7.0402,12,false
5,OldGuardNoBNB,W02,4.4387,343.87,0.00,11.4541,11,true
5,OldGuardNoBNB,W03,1.0064,0.64,0.00,2.7563,14,true
5,OldGuardNoBNB,W04,1.2723,27.23,0.00,4.4867,11,true
5,OldGuardNoBNB,W05,0.2816,-71.84,71.84,-12.9130,13,false
5,LargeCaps5,W00,6.9940,599.40,0.00,11.0052,13,true
5,LargeCaps5,W01,0.7388,-26.12,26.12,-5.4957,8,false
5,LargeCaps5,W02,2.0595,105.95,0.00,7.4708,12,true
5,LargeCaps5,W03,2.6503,165.03,0.00,10.0633,12,true
5,LargeCaps5,W04,1.0045,0.45,0.00,1.5685,11,true
5,LargeCaps5,W05,0.7678,-23.22,23.22,-1.3181,12,false
5,Legacy3,W00,3.8873,288.73,0.00,13.8602,13,true
5,Legacy3,W01,1.7094,70.94,0.00,7.0989,12,true
5,Legacy3,W02,3.0243,202.43,0.00,7.4127,14,true
5,Legacy3,W03,2.4865,148.65,0.00,7.8973,14,true
5,Legacy3,W04,0.6597,-34.03,34.03,-7.1606,10,false
5,Legacy3,W05,0.7451,-25.49,25.49,-1.4197,13,false
5,LowVolume5,W00,4.8898,388.98,0.00,12.0992,14,true
5,LowVolume5,W01,1.4445,44.45,0.00,5.9140,12,true
5,LowVolume5,W02,2.6796,167.96,0.00,7.6812,14,true
5,LowVolume5,W03,5.6771,467.71,0.00,9.6719,14,true
5,LowVolume5,W04,0.4028,-59.72,59.72,-7.0243,12,false
5,LowVolume5,W05,0.7086,-29.14,29.14,-1.3684,15,false
5,OldGuard4,W00,2.6604,166.04,0.00,8.5478,13,true
5,OldGuard4,W01,1.2884,28.84,0.00,6.1041,11,true
5,OldGuard4,W02,2.4576,145.76,0.00,6.3047,14,true
5,OldGuard4,W03,2.4865,148.65,0.00,7.8973,14,true
5,OldGuard4,W04,0.5658,-43.42,43.42,-10.3522,11,false
5,OldGuard4,W05,1.0377,3.77,0.00,1.8672,14,true
10,Base5,W00,6.9940,599.40,0.00,11.0052,13,true
10,Base5,W01,14.2365,1323.65,0.00,7.7768,10,true
10,Base5,W02,5.3479,434.79,0.00,19.0870,12,true
10,Base5,W03,2.2251,122.51,0.00,7.6010,14,true
10,Base5,W04,1.1732,17.32,0.00,3.4237,11,true
10,Base5,W05,0.7569,-24.31,24.31,-1.4639,12,false
10,NoDOGE,W00,6.9940,599.40,0.00,11.0052,13,true
10,NoDOGE,W01,0.7388,-26.12,26.12,-5.4957,8,false
10,NoDOGE,W02,2.0595,105.95,0.00,7.4708,12,true
10,NoDOGE,W03,3.9279,292.79,0.00,13.6776,14,true
10,NoDOGE,W04,1.1732,17.32,0.00,3.4237,11,true
10,NoDOGE,W05,0.7678,-23.22,23.22,-1.3181,12,false
10,Legacy4,W00,1.9377,93.77,0.00,8.6758,13,true
10,Legacy4,W01,1.3062,30.62,0.00,3.9676,12,true
10,Legacy4,W02,4.4387,343.87,0.00,11.4541,11,true
10,Legacy4,W03,1.0064,0.64,0.00,2.7563,14,true
10,Legacy4,W04,1.2723,27.23,0.00,4.4867,11,true
10,Legacy4,W05,0.4822,-51.78,51.78,-5.6156,13,false
10,Legacy5BNB,W00,2.8482,184.82,0.00,11.6683,13,true
10,Legacy5BNB,W01,1.5283,52.83,0.00,6.1940,10,true
10,Legacy5BNB,W02,2.1446,114.46,0.00,13.4770,11,true
10,Legacy5BNB,W03,2.3885,138.85,0.00,9.4788,13,true
10,Legacy5BNB,W04,1.6673,66.73,0.00,9.9893,9,true
10,Legacy5BNB,W05,0.4080,-59.20,59.20,-14.0154,11,false
10,OldGuardNoBNB,W00,3.5492,254.92,0.00,10.0152,13,true
10,OldGuardNoBNB,W01,0.5028,-49.72,49.72,-7.0402,12,false
10,OldGuardNoBNB,W02,4.4387,343.87,0.00,11.4541,11,true
10,OldGuardNoBNB,W03,1.0064,0.64,0.00,2.7563,14,true
10,OldGuardNoBNB,W04,1.2723,27.23,0.00,4.4867,11,true
10,OldGuardNoBNB,W05,0.2816,-71.84,71.84,-12.9130,13,false
10,LargeCaps5,W00,6.9940,599.40,0.00,11.0052,13,true
10,LargeCaps5,W01,0.7388,-26.12,26.12,-5.4957,8,false
10,LargeCaps5,W02,2.0595,105.95,0.00,7.4708,12,true
10,LargeCaps5,W03,2.6503,165.03,0.00,10.0633,12,true
10,LargeCaps5,W04,1.0045,0.45,0.00,1.5685,11,true
10,LargeCaps5,W05,0.7678,-23.22,23.22,-1.3181,12,false
10,Legacy3,W00,3.8873,288.73,0.00,13.8602,13,true
10,Legacy3,W01,1.7094,70.94,0.00,7.0989,12,true
10,Legacy3,W02,3.0243,202.43,0.00,7.4127,14,true
10,Legacy3,W03,2.4865,148.65,0.00,7.8973,14,true
10,Legacy3,W04,0.6597,-34.03,34.03,-7.1606,10,false
10,Legacy3,W05,0.7451,-25.49,25.49,-1.4197,13,false
10,LowVolume5,W00,4.8898,388.98,0.00,12.0992,14,true
10,LowVolume5,W01,1.4445,44.45,0.00,5.9140,12,true
10,LowVolume5,W02,2.6796,167.96,0.00,7.6812,14,true
10,LowVolume5,W03,5.6771,467.71,0.00,9.6719,14,true
10,LowVolume5,W04,0.4028,-59.72,59.72,-7.0243,12,false
10,LowVolume5,W05,0.7086,-29.14,29.14,-1.3684,15,false
10,OldGuard4,W00,2.6604,166.04,0.00,8.5478,13,true
10,OldGuard4,W01,1.2884,28.84,0.00,6.1041,11,true
10,OldGuard4,W02,2.4576,145.76,0.00,6.3047,14,true
10,OldGuard4,W03,2.4865,148.65,0.00,7.8973,14,true
10,OldGuard4,W04,0.5658,-43.42,43.42,-10.3522,11,false
10,OldGuard4,W05,1.0377,3.77,0.00,1.8672,14,true
15,Base5,W00,6.9940,599.40,0.00,11.0052,13,true
15,Base5,W01,14.2365,1323.65,0.00,7.7768,10,true
15,Base5,W02,5.3479,434.79,0.00,19.0870,12,true
15,Base5,W03,2.2251,122.51,0.00,7.6010,14,true
15,Base5,W04,1.1732,17.32,0.00,3.4237,11,true
15,Base5,W05,0.7569,-24.31,24.31,-1.4639,12,false
15,NoDOGE,W00,6.9940,599.40,0.00,11.0052,13,true
15,NoDOGE,W01,0.7388,-26.12,26.12,-5.4957,8,false
15,NoDOGE,W02,2.0595,105.95,0.00,7.4708,12,true
15,NoDOGE,W03,3.9279,292.79,0.00,13.6776,14,true
15,NoDOGE,W04,1.1732,17.32,0.00,3.4237,11,true
15,NoDOGE,W05,0.7678,-23.22,23.22,-1.3181,12,false
15,Legacy4,W00,1.9377,93.77,0.00,8.6758,13,true
15,Legacy4,W01,1.3062,30.62,0.00,3.9676,12,true
15,Legacy4,W02,4.4387,343.87,0.00,11.4541,11,true
15,Legacy4,W03,1.0064,0.64,0.00,2.7563,14,true
15,Legacy4,W04,1.2723,27.23,0.00,4.4867,11,true
15,Legacy4,W05,0.4822,-51.78,51.78,-5.6156,13,false
15,Legacy5BNB,W00,2.8482,184.82,0.00,11.6683,13,true
15,Legacy5BNB,W01,1.5283,52.83,0.00,6.1940,10,true
15,Legacy5BNB,W02,2.1446,114.46,0.00,13.4770,11,true
15,Legacy5BNB,W03,2.3885,138.85,0.00,9.4788,13,true
15,Legacy5BNB,W04,1.6673,66.73,0.00,9.9893,9,true
15,Legacy5BNB,W05,0.4080,-59.20,59.20,-14.0154,11,false
15,OldGuardNoBNB,W00,3.5492,254.92,0.00,10.0152,13,true
15,OldGuardNoBNB,W01,0.5028,-49.72,49.72,-7.0402,12,false
15,OldGuardNoBNB,W02,4.4387,343.87,0.00,11.4541,11,true
15,OldGuardNoBNB,W03,1.0064,0.64,0.00,2.7563,14,true
15,OldGuardNoBNB,W04,1.2723,27.23,0.00,4.4867,11,true
15,OldGuardNoBNB,W05,0.2816,-71.84,71.84,-12.9130,13,false
15,LargeCaps5,W00,6.9940,599.40,0.00,11.0052,13,true
15,LargeCaps5,W01,0.7388,-26.12,26.12,-5.4957,8,false
15,LargeCaps5,W02,2.0595,105.95,0.00,7.4708,12,true
15,LargeCaps5,W03,2.6503,165.03,0.00,10.0633,12,true
15,LargeCaps5,W04,1.0045,0.45,0.00,1.5685,11,true
15,LargeCaps5,W05,0.7678,-23.22,23.22,-1.3181,12,false
15,Legacy3,W00,3.8873,288.73,0.00,13.8602,13,true
15,Legacy3,W01,1.7094,70.94,0.00,7.0989,12,true
15,Legacy3,W02,3.0243,202.43,0.00,7.4127,14,true
15,Legacy3,W03,2.4865,148.65,0.00,7.8973,14,true
15,Legacy3,W04,0.6597,-34.03,34.03,-7.1606,10,false
15,Legacy3,W05,0.7451,-25.49,25.49,-1.4197,13,false
15,LowVolume5,W00,4.8898,388.98,0.00,12.0992,14,true
15,LowVolume5,W01,1.4445,44.45,0.00,5.9140,12,true
15,LowVolume5,W02,2.6796,167.96,0.00,7.6812,14,true
15,LowVolume5,W03,5.6771,467.71,0.00,9.6719,14,true
15,LowVolume5,W04,0.4028,-59.72,59.72,-7.0243,12,false
15,LowVolume5,W05,0.7086,-29.14,29.14,-1.3684,15,false
15,OldGuard4,W00,2.6604,166.04,0.00,8.5478,13,true
15,OldGuard4,W01,1.2884,28.84,0.00,6.1041,11,true
15,OldGuard4,W02,2.4576,145.76,0.00,6.3047,14,true
15,OldGuard4,W03,2.4865,148.65,0.00,7.8973,14,true
15,OldGuard4,W04,0.5658,-43.42,43.42,-10.3522,11,false
15,OldGuard4,W05,1.0377,3.77,0.00,1.8672,14,true
24,Base5,W00,6.9940,599.40,0.00,11.0052,13,true
24,Base5,W01,14.2365,1323.65,0.00,7.7768,10,true
24,Base5,W02,5.3479,434.79,0.00,19.0870,12,true
24,Base5,W03,2.2251,122.51,0.00,7.6010,14,true
24,Base5,W04,1.1732,17.32,0.00,3.4237,11,true
24,Base5,W05,0.7569,-24.31,24.31,-1.4639,12,false
24,NoDOGE,W00,6.9940,599.40,0.00,11.0052,13,true
24,NoDOGE,W01,0.7388,-26.12,26.12,-5.4957,8,false
24,NoDOGE,W02,2.0595,105.95,0.00,7.4708,12,true
24,NoDOGE,W03,3.9279,292.79,0.00,13.6776,14,true
24,NoDOGE,W04,1.1732,17.32,0.00,3.4237,11,true
24,NoDOGE,W05,0.7678,-23.22,23.22,-1.3181,12,false
24,Legacy4,W00,1.9377,93.77,0.00,8.6758,13,true
24,Legacy4,W01,1.3062,30.62,0.00,3.9676,12,true
24,Legacy4,W02,4.4387,343.87,0.00,11.4541,11,true
24,Legacy4,W03,1.0064,0.64,0.00,2.7563,14,true
24,Legacy4,W04,1.2723,27.23,0.00,4.4867,11,true
24,Legacy4,W05,0.4822,-51.78,51.78,-5.6156,13,false
24,Legacy5BNB,W00,2.8482,184.82,0.00,11.6683,13,true
24,Legacy5BNB,W01,1.5283,52.83,0.00,6.1940,10,true
24,Legacy5BNB,W02,2.1446,114.46,0.00,13.4770,11,true
24,Legacy5BNB,W03,2.3885,138.85,0.00,9.4788,13,true
24,Legacy5BNB,W04,1.6673,66.73,0.00,9.9893,9,true
24,Legacy5BNB,W05,0.4080,-59.20,59.20,-14.0154,11,false
24,OldGuardNoBNB,W00,3.5492,254.92,0.00,10.0152,13,true
24,OldGuardNoBNB,W01,0.5028,-49.72,49.72,-7.0402,12,false
24,OldGuardNoBNB,W02,4.4387,343.87,0.00,11.4541,11,true
24,OldGuardNoBNB,W03,1.0064,0.64,0.00,2.7563,14,true
24,OldGuardNoBNB,W04,1.2723,27.23,0.00,4.4867,11,true
24,OldGuardNoBNB,W05,0.2816,-71.84,71.84,-12.9130,13,false
24,LargeCaps5,W00,6.9940,599.40,0.00,11.0052,13,true
24,LargeCaps5,W01,0.7388,-26.12,26.12,-5.4957,8,false
24,LargeCaps5,W02,2.0595,105.95,0.00,7.4708,12,true
24,LargeCaps5,W03,2.6503,165.03,0.00,10.0633,12,true
24,LargeCaps5,W04,1.0045,0.45,0.00,1.5685,11,true
24,LargeCaps5,W05,0.7678,-23.22,23.22,-1.3181,12,false
24,Legacy3,W00,3.8873,288.73,0.00,13.8602,13,true
24,Legacy3,W01,1.7094,70.94,0.00,7.0989,12,true
24,Legacy3,W02,3.0243,202.43,0.00,7.4127,14,true
24,Legacy3,W03,2.4865,148.65,0.00,7.8973,14,true
24,Legacy3,W04,0.6597,-34.03,34.03,-7.1606,10,false
24,Legacy3,W05,0.7451,-25.49,25.49,-1.4197,13,false
24,LowVolume5,W00,4.8898,388.98,0.00,12.0992,14,true
24,LowVolume5,W01,1.4445,44.45,0.00,5.9140,12,true
24,LowVolume5,W02,2.6796,167.96,0.00,7.6812,14,true
24,LowVolume5,W03,5.6771,467.71,0.00,9.6719,14,true
24,LowVolume5,W04,0.4028,-59.72,59.72,-7.0243,12,false
24,LowVolume5,W05,0.7086,-29.14,29.14,-1.3684,15,false
24,OldGuard4,W00,2.6604,166.04,0.00,8.5478,13,true
24,OldGuard4,W01,1.2884,28.84,0.00,6.1041,11,true
