atr_period,pass_rate,total_pass,total_windows,pos_unis,avg_sharpe,avg_ret,avg_dd,total_trades
5,68.52,37,54,9,4.6860,203.63,12.88,667
10,68.52,37,54,9,4.6860,203.63,12.88,667
15,68.52,37,54,9,4.6860,203.63,12.88,667
20,68.52,37,54,9,4.6860,203.63,12.88,667
24,68.52,37,54,9,4.6860,203.63,12.88,667
25,68.52,37,54,9,4.6860,203.63,12.88,667
30,68.52,37,54,9,4.6860,203.63,12.88,667
35,68.52,37,54,9,4.6860,203.63,12.88,667
40,68.52,37,54,9,4.6860,203.63,12.88,667
45,68.52,37,54,9,4.6860,203.63,12.88,667
50,68.52,37,54,9,4.6860,203.63,12.88,667
55,68.52,37,54,9,4.6860,203.63,12.88,667
60,68.52,37,54,9,4.6860,203.63,12.88,667
65,68.52,37,54,9,4.6860,203.63,12.88,667
70,68.52,37,54,9,4.6860,203.63,12.88,667
75,68.52,37,54,9,4.6860,203.63,12.88,667
80,68.52,37,54,9,4.6860,203.63,12.88,667
85,68.52,37,54,9,4.6860,203.63,12.88,667
90,68.52,37,54,9,4.6860,203.63,12.88,667
95,68.52,37,54,9,4.6860,203.63,12.88,667
100,68.52,37,54,9,4.6860,203.63,12.88,667
