atr_period,bar,equity
95,0,1.000000
95,1,1.000000
95,2,1.000000
95,3,1.117681
95,4,1.342461
95,5,1.342461
95,6,1.342461
95,7,1.440978
95,8,1.435618
95,9,1.453692
95,10,1.453692
95,11,1.453692
95,12,1.453692
95,13,1.453692
95,14,1.319937
95,15,1.179958
95,16,1.179958
95,17,1.000316
95,18,1.000316
95,19,0.942783
95,20,0.942804
95,21,0.942804
95,22,0.942804
95,23,0.942804
95,24,0.942804
95,25,0.942804
95,26,0.948341
95,27,1.260098
95,28,1.260098
95,29,1.260098
95,30,1.260098
95,31,1.157852
95,32,1.157852
95,33,1.157852
95,34,1.062275
95,35,1.062275
95,36,1.062275
95,37,1.062275
95,38,1.061438
95,39,1.081333
95,40,1.129612
95,41,1.126771
95,42,1.126771
95,43,1.126771
95,44,1.126771
95,45,1.126771
95,46,1.126771
95,47,1.105454
95,48,1.041758
95,49,0.973998
95,50,0.887696
95,51,0.888642
95,52,0.878883
95,53,0.878883
95,54,0.878883
95,55,0.878883
95,56,1.145962
95,57,1.145962
95,58,1.099938
95,59,1.624560
95,60,1.624560
95,61,1.624560
95,62,2.637186
95,63,2.637186
95,64,2.647848
95,65,2.683619
95,66,4.620469
95,67,4.620469
95,68,5.751086
95,69,5.850218
95,70,5.517052
95,71,5.814140
95,72,3.573412
95,73,3.573412
95,74,3.573412
95,75,3.527659
95,76,3.770190
95,77,3.214072
95,78,2.834900
95,79,2.157482
95,80,2.913782
95,81,2.867243
95,82,2.254261
95,83,2.131192
95,84,2.025345
95,85,2.025345
95,86,2.043963
95,87,1.940862
95,88,1.795308
95,89,1.795308
95,90,1.889241
95,91,1.740431
95,92,2.108379
95,93,2.191856
95,94,2.227463
95,95,2.438420
95,96,2.399184
95,97,2.386010
95,98,2.300662
95,99,2.300662
95,100,3.110825
95,101,3.682000
95,102,3.682000
95,103,4.177916
95,104,4.005431
95,105,4.043619
95,106,4.043619
95,107,4.146220
95,108,4.136277
95,109,4.036450
95,110,3.698985
95,111,4.534353
95,112,4.534353
95,113,4.534353
95,114,4.639272
95,115,4.576783
95,116,4.742692
95,117,4.677785
95,118,8.462672
95,119,8.580561
95,120,8.788982
95,121,8.940387
95,122,8.638169
95,123,8.674555
95,124,8.408856
95,125,7.574614
95,126,9.191984
95,127,9.963304
95,128,10.575049
95,129,11.956045
95,130,13.147711
95,131,17.960086
95,132,16.347535
95,133,15.856971
95,134,19.231160
95,135,18.398540
95,136,18.495602
95,137,18.248918
95,138,18.264169
95,139,15.641239
95,140,14.483936
95,141,22.678890
95,142,22.981914
95,143,24.051378
95,144,24.337690
95,145,23.721459
95,146,23.721459
95,147,21.777819
95,148,21.554434
95,149,21.554434
95,150,21.554434
95,151,21.554434
95,152,21.778281
95,153,20.515386
95,154,20.515386
95,155,20.515386
95,156,20.515386
95,157,20.151862
95,158,20.151862
95,159,27.901961
95,160,27.901961
95,161,24.736212
95,162,24.156760
95,163,24.156760
95,164,23.495839
95,165,23.035274
95,166,37.391033
95,167,37.391033
95,168,37.965925
95,169,37.965925
95,170,43.866603
95,171,42.842000
95,172,44.192708
95,173,43.514350
95,174,43.235127
95,175,43.984196
95,176,54.536565
95,177,59.147666
95,178,61.289631
95,179,59.331669
95,180,79.921338
95,181,71.256821
95,182,71.256821
95,183,71.256821
95,184,70.882841
95,185,62.332596
95,186,62.332596
95,187,62.332596
95,188,62.332596
95,189,74.879871
95,190,76.985195
95,191,86.136164
95,192,86.373266
95,193,79.667117
95,194,99.216443
95,195,99.216443
95,196,99.216443
95,197,98.853872
95,198,112.879885
95,199,111.308281
95,200,111.758328
95,201,105.269124
95,202,94.916709
95,203,98.886468
95,204,94.640872
95,205,143.490305
95,206,134.672362
95,207,130.618338
95,208,130.618338
95,209,132.123168
95,210,149.765628
95,211,131.288200
95,212,119.518964
95,213,118.604250
95,214,124.158479
95,215,121.742739
95,216,119.594452
95,217,119.594452
95,218,115.359978
95,219,121.034355
95,220,142.047009
95,221,148.936138
95,222,151.760753
95,223,159.360253
95,224,148.554828
95,225,175.807469
95,226,166.309191
95,227,166.309191
95,228,164.343064
95,229,166.700534
95,230,169.237387
95,231,165.886449
95,232,140.725510
95,233,132.277438
95,234,132.277438
95,235,135.699507
95,236,132.813612
95,237,139.631718
95,238,124.433911
95,239,124.433911
95,240,120.382836
95,241,204.271601
95,242,295.122377
95,243,301.041522
95,244,290.501990
95,245,290.501990
95,246,293.619565
95,247,253.939304
95,248,248.170654
95,249,251.256952
95,250,250.653808
95,251,247.734448
100,0,1.000000
100,1,1.000000
100,2,1.000000
100,3,1.117681
100,4,1.342461
100,5,1.342461
100,6,1.342461
100,7,1.440978
100,8,1.435618
100,9,1.453692
100,10,1.453692
100,11,1.453692
100,12,1.453692
100,13,1.453692
100,14,1.319937
100,15,1.179958
100,16,1.179958
100,17,1.000316
100,18,1.000316
100,19,0.942783
100,20,0.942804
100,21,0.942804
100,22,0.942804
100,23,0.942804
100,24,0.942804
100,25,0.942804
