atr_period,universe,window,bar,equity
16,Base5,0,0,1.000000
16,Base5,0,1,1.000000
16,Base5,0,2,1.410360
16,Base5,0,3,1.373305
16,Base5,0,4,1.335884
16,Base5,0,5,1.422759
16,Base5,0,6,1.296015
16,Base5,0,7,1.296015
16,Base5,0,8,1.296015
16,Base5,0,9,1.296015
16,Base5,0,10,1.296015
16,Base5,0,11,1.296015
16,Base5,0,12,1.197385
16,Base5,0,13,1.197385
16,Base5,0,14,1.197385
16,Base5,0,15,1.197385
16,Base5,0,16,1.259768
16,Base5,0,17,1.259768
16,Base5,0,18,1.259768
16,Base5,0,19,1.259768
16,Base5,0,20,1.259768
16,Base5,0,21,1.259768
16,Base5,0,22,1.259768
16,Base5,0,23,1.259768
16,Base5,0,24,1.259768
16,Base5,0,25,1.200187
16,Base5,0,26,1.200187
16,Base5,0,27,1.200187
16,Base5,0,28,1.200187
16,Base5,0,29,1.236937
16,Base5,0,30,1.236937
16,Base5,0,31,1.236937
16,Base5,0,32,1.236937
16,Base5,0,33,1.236937
16,Base5,0,34,1.236937
16,Base5,0,35,1.236937
16,Base5,0,36,1.236937
16,Base5,0,37,1.236937
16,Base5,0,38,1.236937
16,Base5,0,39,1.236937
16,Base5,0,40,1.236937
16,Base5,0,41,1.236937
16,Base5,0,42,1.236937
16,Base5,0,43,1.236937
16,Base5,0,44,1.236937
16,Base5,0,45,1.236937
16,Base5,0,46,1.236937
16,Base5,0,47,1.236937
16,Base5,0,48,1.236937
16,Base5,0,49,1.236937
16,Base5,0,50,1.236937
16,Base5,0,51,1.236937
16,Base5,0,52,1.236937
16,Base5,0,53,1.236937
16,Base5,0,54,1.236937
16,Base5,0,55,1.236937
16,Base5,0,56,1.236937
16,Base5,0,57,1.236937
16,Base5,0,58,1.236937
16,Base5,0,59,1.236937
16,Base5,0,60,1.236937
16,Base5,0,61,1.236937
16,Base5,0,62,1.236937
16,Base5,0,63,1.236937
16,Base5,0,64,1.236937
16,Base5,0,65,1.236937
16,Base5,0,66,1.236937
16,Base5,0,67,1.236937
16,Base5,0,68,1.236937
16,Base5,0,69,1.236937
16,Base5,0,70,1.236937
16,Base5,0,71,1.236937
16,Base5,0,72,1.456849
16,Base5,0,73,1.383600
16,Base5,0,74,1.383600
16,Base5,0,75,1.383600
16,Base5,0,76,1.383600
16,Base5,0,77,1.383600
16,Base5,0,78,1.383600
16,Base5,0,79,1.383600
16,Base5,0,80,1.383600
16,Base5,0,81,1.486550
16,Base5,0,82,1.461515
16,Base5,0,83,1.461515
16,Base5,0,84,1.461515
16,Base5,0,85,1.429192
16,Base5,0,86,1.388228
16,Base5,0,87,1.388228
16,Base5,0,88,1.388228
16,Base5,0,89,1.388228
16,Base5,0,90,1.388228
16,Base5,0,91,1.388228
16,Base5,0,92,1.388228
16,Base5,0,93,1.388228
16,Base5,0,94,1.388228
16,Base5,0,95,1.388228
16,Base5,0,96,1.388228
16,Base5,0,97,1.388228
16,Base5,0,98,1.388228
16,Base5,0,99,1.367430
16,Base5,0,100,1.361545
16,Base5,0,101,1.361545
16,Base5,0,102,1.361545
16,Base5,0,103,1.523031
16,Base5,0,104,1.523031
16,Base5,0,105,1.523031
16,Base5,0,106,1.523031
16,Base5,0,107,1.523031
16,Base5,0,108,2.614550
16,Base5,0,109,4.806605
16,Base5,0,110,4.806605
16,Base5,0,111,4.806605
16,Base5,0,112,4.806605
16,Base5,0,113,8.607299
16,Base5,0,114,15.638976
16,Base5,0,115,15.638976
16,Base5,0,116,25.107829
16,Base5,0,117,25.107829
16,Base5,0,118,41.265562
16,Base5,0,119,64.024968
16,Base5,0,120,94.085940
16,Base5,0,121,142.754564
16,Base5,0,122,212.413236
16,Base5,0,123,299.025588
16,Base5,0,124,309.948430
16,Base5,0,125,324.627843
16,Base5,0,126,324.627843
16,Base5,0,127,324.627843
16,Base5,0,128,340.501235
16,Base5,0,129,335.282708
16,Base5,0,130,727.957523
16,Base5,0,131,1421.567434
16,Base5,0,132,1421.567434
16,Base5,0,133,2308.548149
16,Base5,0,134,2353.533263
16,Base5,0,135,3603.960745
16,Base5,0,136,4465.392523
16,Base5,0,137,4843.303816
16,Base5,0,138,4843.303816
16,Base5,0,139,4843.303816
16,Base5,0,140,5765.248021
16,Base5,0,141,5103.504171
16,Base5,0,142,4590.802648
16,Base5,0,143,4590.802648
16,Base5,0,144,4590.802648
16,Base5,0,145,4590.802648
16,Base5,0,146,4590.802648
16,Base5,0,147,4590.802648
16,Base5,0,148,4590.802648
16,Base5,0,149,4590.802648
16,Base5,0,150,4590.802648
16,Base5,0,151,4590.802648
16,Base5,0,152,4590.802648
16,Base5,0,153,4590.802648
16,Base5,0,154,4590.802648
16,Base5,0,155,4590.802648
16,Base5,0,156,4590.802648
16,Base5,0,157,4590.802648
16,Base5,0,158,4691.889869
16,Base5,0,159,4809.702371
16,Base5,0,160,4809.702371
16,Base5,0,161,4809.702371
16,Base5,0,162,4809.702371
16,Base5,0,163,4753.975970
16,Base5,0,164,4753.975970
16,Base5,0,165,4753.975970
16,Base5,0,166,4753.975970
16,Base5,0,167,4753.975970
16,Base5,0,168,5674.752151
16,Base5,0,169,6767.733703
16,Base5,0,170,6767.733703
16,Base5,0,171,7998.024398
16,Base5,0,172,8449.209867
16,Base5,0,173,8607.399165
16,Base5,0,174,8607.399165
16,Base5,0,175,8947.691490
16,Base5,0,176,9328.295986
16,Base5,0,177,9487.806930
16,Base5,0,178,9587.143647
16,Base5,0,179,9587.143647
16,Base5,0,180,9175.952577
16,Base5,0,181,9175.952577
16,Base5,0,182,9175.952577
16,Base5,0,183,9175.952577
16,Base5,0,184,10587.238176
16,Base5,0,185,12272.304116
16,Base5,0,186,15215.806473
16,Base5,0,187,19010.717094
16,Base5,0,188,22200.800818
16,Base5,0,189,21755.090892
16,Base5,0,190,21755.090892
16,Base5,0,191,21755.090892
16,Base5,0,192,23673.119351
16,Base5,0,193,23666.784466
16,Base5,0,194,23666.784466
16,Base5,0,195,23666.784466
16,Base5,0,196,23666.784466
16,Base5,0,197,25576.675324
16,Base5,0,198,25033.340437
16,Base5,0,199,24135.637777
16,Base5,0,200,24135.637777
16,Base5,0,201,23160.649159
16,Base5,0,202,23160.649159
16,Base5,0,203,32778.391485
16,Base5,0,204,44233.017982
16,Base5,0,205,44233.017982
16,Base5,0,206,44233.017982
16,Base5,0,207,61650.855470
16,Base5,0,208,81738.773025
16,Base5,0,209,104061.144100
16,Base5,0,210,124553.907218
16,Base5,0,211,138200.373654
16,Base5,0,212,138200.373654
16,Base5,0,213,140582.560666
16,Base5,0,214,140183.502016
16,Base5,0,215,135981.876514
16,Base5,0,216,138292.410575
16,Base5,0,217,138292.410575
16,Base5,0,218,138292.410575
16,Base5,0,219,138292.410575
16,Base5,0,220,138292.410575
16,Base5,0,221,138292.410575
16,Base5,0,222,138292.410575
16,Base5,0,223,138292.410575
16,Base5,0,224,138292.410575
16,Base5,0,225,138292.410575
16,Base5,0,226,130285.368249
16,Base5,0,227,120752.982038
16,Base5,0,228,108946.340619
16,Base5,0,229,108946.340619
16,Base5,0,230,108946.340619
16,Base5,0,231,108946.340619
16,Base5,0,232,108946.340619
16,Base5,0,233,108946.340619
16,Base5,0,234,108946.340619
16,Base5,0,235,108946.340619
16,Base5,0,236,108946.340619
16,Base5,0,237,108946.340619
16,Base5,0,238,108946.340619
16,Base5,0,239,108946.340619
16,Base5,0,240,108946.340619
16,Base5,0,241,108946.340619
16,Base5,0,242,108946.340619
16,Base5,0,243,108946.340619
16,Base5,0,244,108946.340619
16,Base5,0,245,108946.340619
16,Base5,0,246,125657.539500
16,Base5,0,247,142590.858292
16,Base5,0,248,155541.054237
16,Base5,0,249,155541.054237
16,Base5,0,250,163715.387153
16,Base5,1,0,1.000000
16,Base5,1,1,1.019502
16,Base5,1,2,1.022557
16,Base5,1,3,1.011659
16,Base5,1,4,1.153485
16,Base5,1,5,1.187334
16,Base5,1,6,1.187334
16,Base5,1,7,1.187334
16,Base5,1,8,1.187334
16,Base5,1,9,1.187334
16,Base5,1,10,1.187334
16,Base5,1,11,1.187334
16,Base5,1,12,1.187334
16,Base5,1,13,1.187334
16,Base5,1,14,1.187334
16,Base5,1,15,1.187334
16,Base5,1,16,1.187334
16,Base5,1,17,1.187334
16,Base5,1,18,1.187334
16,Base5,1,19,1.187334
16,Base5,1,20,1.187334
16,Base5,1,21,1.187334
16,Base5,1,22,1.187334
16,Base5,1,23,1.187334
16,Base5,1,24,1.187334
16,Base5,1,25,1.187334
16,Base5,1,26,1.187334
16,Base5,1,27,1.187334
16,Base5,1,28,1.187334
16,Base5,1,29,1.187334
16,Base5,1,30,1.187334
16,Base5,1,31,1.187334
16,Base5,1,32,1.187334
16,Base5,1,33,1.187334
16,Base5,1,34,1.187334
16,Base5,1,35,1.187334
16,Base5,1,36,1.187334
16,Base5,1,37,1.187334
16,Base5,1,38,1.187334
16,Base5,1,39,1.187334
16,Base5,1,40,1.187334
16,Base5,1,41,1.187334
16,Base5,1,42,1.187334
16,Base5,1,43,1.187334
16,Base5,1,44,1.299385
16,Base5,1,45,1.258451
16,Base5,1,46,1.258451
16,Base5,1,47,1.203923
16,Base5,1,48,1.149383
16,Base5,1,49,1.149383
16,Base5,1,50,1.149383
16,Base5,1,51,1.149383
16,Base5,1,52,1.149383
16,Base5,1,53,1.149383
16,Base5,1,54,1.149383
16,Base5,1,55,1.149383
16,Base5,1,56,1.149383
16,Base5,1,57,1.149383
16,Base5,1,58,1.149383
16,Base5,1,59,1.149383
16,Base5,1,60,1.149383
16,Base5,1,61,1.149383
16,Base5,1,62,1.149383
16,Base5,1,63,1.149383
16,Base5,1,64,1.149383
16,Base5,1,65,1.149383
16,Base5,1,66,1.149383
16,Base5,1,67,1.149383
16,Base5,1,68,1.149383
16,Base5,1,69,1.149383
16,Base5,1,70,1.602243
16,Base5,1,71,1.775867
16,Base5,1,72,1.775867
16,Base5,1,73,1.775867
16,Base5,1,74,1.775867
16,Base5,1,75,1.775867
16,Base5,1,76,1.775867
16,Base5,1,77,2.154881
16,Base5,1,78,2.154881
16,Base5,1,79,2.399466
16,Base5,1,80,1.976854
16,Base5,1,81,1.612630
16,Base5,1,82,1.612630
16,Base5,1,83,1.612630
16,Base5,1,84,1.612630
16,Base5,1,85,1.612630
16,Base5,1,86,1.612630
16,Base5,1,87,1.999554
16,Base5,1,88,1.999554
16,Base5,1,89,1.999554
16,Base5,1,90,2.286860
16,Base5,1,91,2.286860
16,Base5,1,92,2.508129
16,Base5,1,93,2.541344
16,Base5,1,94,2.534099
16,Base5,1,95,2.399972
16,Base5,1,96,2.399972
16,Base5,1,97,2.233429
16,Base5,1,98,2.233429
16,Base5,1,99,2.233429
16,Base5,1,100,2.233429
16,Base5,1,101,2.233429
16,Base5,1,102,2.233429
16,Base5,1,103,2.233429
16,Base5,1,104,2.233429
16,Base5,1,105,2.233429
16,Base5,1,106,2.233429
16,Base5,1,107,2.233429
16,Base5,1,108,2.233429
16,Base5,1,109,2.233429
16,Base5,1,110,2.233429
16,Base5,1,111,2.233429
16,Base5,1,112,2.233429
16,Base5,1,113,2.233429
16,Base5,1,114,2.233429
16,Base5,1,115,2.233429
16,Base5,1,116,2.233429
16,Base5,1,117,2.233429
16,Base5,1,118,2.233429
16,Base5,1,119,2.233429
16,Base5,1,120,2.233429
16,Base5,1,121,2.233429
16,Base5,1,122,2.233429
16,Base5,1,123,2.233429
16,Base5,1,124,2.233429
16,Base5,1,125,2.233429
16,Base5,1,126,2.409943
16,Base5,1,127,2.406339
16,Base5,1,128,2.338434
16,Base5,1,129,2.338434
16,Base5,1,130,2.338434
16,Base5,1,131,2.338434
16,Base5,1,132,2.338434
16,Base5,1,133,2.338434
16,Base5,1,134,2.338434
16,Base5,1,135,2.338434
16,Base5,1,136,2.338434
16,Base5,1,137,2.338434
16,Base5,1,138,3.493797
16,Base5,1,139,3.493797
16,Base5,1,140,3.493797
16,Base5,1,141,3.493797
16,Base5,1,142,3.493797
