atr_period,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
10,Base5,0,11497377.0730,11.2766,33.4658,86,68.60,true
10,Base5,1,2349.7689,21.3955,34.0919,56,55.36,true
10,Base5,2,155074.5932,9.6623,19.3676,77,74.03,true
10,Base5,3,910233.4470,12.6255,40.3083,116,64.66,true
10,Base5,4,4863.0078,27.2741,21.1238,76,67.11,true
10,Base5,5,1124.9295,19.9785,26.2881,64,45.31,true
10,Base5,6,17336.7295,13.2575,23.2788,83,56.63,true
10,NoDOGE,0,11497377.0730,11.2766,33.4658,86,68.60,true
10,NoDOGE,1,179.5453,39.5789,25.4178,52,44.23,true
10,NoDOGE,2,646694.9827,9.3093,17.6030,76,76.32,true
10,NoDOGE,3,4241894.3602,9.8027,40.3083,118,66.10,true
10,NoDOGE,4,5315.5737,26.8403,21.1238,75,68.00,true
10,NoDOGE,5,224.0606,46.7067,26.2881,55,41.82,true
10,NoDOGE,6,1180.9450,44.7200,22.5163,74,54.05,true
10,Legacy4,0,24558.3419,13.1825,18.9200,88,70.45,true
10,Legacy4,1,1048.3365,21.5126,31.5686,72,52.78,true
10,Legacy4,2,222770.7724,9.0914,17.6030,76,75.00,true
10,Legacy4,3,326657.7568,13.2414,52.0833,99,68.69,true
10,Legacy4,4,2143.3656,32.4821,10.3750,53,73.58,true
10,Legacy4,5,73.2006,63.1331,39.6433,46,39.13,true
10,Legacy4,6,1611.2697,31.8130,21.5180,72,61.11,true
10,Legacy5BNB,0,64505.3406,12.6398,32.4540,104,70.19,true
10,Legacy5BNB,1,434.6290,24.8190,38.6639,65,53.85,true
10,Legacy5BNB,2,153310.5057,9.0993,20.0629,76,73.68,true
10,Legacy5BNB,3,5090808.9052,10.8437,52.0833,99,69.70,true
10,Legacy5BNB,4,4050.3649,26.8934,16.2011,56,75.00,true
10,Legacy5BNB,5,206.7676,42.2112,20.7763,47,48.94,true
10,Legacy5BNB,6,1535.6247,32.3180,24.9872,73,60.27,true
10,OldGuardNoBNB,0,55377.7050,9.8950,22.7694,98,68.37,true
10,OldGuardNoBNB,1,255.9154,26.0044,55.4090,67,49.25,true
10,OldGuardNoBNB,2,222770.7724,9.0914,17.6030,76,75.00,true
10,OldGuardNoBNB,3,326657.7568,13.2414,52.0833,99,68.69,true
10,OldGuardNoBNB,4,2122.6321,32.8310,10.3750,54,72.22,true
10,OldGuardNoBNB,5,1706.5955,29.9674,36.6686,55,45.45,true
10,OldGuardNoBNB,6,2166.5033,30.3237,22.9804,79,60.76,true
10,LargeCaps5,0,18706649.7164,11.4856,33.4658,96,68.75,true
10,LargeCaps5,1,180.6792,39.3359,25.1153,53,45.28,true
10,LargeCaps5,2,671376.0421,9.2346,17.6030,77,76.62,true
10,LargeCaps5,3,7059032.6036,12.1097,40.3083,113,65.49,true
10,LargeCaps5,4,6513.7697,25.6746,21.4590,74,68.92,true
10,LargeCaps5,5,207.6413,46.1239,30.0229,56,41.07,true
10,LargeCaps5,6,1180.9450,44.7200,22.5163,74,54.05,true
10,Legacy3,0,30299.7191,13.0325,16.7298,87,73.56,true
10,Legacy3,1,1539.4539,22.3221,28.6266,74,58.11,true
10,Legacy3,2,473510.5884,8.7745,19.9999,75,73.33,true
10,Legacy3,3,240258.0894,13.4171,44.9079,86,73.26,true
10,Legacy3,4,398.2717,46.5617,33.2635,48,62.50,true
10,Legacy3,5,-7.7121,124.6441,47.7022,49,34.69,true
10,Legacy3,6,1264.7312,39.0945,27.1753,75,58.67,true
10,LowVolume5,0,46804.7304,14.2321,22.7694,96,69.79,true
10,LowVolume5,1,1762.4666,25.9335,33.8668,76,59.21,true
10,LowVolume5,2,889531.6035,7.6665,27.6090,89,62.92,true
10,LowVolume5,3,1256265246.9965,7.3430,46.4589,107,67.29,true
10,LowVolume5,4,367.5049,45.5636,32.1260,51,50.98,true
10,LowVolume5,5,774.2731,27.5999,59.9141,79,44.30,true
10,LowVolume5,6,399.5232,46.2235,34.1012,80,57.50,true
10,OldGuard4,0,166447.8002,9.6781,22.7694,102,72.55,true
10,OldGuard4,1,651.1691,27.9668,49.3011,77,54.55,true
10,OldGuard4,2,403084.3555,8.7009,25.1589,78,71.79,true
10,OldGuard4,3,240258.0894,13.4171,44.9079,86,73.26,true
10,OldGuard4,4,1032.4752,30.5079,36.8565,54,62.96,true
10,OldGuard4,5,580.9070,35.1138,55.9253,63,36.51,true
10,OldGuard4,6,1420.5054,42.0843,41.9778,92,57.61,true
12,Base5,0,15876566.9022,11.2833,28.8424,86,70.93,true
12,Base5,1,3875.6578,20.4488,32.7921,56,58.93,true
12,Base5,2,107805.0761,9.8458,19.3676,77,74.03,true
12,Base5,3,1086588.2481,12.3248,40.3083,116,64.66,true
12,Base5,4,4699.6036,27.4061,20.2479,76,67.11,true
12,Base5,5,1276.8502,18.8748,27.8529,64,45.31,true
12,Base5,6,14265.1128,13.4893,24.6525,83,54.22,true
12,NoDOGE,0,15876566.9022,11.2833,28.8424,86,70.93,true
12,NoDOGE,1,295.1629,31.9436,25.4178,52,48.08,true
12,NoDOGE,2,535889.8779,9.4056,17.6030,76,76.32,true
12,NoDOGE,3,4805129.9483,9.6073,40.3083,118,66.10,true
12,NoDOGE,4,5137.2691,26.9605,18.8506,75,68.00,true
12,NoDOGE,5,246.7959,46.3618,21.1167,55,41.82,true
12,NoDOGE,6,1094.7756,45.2615,24.6525,74,52.70,true
12,Legacy4,0,29286.9795,13.1046,18.9200,88,72.73,true
12,Legacy4,1,1400.3550,19.4616,22.9280,72,55.56,true
12,Legacy4,2,185631.7664,9.2357,17.6030,76,76.32,true
12,Legacy4,3,400917.4817,12.7426,38.6549,99,69.70,true
12,Legacy4,4,2162.3829,32.5634,11.4933,53,73.58,true
12,Legacy4,5,85.3519,62.4227,35.4089,46,39.13,true
12,Legacy4,6,1496.1524,32.1643,23.6818,72,59.72,true
12,Legacy5BNB,0,76894.4642,12.6461,32.4540,104,72.12,true
12,Legacy5BNB,1,620.5688,22.1917,28.7384,65,56.92,true
12,Legacy5BNB,2,127746.3026,9.2453,17.6030,76,75.00,true
12,Legacy5BNB,3,6553797.8769,10.7161,38.6549,99,70.71,true
12,Legacy5BNB,4,4085.5481,27.0591,13.7860,56,75.00,true
12,Legacy5BNB,5,292.5481,37.1840,18.3290,47,48.94,true
12,Legacy5BNB,6,1425.5961,32.6938,27.0553,73,58.90,true
12,OldGuardNoBNB,0,69333.5586,9.8413,20.2409,98,70.41,true
12,OldGuardNoBNB,1,575.9642,21.8213,38.1053,67,53.73,true
12,OldGuardNoBNB,2,185631.7664,9.2357,17.6030,76,76.32,true
12,OldGuardNoBNB,3,400917.4817,12.7426,38.6549,99,69.70,true
12,OldGuardNoBNB,4,2141.4737,32.9054,11.4933,54,72.22,true
12,OldGuardNoBNB,5,1821.7073,29.9489,32.2255,55,45.45,true
12,OldGuardNoBNB,6,2014.0354,30.6855,25.1039,79,59.49,true
12,LargeCaps5,0,25831726.5985,11.4977,28.8424,96,70.83,true
12,LargeCaps5,1,296.7658,31.8843,25.1153,53,49.06,true
12,LargeCaps5,2,556342.7237,9.3298,17.6030,77,76.62,true
12,LargeCaps5,3,8387976.3126,11.9202,40.3083,113,65.49,true
12,LargeCaps5,4,6296.0151,25.8616,19.1955,74,68.92,true
12,LargeCaps5,5,229.2247,45.7265,25.1135,56,41.07,true
12,LargeCaps5,6,1094.7756,45.2615,24.6525,74,52.70,true
12,Legacy3,0,36438.0784,12.9555,16.7298,87,75.86,true
12,Legacy3,1,2042.0227,20.6093,19.6146,74,60.81,true
12,Legacy3,2,394588.5014,8.8317,16.7843,75,74.67,true
12,Legacy3,3,356376.3041,11.7407,31.2845,86,75.58,true
12,Legacy3,4,462.0522,45.6366,25.0782,48,64.58,true
12,Legacy3,5,-5.2522,125.7489,47.7022,49,34.69,true
12,Legacy3,6,1172.9256,39.5574,27.1753,75,57.33,true
12,LowVolume5,0,54019.6792,13.2340,20.1769,96,71.88,true
12,LowVolume5,1,2212.8217,26.3229,22.8777,76,60.53,true
12,LowVolume5,2,1407859.4095,7.7097,24.6992,89,64.04,true
12,LowVolume5,3,2278885015.3096,7.3294,31.4542,107,69.16,true
12,LowVolume5,4,418.9323,44.6221,29.4624,51,52.94,true
12,LowVolume5,5,782.1439,27.3882,59.3380,79,44.30,true
12,LowVolume5,6,394.1726,46.5869,34.1012,80,57.50,true
12,OldGuard4,0,210120.4156,9.6167,20.1769,102,74.51,true
12,OldGuard4,1,1218.6070,25.1819,31.7807,77,58.44,true
12,OldGuard4,2,335898.0392,8.7650,22.1507,78,73.08,true
12,OldGuard4,3,356376.3041,11.7407,31.2845,86,75.58,true
12,OldGuard4,4,1177.4360,30.3355,29.1119,54,64.81,true
12,OldGuard4,5,605.3492,35.1768,55.2919,63,36.51,true
12,OldGuard4,6,1318.2209,42.6468,41.9778,92,56.52,true
14,Base5,0,17262619.0032,11.2983,22.5037,86,70.93,true
14,Base5,1,5951.1642,19.6245,32.7921,56,62.50,true
14,Base5,2,132399.1183,9.8766,19.3676,77,74.03,true
14,Base5,3,858028.2684,12.5382,35.6043,116,64.66,true
14,Base5,4,3932.8415,28.1161,21.1238,76,65.79,true
14,Base5,5,1150.8193,19.1081,27.8529,64,45.31,true
14,Base5,6,14417.2157,13.4795,23.8547,83,54.22,true
14,NoDOGE,0,17262619.0032,11.2983,22.5037,86,70.93,true
14,NoDOGE,1,414.9531,28.7291,15.7209,52,53.85,true
14,NoDOGE,2,538317.0385,9.4341,17.6030,76,76.32,true
14,NoDOGE,3,3754310.4694,10.0225,35.6043,118,66.10,true
14,NoDOGE,4,4300.5876,27.6358,21.1238,75,66.67,true
14,NoDOGE,5,215.0516,48.6332,23.1647,55,41.82,true
14,NoDOGE,6,1107.4263,45.0034,23.8547,74,52.70,true
14,Legacy4,0,33895.7500,13.1589,21.2203,88,73.86,true
14,Legacy4,1,1715.1299,18.4749,22.9280,72,58.33,true
14,Legacy4,2,197484.2886,9.2197,17.6030,76,76.32,true
14,Legacy4,3,451896.4452,12.5211,33.8207,99,69.70,true
14,Legacy4,4,1801.1553,33.9465,11.4933,53,71.70,true
14,Legacy4,5,74.6292,64.9251,34.8435,46,41.30,true
14,Legacy4,6,1525.9263,31.8759,22.8737,72,59.72,true
14,Legacy5BNB,0,88969.5334,12.6822,34.3703,104,73.08,true
14,Legacy5BNB,1,771.7443,21.0148,28.7384,65,60.00,true
14,Legacy5BNB,2,135904.8485,9.2287,17.6030,76,75.00,true
14,Legacy5BNB,3,7081505.0480,10.7040,33.8207,99,70.71,true
14,Legacy5BNB,4,3417.2547,27.6240,16.2011,56,73.21,true
14,Legacy5BNB,5,256.6160,38.0969,22.8270,47,48.94,true
14,Legacy5BNB,6,1454.0538,32.3885,26.2830,73,58.90,true
14,OldGuardNoBNB,0,91669.9361,9.8961,22.5037,98,72.45,true
14,OldGuardNoBNB,1,587.5472,21.3648,40.3895,67,55.22,true
14,OldGuardNoBNB,2,197484.2886,9.2197,17.6030,76,76.32,true
14,OldGuardNoBNB,3,451896.4452,12.5211,33.8207,99,69.70,true
14,OldGuardNoBNB,4,1783.5845,34.2973,11.4933,54,70.37,true
14,OldGuardNoBNB,5,1623.0994,30.6119,34.8435,55,45.45,true
14,OldGuardNoBNB,6,2053.4696,30.3984,24.3108,79,59.49,true
14,LargeCaps5,0,28906984.1057,11.4806,27.2580,96,70.83,true
14,LargeCaps5,1,417.0419,28.7786,15.3790,53,54.72,true
14,LargeCaps5,2,558862.5023,9.3580,17.6030,77,76.62,true
14,LargeCaps5,3,8035984.6341,11.8698,35.6043,113,65.49,true
14,LargeCaps5,4,5274.2178,26.4308,21.4590,74,67.57,true
14,LargeCaps5,5,199.0888,47.9917,27.0577,56,41.07,true
14,LargeCaps5,6,1107.4263,45.0034,23.8547,74,52.70,true
14,Legacy3,0,43402.5466,12.9261,16.7298,87,77.01,true
14,Legacy3,1,2232.9397,19.7455,19.6146,74,62.16,true
14,Legacy3,2,392802.3278,8.8323,15.5567,75,74.67,true
14,Legacy3,3,314130.1422,12.1654,31.2845,86,74.42,true
14,Legacy3,4,372.3111,49.3921,27.1769,48,62.50,true
14,Legacy3,5,-8.4148,118.5713,51.2229,49,36.73,true
14,Legacy3,6,1302.1290,37.5031,23.0722,75,57.33,true
14,LowVolume5,0,74286.0994,12.6984,19.3629,96,73.96,true
14,LowVolume5,1,1758.0115,26.1023,26.2336,76,57.89,true
14,LowVolume5,2,1288751.4216,7.7162,25.9518,89,64.04,true
14,LowVolume5,3,1570526778.1954,7.5138,31.4542,107,68.22,true
14,LowVolume5,4,459.4943,42.2387,29.4624,51,52.94,true
14,LowVolume5,5,662.1569,28.3841,62.0754,79,44.30,true
14,LowVolume5,6,502.7514,40.2301,20.2099,80,57.50,true
14,OldGuard4,0,285859.9396,9.6023,19.3629,102,76.47,true
14,OldGuard4,1,1107.4246,24.6382,34.2984,77,58.44,true
14,OldGuard4,2,334377.4710,8.7658,21.0022,78,73.08,true
14,OldGuard4,3,314130.1422,12.1654,31.2845,86,74.42,true
14,OldGuard4,4,973.4718,31.0702,31.0976,54,62.96,true
14,OldGuard4,5,581.8054,34.7888,58.3017,63,38.10,true
14,OldGuard4,6,1663.2500,39.3969,29.1829,92,56.52,true
16,Base5,0,16371438.7153,11.3364,22.5037,86,69.77,true
16,Base5,1,5951.1642,19.6245,32.7921,56,62.50,true
16,Base5,2,256027.1176,7.8239,21.2392,77,74.03,true
