universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,win_rate,pass
Base5,0,0,1468.9418,6.337306,25.8963,87,5.75,1
Base5,0,20,56.8821,4.048990,4.0392,53,3.77,1
Base5,0,30,57.4061,4.080084,4.0392,48,4.17,1
Base5,0,40,29.4213,2.962560,4.0392,39,2.56,1
Base5,0,50,30.1990,3.029601,3.9751,30,3.33,1
Base5,0,60,-1.4725,-0.351526,4.9946,24,0.00,0
Base5,0,70,-1.1935,-4.052011,1.1935,18,0.00,0
Base5,1,0,172.1835,1.865589,31.3468,63,7.94,1
Base5,1,20,176.9445,1.892081,31.3468,37,13.51,1
Base5,1,30,225.7811,2.160093,31.3468,36,13.89,1
Base5,1,40,227.0873,2.166245,31.0715,30,16.67,1
Base5,1,50,227.5651,2.168815,30.9708,28,17.86,1
Base5,1,60,235.3623,2.275640,9.5929,14,21.43,1
Base5,1,70,2.0622,0.236618,14.1283,4,25.00,1
Base5,2,0,-8.6249,-5.382200,8.6249,98,0.00,0
Base5,2,20,-6.0287,-3.741341,6.0287,56,0.00,0
Base5,2,30,-4.1705,-6.597146,4.1705,54,0.00,0
Base5,2,40,-2.6975,-7.259385,2.6975,41,0.00,0
Base5,2,50,-1.6535,-5.642477,1.6535,25,0.00,0
Base5,2,60,-1.2592,-4.718154,1.2592,19,0.00,0
Base5,2,70,-1.1274,-4.383760,1.1274,17,0.00,0
Base5,3,0,63860.8499,12.233512,24.2813,70,17.14,1
Base5,3,20,63860.8499,12.233512,24.2813,70,17.14,1
Base5,3,30,63860.8499,12.233512,24.2813,70,17.14,1
Base5,3,40,58131.2064,12.032424,24.2813,68,16.18,1
Base5,3,50,55510.1283,11.995516,24.2813,65,15.38,1
Base5,3,60,36519.9203,11.223354,24.2813,57,17.54,1
Base5,3,70,11555.6435,9.181374,24.2813,42,19.05,1
Base5,4,0,19.5907,2.392697,6.3368,90,1.11,1
Base5,4,20,27.9543,3.191106,5.6000,35,0.00,1
Base5,4,30,35.9068,4.413195,1.6957,13,0.00,1
Base5,4,40,-0.7309,-3.748408,0.7309,11,0.00,0
Base5,4,50,-0.5984,-3.684337,0.5984,9,0.00,0
Base5,4,60,-0.3993,-2.989777,0.3993,6,0.00,0
Base5,4,70,-0.3329,-2.723728,0.3329,5,0.00,0
Base5,5,0,-14.0907,-2.749890,14.0907,89,0.00,0
Base5,5,20,-10.6424,-2.040922,10.8336,30,0.00,0
Base5,5,30,-10.4635,-2.003700,10.7741,27,0.00,0
Base5,5,40,-10.2842,-1.969254,10.5954,24,0.00,0
Base5,5,50,-9.8042,-1.877273,10.1171,16,0.00,0
Base5,5,60,-7.1865,-1.476446,7.5085,10,0.00,0
Base5,5,70,-7.0006,-1.438268,7.3233,7,0.00,0
NoDOGE,0,0,1469.8257,6.338881,25.8468,86,5.81,1
NoDOGE,0,20,56.8821,4.048990,4.0392,53,3.77,1
NoDOGE,0,30,57.4061,4.080084,4.0392,48,4.17,1
NoDOGE,0,40,29.4213,2.962560,4.0392,39,2.56,1
NoDOGE,0,50,30.1990,3.029601,3.9751,30,3.33,1
NoDOGE,0,60,-1.4725,-0.351526,4.9946,24,0.00,0
NoDOGE,0,70,-1.1935,-4.052011,1.1935,18,0.00,0
NoDOGE,1,0,4.2576,0.804021,4.6890,82,1.22,1
NoDOGE,1,20,7.3630,1.351599,1.8501,38,2.63,1
NoDOGE,1,30,7.3630,1.351599,1.8501,38,2.63,1
NoDOGE,1,40,8.1536,1.489466,1.1274,27,3.70,1
NoDOGE,1,50,8.2980,1.514497,0.9954,25,4.00,1
NoDOGE,1,60,-9.7736,-1.308606,9.7736,13,0.00,0
NoDOGE,1,70,-0.0667,-1.208305,0.0667,1,0.00,0
NoDOGE,2,0,-6.3060,-2.690177,8.3932,103,0.00,0
NoDOGE,2,20,-3.4509,-1.449242,5.6017,58,0.00,0
NoDOGE,2,30,-1.5418,-0.815154,3.7352,56,0.00,0
NoDOGE,2,40,-2.9570,-6.721944,2.9570,45,0.00,0
NoDOGE,2,50,-1.9157,-5.547295,1.9157,29,0.00,0
NoDOGE,2,60,-1.3910,-4.525457,1.3910,21,0.00,0
NoDOGE,2,70,-1.2594,-4.210196,1.2594,19,0.00,0
NoDOGE,3,0,63779.4058,12.230935,24.2813,72,16.67,1
NoDOGE,3,20,63779.4058,12.230935,24.2813,72,16.67,1
NoDOGE,3,30,63779.4058,12.230935,24.2813,72,16.67,1
NoDOGE,3,40,58057.0580,12.029870,24.2813,70,15.71,1
NoDOGE,3,50,55439.3175,11.992958,24.2813,67,14.93,1
NoDOGE,3,60,36473.2895,11.220864,24.2813,59,16.95,1
NoDOGE,3,70,11540.1079,9.178349,24.2813,44,18.18,1
NoDOGE,4,0,19.5907,2.392697,6.3368,90,1.11,1
NoDOGE,4,20,27.9543,3.191106,5.6000,35,0.00,1
NoDOGE,4,30,35.9068,4.413195,1.6957,13,0.00,1
NoDOGE,4,40,-0.7309,-3.748408,0.7309,11,0.00,0
NoDOGE,4,50,-0.5984,-3.684337,0.5984,9,0.00,0
NoDOGE,4,60,-0.3993,-2.989777,0.3993,6,0.00,0
NoDOGE,4,70,-0.3329,-2.723728,0.3329,5,0.00,0
NoDOGE,5,0,-13.5158,-2.636863,13.5158,79,0.00,0
NoDOGE,5,20,-10.2243,-1.960314,10.4163,23,0.00,0
NoDOGE,5,30,-10.0445,-1.923065,10.3566,20,0.00,0
NoDOGE,5,40,-9.9245,-1.900018,10.2369,18,0.00,0
NoDOGE,5,50,-9.4425,-1.807720,9.7567,10,0.00,0
NoDOGE,5,60,-7.0006,-1.438268,7.3233,7,0.00,0
NoDOGE,5,70,-6.9386,-1.425527,7.2614,6,0.00,0
Legacy4,0,0,-7.3220,-12.391772,7.3220,114,0.00,0
Legacy4,0,20,-5.0698,-9.347467,5.0698,78,0.00,0
Legacy4,0,30,-4.6890,-9.007692,4.6890,72,0.00,0
Legacy4,0,40,-4.0511,-8.341539,4.0511,62,0.00,0
Legacy4,0,50,-3.2801,-7.322431,3.2801,50,0.00,0
Legacy4,0,60,-3.0217,-6.967787,3.0217,46,0.00,0
Legacy4,0,70,-2.5028,-6.347698,2.5028,38,0.00,0
Legacy4,1,0,2.6079,0.510427,6.1403,106,0.94,1
Legacy4,1,20,6.3717,1.181635,2.6974,52,1.92,1
Legacy4,1,30,6.5137,1.206580,2.5675,50,2.00,1
Legacy4,1,40,7.2980,1.344131,1.8501,39,2.56,1
Legacy4,1,50,7.3695,1.356642,1.7846,38,2.63,1
Legacy4,1,60,-10.4330,-1.397019,10.4330,24,0.00,0
Legacy4,1,70,-0.3329,-2.723728,0.3329,5,0.00,0
Legacy4,2,0,-9.6551,-5.958869,9.6551,115,0.00,0
Legacy4,2,20,-6.7776,-4.156400,6.7776,68,0.00,0
Legacy4,2,30,-4.9343,-6.905558,4.9343,66,0.00,0
Legacy4,2,40,-3.3448,-6.832867,3.3448,51,0.00,0
Legacy4,2,50,-2.3077,-5.527067,2.3077,35,0.00,0
Legacy4,2,60,-1.7851,-4.595489,1.7851,27,0.00,0
Legacy4,2,70,-1.5884,-4.187679,1.5884,24,0.00,0
Legacy4,3,0,16318.8623,9.823979,36.5635,69,15.94,1
Legacy4,3,20,16318.8623,9.823979,36.5635,69,15.94,1
Legacy4,3,30,14269.3775,9.576754,36.5635,69,14.49,1
Legacy4,3,40,12982.1618,9.391918,36.5635,67,13.43,1
Legacy4,3,50,12822.9670,9.451609,36.5635,62,12.90,1
Legacy4,3,60,8348.6277,8.766269,36.5635,50,14.00,1
Legacy4,3,70,2148.8586,6.397730,36.5635,40,12.50,1
Legacy4,4,0,21.3834,2.575186,5.7429,67,1.49,1
Legacy4,4,20,28.5530,3.252407,5.5370,28,0.00,1
Legacy4,4,30,36.0882,4.433376,1.4988,11,0.00,1
Legacy4,4,40,-0.6647,-3.541846,0.6647,10,0.00,0
Legacy4,4,50,-0.4657,-3.235938,0.4657,7,0.00,0
Legacy4,4,60,-0.2664,-2.431240,0.2664,4,0.00,0
Legacy4,4,70,-0.1999,-2.101267,0.1999,3,0.00,0
Legacy4,5,0,-4.8793,-9.943460,4.8793,75,0.00,0
Legacy4,5,20,-1.7191,-6.002274,1.7191,26,0.00,0
Legacy4,5,30,-1.5879,-5.710713,1.5879,24,0.00,0
Legacy4,5,40,-1.4565,-5.409687,1.4565,22,0.00,0
Legacy4,5,50,-0.8632,-4.465069,0.8632,13,0.00,0
Legacy4,5,60,-0.7309,-4.090121,0.7309,11,0.00,0
Legacy4,5,70,-0.5984,-3.684337,0.5984,9,0.00,0
Legacy5BNB,0,0,167.1348,5.182347,11.7036,113,2.65,1
Legacy5BNB,0,20,157.6529,5.313026,5.8186,72,4.17,1
Legacy5BNB,0,30,126.8594,4.702205,5.8186,66,3.03,1
Legacy5BNB,0,40,128.6826,4.749779,5.8186,54,3.70,1
Legacy5BNB,0,50,130.3497,4.790392,5.8186,43,4.65,1
Legacy5BNB,0,60,130.9435,4.803648,5.8186,39,5.13,1
Legacy5BNB,0,70,110.9331,4.679034,3.5547,31,3.23,1
Legacy5BNB,1,0,4.7641,0.786936,7.3093,106,0.94,1
Legacy5BNB,1,20,8.6795,1.381575,3.8451,51,1.96,1
Legacy5BNB,1,30,8.8972,1.414078,3.6525,48,2.08,1
Legacy5BNB,1,40,9.6990,1.533553,2.9431,37,2.70,1
Legacy5BNB,1,50,9.7722,1.544418,2.8783,36,2.78,1
Legacy5BNB,1,60,-8.2835,-1.102037,10.8213,22,0.00,0
Legacy5BNB,1,70,-0.0667,-1.208305,0.0667,1,0.00,0
Legacy5BNB,2,0,-9.6549,-5.992216,9.6549,115,0.00,0
Legacy5BNB,2,20,-6.7153,-4.129966,6.7153,67,0.00,0
Legacy5BNB,2,30,-4.8708,-6.944971,4.8708,65,0.00,0
