universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
Base5,0,251.30,8.0182,58.97,14,57.14,true
Base5,1,747.46,7.2684,19.40,11,63.64,true
Base5,2,41.28,2.5423,29.97,15,60.00,true
Base5,3,142.73,8.6784,32.04,14,71.43,true
Base5,4,90.72,8.7521,15.01,12,75.00,true
Base5,5,-34.57,-5.0128,50.38,13,23.08,false
NoDOGE,0,251.30,8.0182,58.97,14,57.14,true
NoDOGE,1,-23.28,-3.5705,25.34,10,40.00,false
NoDOGE,2,148.23,6.3571,16.54,14,64.29,true
NoDOGE,3,167.33,9.3268,32.04,14,71.43,true
NoDOGE,4,90.72,8.7521,15.01,12,75.00,true
NoDOGE,5,-16.07,-1.2904,38.04,13,38.46,false
Legacy4,0,109.38,7.7420,19.95,16,62.50,true
Legacy4,1,-29.21,-1.4504,36.65,14,35.71,false
Legacy4,2,139.43,6.2799,16.54,13,53.85,true
Legacy4,3,366.68,8.2834,35.22,14,64.29,true
Legacy4,4,4.34,1.3443,29.57,12,58.33,true
Legacy4,5,-22.62,-1.8176,31.72,13,23.08,false
Legacy5BNB,0,246.71,11.9830,19.95,15,66.67,true
Legacy5BNB,1,-35.27,-3.2887,39.80,12,25.00,false
Legacy5BNB,2,23.39,2.4066,18.54,13,53.85,true
Legacy5BNB,3,575.99,10.4136,17.91,13,69.23,true
Legacy5BNB,4,37.50,4.5142,32.55,11,63.64,true
Legacy5BNB,5,-40.62,-4.7675,48.17,13,30.77,false
OldGuardNoBNB,0,158.61,7.6112,37.00,15,46.67,true
OldGuardNoBNB,1,-54.06,-11.2147,54.06,12,16.67,false
OldGuardNoBNB,2,139.43,6.2799,16.54,13,53.85,true
OldGuardNoBNB,3,366.68,8.2834,35.22,14,64.29,true
OldGuardNoBNB,4,4.34,1.3443,29.57,12,58.33,true
OldGuardNoBNB,5,24.98,3.4964,25.94,12,41.67,true
LargeCaps5,0,251.30,8.0182,58.97,14,57.14,true
LargeCaps5,1,-33.48,-5.1454,33.48,11,36.36,false
LargeCaps5,2,148.23,6.3571,16.54,14,64.29,true
LargeCaps5,3,203.47,11.7714,25.20,13,69.23,true
LargeCaps5,4,104.91,9.5887,15.01,12,75.00,true
LargeCaps5,5,-16.07,-1.2904,38.04,13,38.46,false
Legacy3,0,284.09,11.7910,12.21,15,66.67,true
Legacy3,1,25.37,3.0004,26.42,13,53.85,true
Legacy3,2,-41.24,-3.3032,50.43,16,31.25,false
Legacy3,3,41.96,3.7035,70.80,15,33.33,true
Legacy3,4,-34.44,-3.7066,52.43,13,46.15,false
Legacy3,5,-48.25,-4.4203,54.31,17,23.53,false
LowVolume5,0,197.22,8.0979,24.67,16,56.25,true
LowVolume5,1,-11.17,-0.0572,40.57,14,50.00,false
LowVolume5,2,447.48,10.6365,32.33,15,60.00,true
LowVolume5,3,433.41,9.4922,46.83,14,50.00,true
LowVolume5,4,-49.88,-4.7835,50.62,13,30.77,false
LowVolume5,5,-72.37,-6.6468,79.90,18,22.22,false
OldGuard4,0,201.10,8.1025,29.39,17,58.82,true
OldGuard4,1,-28.36,-2.8319,34.26,13,38.46,false
OldGuard4,2,-38.99,-2.9967,49.33,16,37.50,false
OldGuard4,3,41.96,3.7035,70.80,15,33.33,true
OldGuard4,4,-15.06,-0.9816,35.71,14,50.00,false
OldGuard4,5,-43.61,-2.2024,60.64,19,26.32,false
