universe,cooldown,window,ret,sharpe,trades,max_dd,pass
Base5,0,0,45.92,0.964,39,47.85,true
Base5,0,1,-73.65,-0.882,42,91.82,false
Base5,0,2,103.67,1.314,37,53.05,true
Base5,0,3,1559.85,2.348,46,53.11,true
Base5,0,4,75.92,1.319,22,30.98,true
Base5,0,5,-92.07,-3.910,43,94.42,false
Base5,0,6,21.55,0.726,35,44.84,true
Base5,0,7,33.34,0.843,38,49.55,true
Base5,0,8,-78.70,-1.997,41,78.70,false
Base5,0,9,256.50,2.311,16,19.76,true
Base5,10,0,20.40,0.778,29,45.44,true
Base5,10,1,156.22,1.046,31,72.11,true
Base5,10,2,173.91,1.544,31,43.63,true
Base5,10,3,1830.67,2.445,31,28.82,true
Base5,10,4,34.04,0.956,21,21.85,true
Base5,10,5,-70.34,-2.405,28,81.81,false
Base5,10,6,-6.99,0.277,30,43.93,true
Base5,10,7,117.86,1.311,27,31.90,true
Base5,10,8,-65.95,-1.777,30,65.95,false
Base5,10,9,238.83,2.253,15,19.76,true
Base5,4,0,75.53,1.082,33,40.22,true
Base5,4,1,210.77,1.107,34,80.30,true
Base5,4,2,297.65,1.836,32,43.63,true
Base5,4,3,1116.59,2.199,40,53.11,true
Base5,4,4,38.53,1.000,21,21.85,true
Base5,4,5,-87.02,-3.400,36,90.87,false
Base5,4,6,50.57,0.970,33,39.30,true
Base5,4,7,42.18,0.896,35,47.30,true
Base5,4,8,-72.15,-1.923,34,72.15,false
Base5,4,9,256.50,2.311,16,19.76,true
Base5,28,0,273.85,1.771,20,18.16,true
Base5,28,1,-34.97,-0.693,20,54.79,false
Base5,28,2,298.47,1.875,20,34.49,true
Base5,28,3,18.72,0.713,21,34.30,true
Base5,28,4,18.91,0.765,15,16.01,true
Base5,28,5,-52.47,-1.525,19,70.97,false
Base5,28,6,53.81,1.153,22,34.38,true
Base5,28,7,236.45,1.771,19,20.46,true
Base5,28,8,-74.34,-3.092,22,74.34,false
Base5,28,9,313.05,2.577,10,15.02,true
NoDOGE,0,0,123.10,1.280,33,45.06,true
NoDOGE,0,1,113.63,1.523,27,45.10,true
NoDOGE,0,2,188.75,1.572,32,37.77,true
NoDOGE,0,3,1593.77,2.358,41,53.11,true
NoDOGE,0,4,57.87,1.076,19,32.04,true
NoDOGE,0,5,-74.00,-2.356,32,83.90,false
NoDOGE,0,6,-43.47,-0.805,32,51.93,false
NoDOGE,0,7,-21.10,0.267,37,48.56,true
NoDOGE,0,8,-71.84,-1.610,38,72.92,false
NoDOGE,0,9,256.50,2.311,16,19.76,true
NoDOGE,10,0,8.02,0.682,26,52.38,true
NoDOGE,10,1,-12.28,0.054,25,41.62,true
NoDOGE,10,2,283.70,1.839,26,27.39,true
NoDOGE,10,3,1979.05,2.492,29,28.82,true
NoDOGE,10,4,14.15,0.582,19,25.07,true
NoDOGE,10,5,-59.91,-1.796,24,75.18,false
NoDOGE,10,6,28.47,0.810,25,32.15,true
NoDOGE,10,7,44.52,0.869,23,31.26,true
NoDOGE,10,8,-56.90,-1.376,28,56.90,false
NoDOGE,10,9,238.83,2.253,15,19.76,true
NoDOGE,4,0,129.13,1.294,29,43.22,true
NoDOGE,4,1,37.70,0.901,27,46.75,true
NoDOGE,4,2,548.83,2.249,26,23.28,true
NoDOGE,4,3,1926.26,2.453,36,53.11,true
NoDOGE,4,4,45.83,1.021,19,23.04,true
NoDOGE,4,5,-71.50,-2.329,29,82.35,false
NoDOGE,4,6,-37.47,-0.624,31,49.72,false
NoDOGE,4,7,-7.18,0.420,32,43.35,true
NoDOGE,4,8,-63.76,-1.523,32,64.71,false
NoDOGE,4,9,256.50,2.311,16,19.76,true
NoDOGE,28,0,238.63,1.679,18,23.13,true
NoDOGE,28,1,-3.64,0.151,16,29.68,true
NoDOGE,28,2,435.95,2.048,17,23.66,true
NoDOGE,28,3,49.17,1.022,19,34.30,true
NoDOGE,28,4,4.31,0.361,13,17.84,true
NoDOGE,28,5,-35.22,-0.826,16,59.89,false
NoDOGE,28,6,65.24,1.306,19,38.80,true
NoDOGE,28,7,69.09,1.035,16,31.26,true
NoDOGE,28,8,-66.88,-2.647,20,66.88,false
NoDOGE,28,9,313.05,2.577,10,15.02,true
Legacy4,0,0,154.53,1.508,33,45.04,true
Legacy4,0,1,16.87,0.667,29,52.78,true
Legacy4,0,2,-48.04,-0.034,37,64.02,false
Legacy4,0,3,296.59,1.666,36,56.62,true
Legacy4,0,4,-10.12,0.250,22,56.93,true
Legacy4,0,5,-75.25,-3.326,31,81.52,false
Legacy4,0,6,-37.04,-0.487,29,50.52,false
Legacy4,0,7,-27.24,0.185,39,53.56,true
Legacy4,0,8,-34.66,-0.023,40,57.41,false
Legacy4,0,9,188.39,1.914,19,28.51,true
Legacy4,10,0,120.69,1.376,25,46.95,true
Legacy4,10,1,-29.31,-0.298,25,51.35,false
Legacy4,10,2,1.90,0.604,28,58.44,true
Legacy4,10,3,274.75,1.721,27,37.26,true
Legacy4,10,4,-13.50,0.105,19,45.03,true
Legacy4,10,5,-64.82,-2.818,23,72.56,false
Legacy4,10,6,8.04,0.496,24,37.39,true
Legacy4,10,7,-28.44,0.081,28,45.50,true
Legacy4,10,8,4.93,0.483,31,46.04,true
Legacy4,10,9,179.95,1.883,17,26.98,true
Legacy4,4,0,170.88,1.585,31,39.47,true
Legacy4,4,1,-8.43,0.296,29,54.15,true
Legacy4,4,2,-6.22,0.536,30,62.76,true
Legacy4,4,3,215.09,1.516,34,51.56,true
Legacy4,4,4,8.96,0.514,19,45.03,true
Legacy4,4,5,-71.06,-3.146,26,78.08,false
Legacy4,4,6,-35.55,-0.438,28,49.10,false
Legacy4,4,7,-47.69,-0.204,37,59.63,false
Legacy4,4,8,7.78,0.580,34,50.60,true
Legacy4,4,9,194.56,1.944,18,26.98,true
Legacy4,28,0,217.48,2.025,20,29.42,true
Legacy4,28,1,-37.53,-0.717,18,42.19,false
Legacy4,28,2,58.57,0.993,17,39.10,true
Legacy4,28,3,-12.70,0.196,18,49.21,true
Legacy4,28,4,-36.61,-0.948,14,43.21,false
Legacy4,28,5,-53.97,-3.282,16,57.57,false
Legacy4,28,6,16.95,0.629,18,52.81,true
Legacy4,28,7,-33.90,-0.068,22,42.72,false
Legacy4,28,8,-40.48,-1.108,21,50.65,false
Legacy4,28,9,242.72,2.219,10,16.93,true
Legacy5BNB,0,0,-0.62,0.605,44,60.70,true
Legacy5BNB,0,1,16.88,0.688,32,60.99,true
Legacy5BNB,0,2,-56.53,-0.141,40,72.16,false
Legacy5BNB,0,3,123.40,1.316,42,73.26,true
Legacy5BNB,0,4,24.63,0.759,21,46.61,true
Legacy5BNB,0,5,-75.50,-3.417,31,79.57,false
Legacy5BNB,0,6,-46.89,-0.795,32,53.32,false
Legacy5BNB,0,7,-27.24,0.192,44,58.99,true
Legacy5BNB,0,8,-22.68,0.151,40,48.40,true
Legacy5BNB,0,9,66.32,1.170,25,40.91,true
Legacy5BNB,10,0,11.56,0.669,33,63.30,true
Legacy5BNB,10,1,-62.42,-1.293,29,70.61,false
Legacy5BNB,10,2,-16.55,0.412,30,58.34,true
Legacy5BNB,10,3,193.20,1.509,32,41.62,true
Legacy5BNB,10,4,44.28,1.001,18,41.68,true
Legacy5BNB,10,5,-74.34,-3.623,24,77.06,false
Legacy5BNB,10,6,5.79,0.445,25,37.20,true
Legacy5BNB,10,7,-44.26,-0.190,32,55.13,false
Legacy5BNB,10,8,-1.37,0.368,33,42.95,true
Legacy5BNB,10,9,67.07,1.180,22,39.64,true
Legacy5BNB,4,0,56.10,1.029,38,53.40,true
Legacy5BNB,4,1,-31.59,-0.039,33,70.20,false
Legacy5BNB,4,2,-18.01,0.402,32,57.91,true
Legacy5BNB,4,3,138.74,1.352,39,70.34,true
Legacy5BNB,4,4,66.91,1.250,18,35.53,true
Legacy5BNB,4,5,-77.68,-3.726,28,80.62,false
Legacy5BNB,4,6,-41.86,-0.612,31,53.33,false
Legacy5BNB,4,7,-45.05,-0.136,40,52.35,false
Legacy5BNB,4,8,3.23,0.461,35,47.76,true
Legacy5BNB,4,9,80.72,1.294,23,39.64,true
Legacy5BNB,28,0,77.63,1.250,24,37.85,true
Legacy5BNB,28,1,-53.39,-1.275,20,53.39,false
Legacy5BNB,28,2,-10.20,0.371,21,50.19,true
Legacy5BNB,28,3,-18.35,0.259,21,55.90,true
Legacy5BNB,28,4,-25.82,-0.448,15,35.53,false
Legacy5BNB,28,5,-65.59,-3.905,18,68.28,false
Legacy5BNB,28,6,-8.84,0.121,20,56.03,true
Legacy5BNB,28,7,-27.30,0.057,25,47.59,true
Legacy5BNB,28,8,-26.36,-0.475,24,46.59,false
Legacy5BNB,28,9,140.63,1.711,14,31.33,true
OldGuardNoBNB,0,0,58.94,1.067,41,75.80,true
OldGuardNoBNB,0,1,-56.97,-0.535,36,80.85,false
OldGuardNoBNB,0,2,-44.78,0.097,38,68.30,true
OldGuardNoBNB,0,3,221.01,1.528,39,56.62,true
OldGuardNoBNB,0,4,-40.15,-0.317,27,68.67,false
