universe,window,atr_mult,vol_label,bar_idx,equity
Base5,W0,0.00,none,0,1.000000
Base5,W0,0.00,none,10,0.833492
Base5,W0,0.00,none,20,0.697444
Base5,W0,0.00,none,30,0.697444
Base5,W0,0.00,none,40,0.689978
Base5,W0,0.00,none,50,0.663813
Base5,W0,0.00,none,60,0.663813
Base5,W0,0.00,none,70,0.663813
Base5,W0,0.00,none,80,0.663813
Base5,W0,0.00,none,90,0.453306
Base5,W0,0.00,none,100,0.453306
Base5,W0,0.00,none,110,0.544505
Base5,W0,0.00,none,120,0.769787
Base5,W0,0.00,none,130,0.640362
Base5,W0,0.00,none,140,0.684266
Base5,W0,0.00,none,150,0.684266
Base5,W0,0.00,none,160,0.671300
Base5,W0,0.00,none,170,0.671300
Base5,W0,0.00,none,180,0.773478
Base5,W0,0.00,none,190,0.754410
Base5,W0,0.00,none,200,0.668662
Base5,W0,0.00,none,210,0.846334
Base5,W0,0.00,none,220,0.846334
Base5,W0,0.00,none,230,0.777056
Base5,W0,0.00,none,240,0.777056
Base5,W0,0.00,none,250,0.897094
Base5,W0,0.00,SMA20_1.00,0,1.000000
Base5,W0,0.00,SMA20_1.00,10,0.865013
Base5,W0,0.00,SMA20_1.00,20,0.865013
Base5,W0,0.00,SMA20_1.00,30,0.865013
Base5,W0,0.00,SMA20_1.00,40,0.855753
Base5,W0,0.00,SMA20_1.00,50,0.823301
Base5,W0,0.00,SMA20_1.00,60,0.823301
Base5,W0,0.00,SMA20_1.00,70,0.823301
Base5,W0,0.00,SMA20_1.00,80,0.823301
Base5,W0,0.00,SMA20_1.00,90,0.707492
Base5,W0,0.00,SMA20_1.00,100,0.707492
Base5,W0,0.00,SMA20_1.00,110,0.849829
Base5,W0,0.00,SMA20_1.00,120,0.849829
Base5,W0,0.00,SMA20_1.00,130,0.669076
Base5,W0,0.00,SMA20_1.00,140,0.714948
Base5,W0,0.00,SMA20_1.00,150,0.714948
Base5,W0,0.00,SMA20_1.00,160,0.714948
Base5,W0,0.00,SMA20_1.00,170,0.714948
Base5,W0,0.00,SMA20_1.00,180,0.842123
Base5,W0,0.00,SMA20_1.00,190,0.834766
Base5,W0,0.00,SMA20_1.00,200,0.791846
Base5,W0,0.00,SMA20_1.00,210,1.128058
Base5,W0,0.00,SMA20_1.00,220,1.128058
Base5,W0,0.00,SMA20_1.00,230,1.128058
Base5,W0,0.00,SMA20_1.00,240,1.128058
Base5,W0,0.00,SMA20_1.00,250,1.202231
Base5,W0,0.00,SMA20_1.25,0,1.000000
Base5,W0,0.00,SMA20_1.25,10,0.865013
Base5,W0,0.00,SMA20_1.25,20,0.865013
Base5,W0,0.00,SMA20_1.25,30,0.865013
Base5,W0,0.00,SMA20_1.25,40,0.855753
Base5,W0,0.00,SMA20_1.25,50,0.823301
Base5,W0,0.00,SMA20_1.25,60,0.823301
Base5,W0,0.00,SMA20_1.25,70,0.823301
Base5,W0,0.00,SMA20_1.25,80,0.823301
