universe,window,atr_mult,vol_lb,vol_mult,vol_label,ret_pct,sharpe,max_dd,trades,win_rate,pass
Base5,W0,0.00,0,0.00,none,-10.29,0.1453,56.75,40,42.5,true
Base5,W0,0.00,20,1.00,SMA20_1.00,20.22,0.7396,34.26,23,47.8,true
Base5,W0,0.00,20,1.25,SMA20_1.25,-3.72,0.0916,39.36,19,42.1,true
Base5,W0,0.00,10,1.00,SMA10_1.00,33.77,1.0244,32.51,20,45.0,true
Base5,W0,0.10,0,0.00,none,1.25,0.3529,42.91,29,41.4,true
Base5,W0,0.10,20,1.00,SMA20_1.00,2.72,0.3259,31.77,18,44.4,true
Base5,W0,0.10,20,1.25,SMA20_1.25,-17.74,-0.5812,36.55,14,35.7,false
Base5,W0,0.10,10,1.00,SMA10_1.00,16.89,0.6918,31.77,16,43.8,true
Base5,W0,0.20,0,0.00,none,-7.39,0.1542,42.91,26,38.5,true
Base5,W0,0.20,20,1.00,SMA20_1.00,2.72,0.3259,31.77,18,44.4,true
Base5,W0,0.20,20,1.25,SMA20_1.25,-17.74,-0.5812,36.55,14,35.7,false
Base5,W0,0.20,10,1.00,SMA10_1.00,16.89,0.6918,31.77,16,43.8,true
Base5,W0,0.30,0,0.00,none,-14.70,-0.0834,41.11,22,36.4,false
Base5,W0,0.30,20,1.00,SMA20_1.00,-11.60,-0.1734,29.63,15,40.0,false
Base5,W0,0.30,20,1.25,SMA20_1.25,-29.01,-1.7321,34.55,12,33.3,false
Base5,W0,0.30,10,1.00,SMA10_1.00,0.88,0.2349,29.63,14,42.9,true
Base5,W0,0.50,0,0.00,none,-32.94,-1.0036,32.94,16,25.0,false
Base5,W0,0.50,20,1.00,SMA20_1.00,-17.77,-0.4194,29.63,12,33.3,false
Base5,W0,0.50,20,1.25,SMA20_1.25,-33.97,-2.2583,33.97,9,22.2,false
Base5,W0,0.50,10,1.00,SMA10_1.00,-6.17,-0.0183,29.63,11,36.4,false
Base5,W0,0.75,0,0.00,none,-43.72,-2.6865,43.72,11,18.2,false
Base5,W0,0.75,20,1.00,SMA20_1.00,-39.85,-2.4060,39.85,9,22.2,false
Base5,W0,0.75,20,1.25,SMA20_1.25,-31.37,-2.0709,31.37,8,25.0,false
Base5,W0,0.75,10,1.00,SMA10_1.00,-31.37,-2.0709,31.37,8,25.0,false
Base5,W0,1.00,0,0.00,none,-26.77,-2.0715,26.77,7,28.6,false
Base5,W0,1.00,20,1.00,SMA20_1.00,-26.77,-2.0715,26.77,7,28.6,false
Base5,W0,1.00,20,1.25,SMA20_1.25,-26.77,-2.0715,26.77,7,28.6,false
Base5,W0,1.00,10,1.00,SMA10_1.00,-26.77,-2.0715,26.77,7,28.6,false
Base5,W0,1.50,0,0.00,none,-3.97,-0.6260,7.91,4,50.0,false
Base5,W0,1.50,20,1.00,SMA20_1.00,-3.97,-0.6260,7.91,4,50.0,false
