universe,cooldown,window,ret,sharpe,trades,max_dd,pass
Base5,0,0,-23.74,0.483,40,58.91,true
Base5,0,1,-77.89,-1.023,41,90.83,false
Base5,0,2,21.50,0.913,39,53.36,true
Base5,0,3,1510.96,2.424,45,54.15,true
Base5,0,4,6.82,0.478,23,40.21,true
Base5,0,5,-91.48,-4.114,44,93.86,false
Base5,0,6,-4.27,0.455,37,57.37,true
Base5,0,7,22.35,0.758,38,49.51,true
Base5,0,8,-87.67,-3.066,42,87.67,false
Base5,0,9,268.20,2.352,16,19.76,true
Base5,3,0,17.91,0.777,33,48.34,true
Base5,3,1,156.02,1.083,35,82.28,true
Base5,3,2,184.68,1.537,33,34.51,true
Base5,3,3,971.32,2.216,43,54.15,true
Base5,3,4,20.96,0.669,22,32.29,true
Base5,3,5,-89.21,-3.949,40,92.68,false
Base5,3,6,17.28,0.685,35,50.80,true
Base5,3,7,46.56,0.945,35,47.30,true
Base5,3,8,-80.43,-2.749,38,80.43,false
Base5,3,9,268.20,2.352,16,19.76,true
Base5,5,0,-16.22,0.469,33,59.11,true
Base5,5,1,167.18,1.078,33,73.39,true
Base5,5,2,63.89,1.114,35,44.17,true
Base5,5,3,1039.25,2.250,39,41.47,true
Base5,5,4,12.02,0.548,22,32.29,true
Base5,5,5,-86.09,-3.738,36,89.98,false
Base5,5,6,28.12,0.785,34,46.25,true
Base5,5,7,17.92,0.693,35,37.68,true
Base5,5,8,-73.03,-2.211,34,73.03,false
Base5,5,9,310.88,2.531,15,19.76,true
Base5,10,0,-30.67,0.298,29,52.66,true
Base5,10,1,112.51,1.009,32,77.01,true
Base5,10,2,66.94,1.110,33,44.68,true
Base5,10,3,1034.50,2.278,33,38.91,true
Base5,10,4,8.39,0.486,22,32.29,true
Base5,10,5,-81.13,-3.414,31,86.40,false
Base5,10,6,-11.12,0.197,32,41.50,true
Base5,10,7,108.70,1.341,27,27.86,true
Base5,10,8,-60.83,-1.606,30,60.83,false
Base5,10,9,249.94,2.295,15,19.76,true
Base5,15,0,68.96,1.026,23,44.56,true
Base5,15,1,-55.30,-1.244,27,56.13,false
Base5,15,2,71.00,1.143,31,45.00,true
Base5,15,3,-36.27,0.141,34,46.83,true
Base5,15,4,16.31,0.626,20,29.09,true
Base5,15,5,-72.16,-2.646,28,80.13,false
Base5,15,6,9.15,0.523,29,31.51,true
Base5,15,7,98.95,1.286,26,27.86,true
Base5,15,8,-71.59,-2.330,29,71.59,false
Base5,15,9,223.02,2.159,14,23.60,true
Base5,20,0,85.80,1.116,23,38.76,true
Base5,20,1,-59.67,-1.528,24,60.37,false
Base5,20,2,23.70,0.790,27,42.38,true
Base5,20,3,-41.04,-0.143,29,49.75,false
Base5,20,4,48.40,1.011,19,29.09,true
Base5,20,5,-69.70,-2.565,24,78.17,false
Base5,20,6,27.94,0.831,27,35.46,true
Base5,20,7,161.81,1.610,23,27.86,true
Base5,20,8,-72.75,-3.162,25,72.75,false
Base5,20,9,223.02,2.159,14,23.60,true
NoDOGE,0,0,31.56,0.899,35,58.01,true
NoDOGE,0,1,83.11,1.275,27,45.10,true
NoDOGE,0,2,27.39,0.910,36,51.74,true
NoDOGE,0,3,1980.32,2.497,40,54.15,true
NoDOGE,0,4,37.42,0.871,20,41.12,true
NoDOGE,0,5,-86.15,-3.463,34,89.15,false
NoDOGE,0,6,-25.59,-0.139,32,52.05,false
NoDOGE,0,7,-14.76,0.292,37,43.23,true
NoDOGE,0,8,-66.66,-1.172,38,69.99,false
NoDOGE,0,9,268.20,2.352,16,19.76,true
NoDOGE,3,0,57.44,1.013,31,56.60,true
NoDOGE,3,1,52.94,1.059,27,45.10,true
NoDOGE,3,2,186.26,1.553,30,33.39,true
NoDOGE,3,3,2534.51,2.656,37,54.15,true
NoDOGE,3,4,50.36,1.011,19,33.33,true
NoDOGE,3,5,-81.54,-3.052,31,86.38,false
NoDOGE,3,6,-17.17,0.038,31,52.57,true
NoDOGE,3,7,-6.09,0.397,33,43.23,true
NoDOGE,3,8,-70.31,-1.562,35,70.31,false
NoDOGE,3,9,268.20,2.352,16,19.76,true
NoDOGE,5,0,21.65,0.788,30,57.91,true
NoDOGE,5,1,37.92,0.925,26,40.39,true
NoDOGE,5,2,270.72,1.741,28,32.32,true
