min_trades,global_pass,global_total,global_pass_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,avg_win_rate
1,44,54,81.48,4.4550,99.65,28.24,710,47.19
2,44,54,81.48,4.4550,99.65,28.24,710,47.19
3,44,54,81.48,4.4550,99.65,28.24,710,47.19
4,44,54,81.48,4.4550,99.65,28.24,710,47.19
5,44,54,81.48,4.4550,99.65,28.24,710,47.19
6,44,54,81.48,4.4550,99.65,28.24,710,47.19
7,43,54,79.63,4.4550,99.65,28.24,710,47.19
8,42,54,77.78,4.4550,99.65,28.24,710,47.19
9,39,54,72.22,4.4550,99.65,28.24,710,47.19
10,38,54,70.37,4.4550,99.65,28.24,710,47.19
12,27,54,50.00,4.4550,99.65,28.24,710,47.19
15,15,54,27.78,4.4550,99.65,28.24,710,47.19
20,1,54,1.85,4.4550,99.65,28.24,710,47.19
30,0,54,0.00,4.4550,99.65,28.24,710,47.19
