min_trades,universe,window,pass,return_pct,sharpe,max_dd_pct,trades,win_rate_pct
1,Base5,0,true,148.99,6.4108,28.11,15,46.67
1,Base5,1,true,217.49,1.9278,22.40,15,66.67
1,Base5,2,true,65.11,4.1364,41.48,14,35.71
1,Base5,3,true,188.10,11.5739,28.28,14,64.29
1,Base5,4,true,34.47,6.3393,14.83,9,55.56
1,Base5,5,true,70.46,4.1971,16.11,14,57.14
1,NoDOGE,0,true,148.99,6.4108,28.11,15,46.67
1,NoDOGE,1,false,-7.16,-0.3958,26.29,11,45.45
1,NoDOGE,2,true,194.74,7.3704,23.94,11,45.45
1,NoDOGE,3,true,255.31,15.1699,20.38,13,76.92
1,NoDOGE,4,true,51.04,9.5291,14.83,8,75.00
1,NoDOGE,5,true,36.47,4.2544,15.90,11,54.55
1,Legacy4,0,true,243.57,8.8308,15.55,16,50.00
1,Legacy4,1,true,21.27,3.2513,23.21,14,50.00
1,Legacy4,2,true,90.55,5.0455,32.41,13,46.15
1,Legacy4,3,true,106.39,5.0872,28.68,10,50.00
1,Legacy4,4,true,38.04,7.2623,14.34,7,57.14
1,Legacy4,5,false,-9.40,-0.2455,22.28,12,33.33
1,Legacy5BNB,0,true,40.01,3.0943,37.84,19,42.11
1,Legacy5BNB,1,true,38.39,5.1646,21.53,13,53.85
1,Legacy5BNB,2,true,90.55,5.0455,32.41,13,46.15
1,Legacy5BNB,3,true,231.38,7.2706,28.68,10,50.00
1,Legacy5BNB,4,true,38.82,7.8673,14.34,6,66.67
1,Legacy5BNB,5,false,-4.92,0.2367,22.28,10,40.00
1,OldGuardNoBNB,0,true,249.79,8.0925,19.12,19,52.63
1,OldGuardNoBNB,1,true,9.25,2.0285,27.96,14,50.00
1,OldGuardNoBNB,2,true,61.57,4.1812,42.70,13,38.46
1,OldGuardNoBNB,3,true,106.39,5.0872,28.68,10,50.00
1,OldGuardNoBNB,4,true,19.42,3.6004,17.76,8,50.00
1,OldGuardNoBNB,5,false,-2.37,0.7608,23.16,12,41.67
1,LargeCaps5,0,true,136.40,5.4663,28.11,16,43.75
1,LargeCaps5,1,true,11.49,2.4672,24.55,10,50.00
1,LargeCaps5,2,true,194.74,7.3704,23.94,11,45.45
1,LargeCaps5,3,true,313.15,11.3046,30.95,11,54.55
1,LargeCaps5,4,true,51.04,9.5291,14.83,8,75.00
1,LargeCaps5,5,true,30.26,3.7487,15.90,11,45.45
1,Legacy3,0,true,205.21,8.2376,15.55,16,43.75
1,Legacy3,1,true,55.65,6.1775,20.68,14,57.14
1,Legacy3,2,true,164.79,7.2433,38.66,17,41.18
1,Legacy3,3,true,60.87,4.0457,32.26,10,40.00
1,Legacy3,4,false,-35.53,-4.9996,35.78,12,25.00
1,Legacy3,5,false,-45.60,-5.3678,46.92,14,14.29
1,LowVolume5,0,true,272.60,7.9767,27.09,18,55.56
1,LowVolume5,1,true,36.92,3.3646,26.84,14,50.00
1,LowVolume5,2,true,717.35,9.7750,32.38,20,40.00
1,LowVolume5,3,true,159.35,5.4032,38.57,17,58.82
1,LowVolume5,4,false,-62.40,-6.5546,66.79,15,13.33
1,LowVolume5,5,false,-68.42,-6.7185,68.42,18,11.11
1,OldGuard4,0,true,281.15,8.6982,18.49,17,64.71
1,OldGuard4,1,true,13.42,2.1306,31.26,15,53.33
1,OldGuard4,2,true,124.52,6.0626,40.28,18,38.89
1,OldGuard4,3,true,60.87,4.0457,32.26,10,40.00
1,OldGuard4,4,false,-49.79,-6.2236,49.99,15,20.00
1,OldGuard4,5,false,-19.52,-1.1975,30.78,14,28.57
2,Base5,0,true,148.99,6.4108,28.11,15,46.67
2,Base5,1,true,217.49,1.9278,22.40,15,66.67
2,Base5,2,true,65.11,4.1364,41.48,14,35.71
2,Base5,3,true,188.10,11.5739,28.28,14,64.29
2,Base5,4,true,34.47,6.3393,14.83,9,55.56
2,Base5,5,true,70.46,4.1971,16.11,14,57.14
2,NoDOGE,0,true,148.99,6.4108,28.11,15,46.67
2,NoDOGE,1,false,-7.16,-0.3958,26.29,11,45.45
2,NoDOGE,2,true,194.74,7.3704,23.94,11,45.45
2,NoDOGE,3,true,255.31,15.1699,20.38,13,76.92
2,NoDOGE,4,true,51.04,9.5291,14.83,8,75.00
2,NoDOGE,5,true,36.47,4.2544,15.90,11,54.55
2,Legacy4,0,true,243.57,8.8308,15.55,16,50.00
2,Legacy4,1,true,21.27,3.2513,23.21,14,50.00
2,Legacy4,2,true,90.55,5.0455,32.41,13,46.15
2,Legacy4,3,true,106.39,5.0872,28.68,10,50.00
2,Legacy4,4,true,38.04,7.2623,14.34,7,57.14
2,Legacy4,5,false,-9.40,-0.2455,22.28,12,33.33
2,Legacy5BNB,0,true,40.01,3.0943,37.84,19,42.11
2,Legacy5BNB,1,true,38.39,5.1646,21.53,13,53.85
2,Legacy5BNB,2,true,90.55,5.0455,32.41,13,46.15
2,Legacy5BNB,3,true,231.38,7.2706,28.68,10,50.00
2,Legacy5BNB,4,true,38.82,7.8673,14.34,6,66.67
2,Legacy5BNB,5,false,-4.92,0.2367,22.28,10,40.00
2,OldGuardNoBNB,0,true,249.79,8.0925,19.12,19,52.63
2,OldGuardNoBNB,1,true,9.25,2.0285,27.96,14,50.00
2,OldGuardNoBNB,2,true,61.57,4.1812,42.70,13,38.46
2,OldGuardNoBNB,3,true,106.39,5.0872,28.68,10,50.00
2,OldGuardNoBNB,4,true,19.42,3.6004,17.76,8,50.00
2,OldGuardNoBNB,5,false,-2.37,0.7608,23.16,12,41.67
2,LargeCaps5,0,true,136.40,5.4663,28.11,16,43.75
2,LargeCaps5,1,true,11.49,2.4672,24.55,10,50.00
2,LargeCaps5,2,true,194.74,7.3704,23.94,11,45.45
2,LargeCaps5,3,true,313.15,11.3046,30.95,11,54.55
2,LargeCaps5,4,true,51.04,9.5291,14.83,8,75.00
2,LargeCaps5,5,true,30.26,3.7487,15.90,11,45.45
2,Legacy3,0,true,205.21,8.2376,15.55,16,43.75
2,Legacy3,1,true,55.65,6.1775,20.68,14,57.14
2,Legacy3,2,true,164.79,7.2433,38.66,17,41.18
2,Legacy3,3,true,60.87,4.0457,32.26,10,40.00
2,Legacy3,4,false,-35.53,-4.9996,35.78,12,25.00
2,Legacy3,5,false,-45.60,-5.3678,46.92,14,14.29
2,LowVolume5,0,true,272.60,7.9767,27.09,18,55.56
2,LowVolume5,1,true,36.92,3.3646,26.84,14,50.00
2,LowVolume5,2,true,717.35,9.7750,32.38,20,40.00
2,LowVolume5,3,true,159.35,5.4032,38.57,17,58.82
