universe,threshold,pass_windows,total_windows,pass_pct,avg_sharpe,avg_ret_pct,avg_dd_pct,avg_trades
Base5,0,0,0,0,4.506,276.7,0.0,12
Base5,3,0,0,0,5.248,265.4,0.0,11
Base5,5,0,0,0,5.759,255.4,0.0,11
Base5,7,0,0,0,5.101,235.7,0.0,11
Base5,10,0,0,0,5.462,229.9,0.0,10
Base5,15,0,0,0,6.063,234.0,0.0,10
Base5,20,0,0,0,5.919,233.5,0.0,9
Base5,25,0,0,0,5.486,216.9,0.0,9
Base5,30,0,0,0,5.937,238.2,0.0,7
Base5,40,0,0,0,1.012,214.2,0.0,7
Base5,50,0,0,0,-4.737,195.2,0.0,6
Base5,60,0,0,0,4.252,8.2,0.0,5
NoDOGE,0,0,0,0,4.753,92.8,0.0,11
NoDOGE,3,0,0,0,5.914,111.1,0.0,11
NoDOGE,5,0,0,0,6.629,101.6,0.0,11
NoDOGE,7,0,0,0,5.889,84.7,0.0,11
NoDOGE,10,0,0,0,6.131,86.7,0.0,10
NoDOGE,15,0,0,0,4.046,55.1,0.0,9
NoDOGE,20,0,0,0,3.677,45.2,0.0,9
NoDOGE,25,0,0,0,2.067,21.9,0.0,8
NoDOGE,30,0,0,0,2.125,39.4,0.0,7
NoDOGE,40,0,0,0,0.643,14.7,0.0,6
NoDOGE,50,0,0,0,-2.707,8.6,0.0,6
NoDOGE,60,0,0,0,5.504,15.9,0.0,5
Legacy4,0,0,0,0,4.346,174.8,0.0,12
Legacy4,3,0,0,0,5.046,187.0,0.0,11
Legacy4,5,0,0,0,5.656,186.8,0.0,11
Legacy4,7,0,0,0,5.235,202.8,0.0,10
Legacy4,10,0,0,0,5.334,147.3,0.0,10
Legacy4,15,0,0,0,4.654,150.2,0.0,10
Legacy4,20,0,0,0,4.000,83.4,0.0,9
Legacy4,25,0,0,0,2.342,29.3,0.0,8
Legacy4,30,0,0,0,3.052,33.5,0.0,7
Legacy4,40,0,0,0,5.394,50.2,0.0,6
Legacy4,50,0,0,0,4.520,35.3,0.0,6
Legacy4,60,0,0,0,3.608,39.7,0.0,5
Legacy5BNB,0,0,0,0,5.340,217.0,0.0,11
Legacy5BNB,3,0,0,0,4.792,139.0,0.0,10
Legacy5BNB,5,0,0,0,4.887,217.2,0.0,10
Legacy5BNB,7,0,0,0,4.479,233.9,0.0,10
Legacy5BNB,10,0,0,0,5.384,185.4,0.0,9
Legacy5BNB,15,0,0,0,4.541,215.9,0.0,9
Legacy5BNB,20,0,0,0,3.898,128.4,0.0,9
Legacy5BNB,25,0,0,0,4.450,92.0,0.0,8
Legacy5BNB,30,0,0,0,3.260,84.9,0.0,7
Legacy5BNB,40,0,0,0,2.773,79.8,0.0,6
Legacy5BNB,50,0,0,0,2.453,72.2,0.0,5
Legacy5BNB,60,0,0,0,-0.516,46.8,0.0,4
OldGuardNoBNB,0,0,0,0,4.131,200.2,0.0,12
OldGuardNoBNB,3,0,0,0,5.660,195.3,0.0,11
OldGuardNoBNB,5,0,0,0,4.222,183.9,0.0,10
OldGuardNoBNB,7,0,0,0,4.120,212.3,0.0,10
OldGuardNoBNB,10,0,0,0,4.237,149.4,0.0,10
OldGuardNoBNB,15,0,0,0,4.805,180.6,0.0,9
OldGuardNoBNB,20,0,0,0,4.312,164.4,0.0,9
OldGuardNoBNB,25,0,0,0,1.000,29.6,0.0,8
OldGuardNoBNB,30,0,0,0,3.046,35.3,0.0,7
OldGuardNoBNB,40,0,0,0,1.446,40.1,0.0,6
OldGuardNoBNB,50,0,0,0,4.046,35.6,0.0,6
OldGuardNoBNB,60,0,0,0,3.459,42.0,0.0,5
LargeCaps5,0,0,0,0,4.595,88.3,0.0,11
LargeCaps5,3,0,0,0,5.780,105.4,0.0,11
LargeCaps5,5,0,0,0,6.491,96.1,0.0,10
LargeCaps5,7,0,0,0,5.751,79.1,0.0,10
LargeCaps5,10,0,0,0,5.994,81.0,0.0,10
LargeCaps5,15,0,0,0,3.907,49.6,0.0,9
LargeCaps5,20,0,0,0,3.832,43.8,0.0,8
