hedge_threshold,size_mult,hedge_atr_p,pass_count,total_windows,pass_rate,avg_sharpe,avg_return,avg_dd,total_trades
45,0.50,40,68,63,107.94,8.5499,97.40,20.94,787
40,0.50,10,68,63,107.94,8.5212,98.60,20.33,787
55,0.50,25,68,63,107.94,8.4577,104.45,23.05,787
45,0.50,35,68,63,107.94,8.4544,95.00,20.94,787
35,0.50,10,68,63,107.94,8.4296,97.87,20.12,787
55,0.55,25,68,63,107.94,8.3822,116.28,24.18,787
50,0.50,25,68,63,107.94,8.3725,102.41,22.90,787
50,0.50,20,68,63,107.94,8.3684,101.58,22.63,787
50,0.55,25,68,63,107.94,8.3136,114.67,24.07,787
45,0.50,45,67,63,106.35,8.6469,101.38,21.25,787
50,0.50,15,67,63,106.35,8.5756,106.75,21.45,787
50,0.50,50,67,63,106.35,8.5390,103.75,22.04,787
55,0.50,15,67,63,106.35,8.5345,108.47,21.85,787
55,0.50,10,67,63,106.35,8.5257,111.39,22.19,787
45,0.50,10,67,63,106.35,8.5162,100.61,20.90,787
45,0.55,45,67,63,106.35,8.5138,113.74,22.82,787
50,0.50,30,67,63,106.35,8.4793,100.34,22.11,787
40,0.50,25,67,63,106.35,8.4779,100.69,21.58,787
50,0.50,45,67,63,106.35,8.4681,99.54,22.21,787
45,0.55,40,67,63,106.35,8.4437,110.50,22.57,787
45,0.55,10,67,63,106.35,8.4416,113.31,22.50,787
40,0.55,10,67,63,106.35,8.4364,111.54,22.13,787
55,0.55,10,67,63,106.35,8.4266,122.12,23.48,787
45,0.55,35,67,63,106.35,8.3756,108.51,22.57,787
50,0.50,10,67,63,106.35,8.3662,102.64,21.54,787
60,0.50,15,67,63,106.35,8.3498,104.51,23.48,787
50,0.55,10,67,63,106.35,8.3250,115.07,22.98,787
50,0.55,20,67,63,106.35,8.3222,113.82,23.85,787
40,0.50,20,67,63,106.35,8.3034,99.34,21.62,787
45,0.50,25,67,63,106.35,8.2927,98.65,22.35,787
45,0.50,20,67,63,106.35,8.2673,98.70,22.38,787
80,0.50,10,66,63,104.76,8.6256,115.63,25.10,787
55,0.50,20,66,63,104.76,8.5655,106.67,23.00,787
75,0.50,15,66,63,104.76,8.5543,109.41,24.99,787
55,0.50,40,66,63,104.76,8.5254,99.13,22.79,787
65,0.50,5,66,63,104.76,8.5204,109.21,22.36,787
80,0.55,10,66,63,104.76,8.5117,125.96,25.81,787
70,0.50,15,66,63,104.76,8.5027,109.09,24.43,787
60,0.50,5,66,63,104.76,8.4801,108.24,22.32,787
50,0.50,5,66,63,104.76,8.4771,100.03,21.06,787
55,0.55,20,66,63,104.76,8.4667,118.05,24.14,787
15,0.50,35,66,63,104.76,8.4658,87.06,18.16,787
55,0.50,5,66,63,104.76,8.4596,103.68,21.83,787
75,0.55,15,66,63,104.76,8.4549,120.55,25.73,787
65,0.50,20,66,63,104.76,8.4519,106.63,24.15,787
50,0.50,40,66,63,104.76,8.4414,98.27,21.81,787
45,0.50,30,66,63,104.76,8.4364,99.67,21.63,787
50,0.50,35,66,63,104.76,8.4251,95.62,21.71,787
55,0.50,30,66,63,104.76,8.4178,103.47,23.42,787
60,0.50,20,66,63,104.76,8.4163,105.22,23.64,787
70,0.55,15,66,63,104.76,8.4135,120.40,25.28,787
50,0.55,30,66,63,104.76,8.3991,113.02,23.50,787
45,0.65,45,66,63,104.76,8.3832,127.09,24.39,787
65,0.55,20,66,63,104.76,8.3773,118.18,25.04,787
60,0.55,20,66,63,104.76,8.3513,116.88,24.65,787
45,0.65,10,66,63,104.76,8.3479,126.90,24.15,787
40,0.65,10,66,63,104.76,8.3403,125.46,23.90,787
45,0.65,40,66,63,104.76,8.3358,124.61,24.21,787
55,0.65,10,66,63,104.76,8.3225,133.68,24.85,787
55,0.50,35,66,63,104.76,8.3103,96.15,22.99,787
45,0.75,10,66,63,104.76,8.2975,134.05,24.98,787
55,0.65,25,66,63,104.76,8.2957,129.06,25.38,787
45,0.65,35,66,63,104.76,8.2891,123.06,24.21,787
55,0.75,10,66,63,104.76,8.2713,139.77,25.53,787
50,0.65,10,66,63,104.76,8.2632,128.34,24.47,787
50,0.65,20,66,63,104.76,8.2583,127.08,25.13,787
50,0.65,25,66,63,104.76,8.2439,127.86,25.30,787
50,0.75,10,66,63,104.76,8.2280,135.30,25.22,787
15,0.50,30,66,63,104.76,8.1035,85.60,18.69,787
20,0.50,40,66,63,104.76,7.8541,81.52,20.08,787
65,0.50,10,65,63,103.17,8.5638,114.78,23.44,787
30,0.50,20,65,63,103.17,8.5151,97.12,19.04,787
40,0.50,45,65,63,103.17,8.4981,98.36,20.67,787
40,0.50,50,65,63,103.17,8.4944,99.43,20.79,787
50,0.55,15,65,63,103.17,8.4877,118.27,22.91,787
60,0.50,10,65,63,103.17,8.4781,111.22,22.53,787
20,0.50,5,65,63,103.17,8.4619,83.01,16.84,787
35,0.50,50,65,63,103.17,8.4561,97.59,20.67,787
50,0.50,55,65,63,103.17,8.4560,104.18,22.70,787
