vl,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
8,Base5,0,58.66,1.9759,10.59,80,33.8,1
8,Base5,1,119.20,2.2229,11.30,71,45.1,1
8,Base5,2,8.52,0.4169,26.23,95,28.4,1
8,Base5,3,214.23,2.9364,13.02,105,36.2,1
8,Base5,4,30.99,1.4636,11.57,50,44.0,1
8,Base5,5,-38.67,-2.9982,39.20,75,21.3,0
90,Base5,0,50.00,1.8159,11.56,82,31.7,1
90,Base5,1,135.70,2.3411,11.30,71,45.1,1
90,Base5,2,7.39,0.3820,27.00,95,28.4,1
90,Base5,3,214.23,2.9364,13.02,105,36.2,1
90,Base5,4,34.46,1.6506,11.57,49,44.9,1
90,Base5,5,-40.30,-3.1579,40.81,75,20.0,0
