vl,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1,Legacy3,0,204.79,11.0893,20.88,14,64.29,true
1,Legacy3,1,-3.17,1.2941,32.59,14,42.86,false
1,Legacy3,2,59.99,3.5782,32.50,16,31.25,true
1,Legacy3,3,-8.54,1.7664,63.40,16,37.50,false
1,Legacy3,4,-41.18,-3.8875,48.00,12,33.33,false
1,Legacy3,5,-52.85,-4.8005,58.45,16,25.00,false
1,OldGuard4,0,311.13,10.0478,16.99,16,62.50,true
1,OldGuard4,1,40.65,4.8057,23.45,12,58.33,true
1,OldGuard4,2,149.08,5.9799,29.51,16,37.50,true
1,OldGuard4,3,-8.54,1.7664,63.40,16,37.50,false
1,OldGuard4,4,-47.42,-4.6492,53.51,13,30.77,false
1,OldGuard4,5,-72.93,-9.9236,76.15,17,23.53,false
1,OldGuardNoBNB,0,166.97,7.6830,28.23,16,56.25,true
1,OldGuardNoBNB,1,-56.91,-10.2018,57.66,13,30.77,false
1,OldGuardNoBNB,2,133.61,5.3814,25.05,13,53.85,true
1,OldGuardNoBNB,3,249.95,9.4203,42.16,14,57.14,true
1,OldGuardNoBNB,4,3.16,1.2522,27.05,13,46.15,true
1,OldGuardNoBNB,5,-59.48,-9.5942,59.91,15,26.67,false
1,Base5,0,89.13,5.5062,56.64,15,46.67,true
1,Base5,1,2015.14,8.5242,11.73,11,72.73,true
1,Base5,2,322.55,8.3726,19.68,15,60.00,true
1,Base5,3,136.17,7.7943,31.24,16,62.50,true
1,Base5,4,-13.69,-0.5570,31.49,14,42.86,false
1,Base5,5,46.80,4.0637,20.04,14,35.71,true
1,NoDOGE,0,89.13,5.5062,56.64,15,46.67,true
1,NoDOGE,1,4.49,1.7926,15.17,10,50.00,true
1,NoDOGE,2,248.74,8.1560,17.63,13,46.15,true
1,NoDOGE,3,849.67,15.5222,17.18,15,86.67,true
1,NoDOGE,4,-3.99,0.5220,29.95,13,46.15,false
1,NoDOGE,5,14.81,2.7118,27.10,13,46.15,true
1,Legacy5BNB,0,465.20,15.5671,9.04,16,68.75,true
1,Legacy5BNB,1,27.23,3.9014,19.74,12,41.67,true
1,Legacy5BNB,2,55.37,3.5426,25.05,14,42.86,true
1,Legacy5BNB,3,169.34,7.3969,42.87,15,53.33,true
1,Legacy5BNB,4,50.12,6.5371,14.84,10,60.00,true
1,Legacy5BNB,5,-32.89,-6.1275,32.89,11,27.27,false
1,Legacy4,0,266.74,13.3898,9.04,15,60.00,true
1,Legacy4,1,-13.45,0.4872,39.98,14,35.71,false
1,Legacy4,2,133.11,5.6641,25.05,12,50.00,true
1,Legacy4,3,249.95,9.4203,42.16,14,57.14,true
1,Legacy4,4,31.51,4.1342,27.05,12,58.33,true
1,Legacy4,5,-29.41,-2.6866,33.84,14,28.57,false
1,LowVolume5,0,46.47,3.8253,55.38,18,50.00,true
1,LowVolume5,1,-25.31,-0.7687,56.09,16,43.75,false
1,LowVolume5,2,330.79,8.2157,28.56,17,41.18,true
1,LowVolume5,3,501.13,11.3542,33.74,14,64.29,true
1,LowVolume5,4,-69.80,-7.5197,71.68,15,26.67,false
1,LowVolume5,5,-73.90,-6.7948,81.16,19,21.05,false
