vl,universe,window,step,equity
1,LowVolume5,0,0,1
1,LowVolume5,0,1,1
1,LowVolume5,0,2,1
1,LowVolume5,0,3,1
1,LowVolume5,0,4,1
1,LowVolume5,0,5,1.3973694845512326
1,LowVolume5,0,6,1.3973694845512326
1,LowVolume5,0,7,1.143999568824711
1,LowVolume5,0,8,1.143999568824711
1,LowVolume5,0,9,1.143999568824711
1,LowVolume5,0,10,1.143999568824711
1,LowVolume5,0,11,1.143999568824711
1,LowVolume5,0,12,1.143999568824711
1,LowVolume5,0,13,1.143999568824711
1,LowVolume5,0,14,1.143999568824711
1,LowVolume5,0,15,1.143999568824711
1,LowVolume5,0,16,1.143999568824711
1,LowVolume5,0,17,1.143999568824711
1,LowVolume5,0,18,1.143999568824711
1,LowVolume5,0,19,1.1056222458971259
1,LowVolume5,0,20,1.1056222458971259
1,LowVolume5,0,21,1.3564047162705375
1,LowVolume5,0,22,1.5344024143707977
1,LowVolume5,0,23,1.4151086460637956
1,LowVolume5,0,24,1.7512946780016034
1,LowVolume5,0,25,1.7512946780016034
1,LowVolume5,0,26,1.6768936453296677
1,LowVolume5,0,27,1.6768936453296677
1,LowVolume5,0,28,1.6768936453296677
1,LowVolume5,0,29,1.9639043229390871
1,LowVolume5,0,30,1.9639043229390871
1,LowVolume5,0,31,1.9639043229390871
1,LowVolume5,0,32,1.7006140976432895
1,LowVolume5,0,33,1.7006140976432895
1,LowVolume5,0,34,1.7006140976432895
1,LowVolume5,0,35,1.7006140976432895
1,LowVolume5,0,36,1.7006140976432895
1,LowVolume5,0,37,2.828213117232644
1,LowVolume5,0,38,2.828213117232644
1,LowVolume5,0,39,2.828213117232644
1,LowVolume5,0,40,2.828213117232644
1,LowVolume5,0,41,2.828213117232644
1,LowVolume5,0,42,2.3477090176780857
1,LowVolume5,0,43,2.411920907976653
1,LowVolume5,0,44,2.411920907976653
1,LowVolume5,0,45,2.411920907976653
1,LowVolume5,0,46,1.9014705588970209
1,LowVolume5,0,47,1.3614660111896053
1,LowVolume5,0,48,1.3614660111896053
1,LowVolume5,0,49,1.3614660111896053
1,LowVolume5,0,50,1.3614660111896053
1,LowVolume5,0,51,1.3614660111896053
1,LowVolume5,0,52,1.3614660111896053
1,LowVolume5,0,53,1.3614660111896053
1,LowVolume5,0,54,1.3614660111896053
1,LowVolume5,0,55,1.3614660111896053
1,LowVolume5,0,56,1.3932267380934393
1,LowVolume5,0,57,1.2619804933548577
1,LowVolume5,0,58,1.2619804933548577
1,LowVolume5,0,59,1.2619804933548577
1,LowVolume5,0,60,1.2619804933548577
1,LowVolume5,0,61,1.2619804933548577
1,LowVolume5,0,62,1.2619804933548577
1,LowVolume5,0,63,1.464723482390961
1,LowVolume5,1,0,1
1,LowVolume5,1,1,0.8908327744501746
1,LowVolume5,1,2,0.8908327744501746
1,LowVolume5,1,3,0.8908327744501746
1,LowVolume5,1,4,0.8908327744501746
1,LowVolume5,1,5,0.933633219339025
1,LowVolume5,1,6,0.9120928367799387
1,LowVolume5,1,7,0.9120928367799387
1,LowVolume5,1,8,0.9120928367799387
1,LowVolume5,1,9,0.9120928367799387
1,LowVolume5,1,10,0.9120928367799387
1,LowVolume5,1,11,0.9120928367799387
1,LowVolume5,1,12,0.9120928367799387
1,LowVolume5,1,13,0.8102622262819494
1,LowVolume5,1,14,0.8102622262819494
1,LowVolume5,1,15,0.8102622262819494
1,LowVolume5,1,16,0.8102622262819494
