bar,equity
0,1.000000
1,1.022638
2,1.029698
3,1.020776
4,1.011815
5,1.002941
6,1.002941
7,1.011335
8,1.033489
9,1.036717
10,1.042656
11,1.051715
12,1.059131
13,1.042284
14,1.048345
15,1.060225
16,1.074456
17,1.050489
18,1.054854
19,1.050136
20,1.027051
21,1.069668
22,1.067180
23,1.065919
24,1.062562
25,1.062562
26,1.061910
27,1.061910
28,1.057152
29,1.047745
30,1.093239
31,1.159093
32,1.192201
33,1.183760
34,1.179297
35,1.189152
36,1.188694
37,1.146060
38,1.139258
39,1.190200
40,1.185422
41,1.181761
42,1.178272
43,1.173169
44,1.189135
45,1.189957
46,1.199185
47,1.197460
48,1.208101
49,1.192983
50,1.239146
51,1.237787
52,1.285486
53,1.307179
54,1.290834
55,1.292051
56,1.293098
57,1.302266
58,1.301057
59,1.308925
60,1.329183
61,1.332024
62,1.322363
63,1.353907
64,1.356096
65,1.351103
66,1.353489
67,1.347392
68,1.350674
69,1.287145
70,1.287145
71,1.288246
72,1.285949
73,1.288567
74,1.288669
75,1.286646
76,1.294852
77,1.293491
78,1.320421
79,1.386577
80,1.403584
81,1.416865
82,1.474683
83,1.523019
84,1.516902
85,1.596286
86,1.610213
87,1.590268
88,1.582177
89,1.608639
90,1.636364
91,1.733614
92,1.840174
93,1.833936
94,1.834900
95,1.555020
96,1.535949
97,1.458304
98,1.459359
99,1.459261
100,1.392150
101,1.397541
102,1.400545
103,1.394209
104,1.403246
105,1.490321
106,1.442140
107,1.492817
108,1.476565
109,1.446617
110,1.307355
111,1.332770
112,1.332770
113,1.329308
114,1.329308
115,1.330932
116,1.330932
117,1.330932
118,1.330932
119,1.359950
120,1.372153
121,1.040685
122,0.979573
123,1.036415
124,0.974818
125,0.974818
126,0.974818
127,0.998871
128,0.986785
129,0.986785
130,0.986785
131,0.986785
132,0.986785
133,1.011757
134,0.851701
135,0.820549
136,0.850894
137,0.917367
138,0.859553
139,0.859553
140,0.859553
141,0.859553
142,0.859553
143,0.859553
144,0.859553
145,0.859553
146,0.859553
147,0.853870
148,0.853870
149,0.853870
150,0.853870
151,0.853870
152,0.853870
153,0.853870
154,0.853870
155,0.853870
156,0.853870
157,0.853870
158,0.853870
159,0.853870
160,0.853870
161,0.853870
162,0.853870
163,0.853870
164,0.853870
165,0.853870
166,0.853870
167,0.853870
168,0.853870
169,0.853870
170,0.853870
171,0.853870
172,0.853870
173,0.853870
174,0.713610
175,0.713610
176,0.713610
177,0.713610
178,0.713610
179,0.713610
180,0.713610
181,0.713610
182,0.713610
183,0.713610
184,0.713610
185,0.713610
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,1.000000
191,1.000000
192,1.000000
193,1.000000
194,1.000000
195,1.000000
196,1.000000
197,1.000000
198,1.000000
199,1.000000
200,1.000000
201,1.000000
202,1.000000
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,1.000000
209,1.000000
210,1.000000
211,1.000000
212,1.000000
213,1.000000
214,1.000000
215,1.000000
216,1.000000
217,1.000000
218,1.000000
219,1.000000
220,1.000000
221,1.000000
222,1.000000
223,1.000000
224,1.000000
225,1.000000
226,1.000000
227,1.000000
228,1.000000
229,1.000000
230,1.000000
231,1.000000
232,1.000000
233,1.000000
234,1.000000
235,1.000000
236,1.000000
237,1.000000
238,1.000000
239,1.000000
240,1.000000
241,1.000000
242,1.000000
243,1.000000
244,1.000000
245,1.000000
246,1.000000
247,1.000000
248,1.000000
249,1.000000
250,1.000000
251,1.000000
