bar,equity
0,1.000000
1,1.022638
2,1.033644
3,1.024721
4,1.015760
5,1.008319
6,1.021445
7,1.021445
8,1.043599
9,1.046828
10,1.051033
11,1.057165
12,1.063853
13,1.055051
14,1.061480
15,1.074043
16,1.093188
17,1.067130
18,1.067130
19,1.070381
20,1.048386
21,1.091556
22,1.091556
23,1.091556
24,1.091556
25,1.089177
26,1.088525
27,1.090991
28,1.086670
29,1.072561
30,1.117391
31,1.183505
32,1.218547
33,1.215052
34,1.210931
35,1.218118
36,1.218118
37,1.183186
38,1.172078
39,1.223019
40,1.217678
41,1.212925
42,1.207874
43,1.203495
44,1.217338
45,1.246060
46,1.238733
47,1.234628
48,1.243862
49,1.227110
50,1.275048
51,1.279553
52,1.315668
53,1.353086
54,1.322765
55,1.331736
56,1.355157
57,1.371244
58,1.368176
59,1.376469
60,1.411966
61,1.411094
62,1.401376
63,1.460406
64,1.458807
65,1.456393
66,1.456877
67,1.452041
68,1.456703
69,1.394112
70,1.407089
71,1.404997
72,1.412793
73,1.412793
74,1.410926
75,1.407820
76,1.413579
77,1.427575
78,1.454206
79,1.534823
80,1.555584
81,1.603116
82,1.625105
83,1.626817
84,1.545393
85,1.540717
86,1.544226
87,1.523951
88,1.522147
89,1.522957
90,1.554826
91,1.580991
92,1.681609
93,1.655638
94,1.663759
95,1.715658
96,1.767791
97,1.645704
98,1.688410
99,1.526596
100,1.477626
101,1.467656
102,1.472998
103,1.466274
104,1.480646
105,1.574436
106,1.521613
107,1.580891
108,1.629986
109,1.664986
110,1.446672
111,1.456901
112,1.459013
113,1.462762
114,1.465095
115,1.465095
116,1.455905
117,1.461953
118,1.453735
119,1.453588
120,1.453588
121,1.027269
122,1.059590
123,1.135323
124,1.037870
125,1.037870
126,1.031370
127,1.031370
128,1.031370
129,1.031370
130,1.031370
131,1.031370
132,1.065751
133,1.065751
134,1.037209
135,0.976307
136,1.000830
137,0.986849
138,0.986849
139,0.986849
140,1.023344
141,1.032585
142,1.070548
143,1.070548
144,1.070548
145,1.061090
146,0.957336
147,1.023442
148,0.992690
149,0.992690
150,1.103943
151,0.976653
152,0.976653
153,0.976653
154,0.976653
155,0.976653
156,0.976653
157,0.976653
158,0.976653
159,0.976653
160,0.853870
161,0.853870
162,0.853870
163,0.853870
164,0.853870
165,0.853870
166,0.853870
167,0.853870
168,0.853870
169,0.853870
170,0.853870
171,0.853870
172,0.853870
173,0.853870
174,0.713610
175,0.713610
176,0.713610
177,0.713610
178,0.713610
179,0.713610
180,0.713610
181,0.713610
182,0.713610
183,0.713610
184,0.713610
185,0.713610
186,1.000000
187,1.000000
188,1.000000
189,1.000000
190,1.000000
191,1.000000
192,1.000000
193,1.000000
194,1.000000
195,1.000000
196,1.000000
197,1.000000
198,1.000000
199,1.000000
200,1.000000
201,1.000000
202,1.000000
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,1.000000
209,1.000000
210,1.000000
211,1.000000
212,1.000000
213,1.000000
214,1.000000
215,1.000000
216,1.000000
217,1.000000
218,1.000000
219,1.000000
220,1.000000
221,1.000000
222,1.000000
223,1.000000
224,1.000000
225,1.000000
226,1.000000
227,1.000000
228,1.000000
229,1.000000
230,1.000000
231,1.000000
232,1.000000
233,1.000000
234,1.000000
235,1.000000
236,1.000000
237,1.000000
238,1.000000
239,1.000000
240,1.000000
241,1.000000
242,1.000000
243,1.000000
244,1.000000
245,1.000000
246,1.000000
247,1.000000
248,1.000000
249,1.000000
250,1.000000
251,1.000000
