vl,pass_count,total_count,pass_pct,avg_sharpe,avg_ret_pct,avg_dd_pct,total_trades,avg_win_rate,positive_universes
1,52,63,82.54,3.5072,99.51,30.97,738,55.1,9
2,53,63,84.13,3.8327,96.63,29.46,719,56.7,9
3,47,63,74.60,3.2485,72.02,31.75,716,54.1,8
4,53,63,84.13,3.9782,94.71,28.60,705,56.4,9
5,52,63,82.54,3.4797,95.50,29.07,706,55.6,9
6,51,63,80.95,3.1902,86.20,30.93,701,54.2,9
7,52,63,82.54,3.0364,79.81,30.94,697,53.4,9
8,50,63,79.37,2.9733,80.59,30.86,695,53.5,9
9,52,63,82.54,3.2246,82.40,30.86,690,53.8,9
10,53,63,84.13,3.2706,79.34,30.27,689,53.5,9
11,53,63,84.13,3.3409,81.99,28.94,683,54.0,9
12,50,63,79.37,2.7607,75.00,30.90,683,53.3,8
13,50,63,79.37,2.8288,79.39,30.95,680,54.0,8
14,49,63,77.78,2.6817,68.82,30.95,677,53.4,8
15,50,63,79.37,2.6445,54.01,30.89,676,53.5,8
16,52,63,82.54,2.8867,58.03,30.28,676,53.8,9
17,50,63,79.37,2.8222,55.98,30.17,674,53.6,8
18,51,63,80.95,2.8416,56.88,30.05,674,53.7,8
19,49,63,77.78,2.7379,56.19,30.66,675,53.4,8
20,49,63,77.78,2.8000,56.56,30.52,678,53.8,8
21,49,63,77.78,2.7880,56.51,30.45,677,53.7,8
22,50,63,79.37,2.7803,56.45,30.38,675,53.8,8
23,50,63,79.37,2.7327,54.38,30.54,674,53.3,8
24,50,63,79.37,2.7202,54.63,31.26,672,53.4,8
25,50,63,79.37,2.7822,55.02,30.95,672,53.4,8
26,50,63,79.37,2.7687,54.77,31.02,672,53.6,8
27,49,63,77.78,2.7976,54.98,31.16,673,53.6,8
28,50,63,79.37,2.8743,56.39,30.91,675,53.6,8
29,51,63,80.95,2.9350,57.94,30.57,672,54.1,9
30,50,63,79.37,2.8708,59.46,30.71,676,53.8,8
31,50,63,79.37,2.9115,59.66,30.37,677,53.6,8
32,50,63,79.37,2.9060,59.42,30.33,678,53.5,8
33,50,63,79.37,2.9260,59.62,30.33,677,53.5,8
34,52,63,82.54,2.9298,59.92,30.37,677,53.6,9
35,51,63,80.95,2.8456,57.44,30.77,678,53.3,9
36,52,63,82.54,2.8587,56.96,30.57,678,53.1,9
37,51,63,80.95,3.1175,58.78,30.22,674,53.4,9
38,52,63,82.54,3.1307,58.52,30.03,673,53.4,9
39,51,63,80.95,3.1205,58.27,29.99,673,53.5,8
40,51,63,80.95,3.0965,57.93,30.17,673,53.2,8
41,51,63,80.95,3.1306,59.32,30.18,673,53.3,8
42,51,63,80.95,3.2101,63.24,30.04,673,53.5,8
43,52,63,82.54,3.2313,64.15,29.94,673,53.5,9
44,52,63,82.54,3.2581,64.48,29.71,673,53.8,9
45,52,63,82.54,3.2858,63.57,29.57,672,53.9,9
46,52,63,82.54,3.2858,63.57,29.57,672,53.9,9
47,52,63,82.54,3.2858,63.57,29.57,672,53.9,9
48,52,63,82.54,3.3009,64.08,29.43,672,54.2,9
49,52,63,82.54,3.3009,64.08,29.43,672,54.2,9
50,52,63,82.54,3.3009,64.08,29.43,672,54.2,9
51,52,63,82.54,3.3223,64.61,29.59,672,54.4,9
52,52,63,82.54,3.4214,66.39,29.49,672,54.4,9
53,51,63,80.95,3.3705,65.95,29.70,674,53.9,9
54,51,63,80.95,3.3040,64.05,29.70,674,53.9,9
55,51,63,80.95,3.2825,63.55,29.89,675,53.9,9
56,52,63,82.54,3.2035,63.25,29.92,674,53.6,9
57,52,63,82.54,3.2035,63.25,29.92,674,53.6,9
58,52,63,82.54,3.3531,72.05,29.84,674,53.7,9
59,52,63,82.54,3.4406,72.87,29.69,674,53.9,9
60,51,63,80.95,3.2917,70.12,29.71,675,53.8,9
61,51,63,80.95,3.2481,68.61,29.91,675,53.7,9
62,51,63,80.95,3.2730,68.82,29.91,675,53.9,9
63,51,63,80.95,3.3169,69.92,29.91,674,54.0,9
64,51,63,80.95,3.3456,69.99,29.77,674,54.2,9
65,52,63,82.54,3.3622,70.12,29.74,673,54.3,9
66,52,63,82.54,3.3875,70.50,29.51,674,54.5,9
67,52,63,82.54,3.3936,69.99,29.51,674,54.5,9
68,51,63,80.95,3.3380,69.22,29.69,674,54.2,9
69,52,63,82.54,3.3873,71.63,29.54,674,54.4,9
70,52,63,82.54,3.3873,71.63,29.54,674,54.4,9
71,52,63,82.54,3.4114,71.82,29.42,674,54.4,9
72,52,63,82.54,3.4981,73.89,29.18,673,54.5,9
73,52,63,82.54,3.4981,73.89,29.18,673,54.5,9
74,52,63,82.54,3.5299,78.05,29.16,672,54.6,9
75,52,63,82.54,3.4365,69.84,29.42,673,54.3,9
