VOL_LOOKBACK Hyperopt — Live-Compatible Harness
=================================================
Harness: Turtle-only + ATR_rank(17,42,5.0) + USDT hedge
Range: VL ∈ [1..=200 step 1] = 200 values
Scope: 9 universes × 7 windows = 63 OOS windows
Baseline: VL=8
Winner:   VL=92
Runner1:  VL=93
Runner2:  VL=95

    VL |   Pass% | AvgSharpe |  AvgRet% | Pass | AvgDD |  +Uni
------------------------------------------------------------
    92 |   85.7 |    3.794 |     87.5 |   54 |  27.9 |     9
    93 |   85.7 |    3.775 |     90.1 |   54 |  27.9 |     9
    95 |   85.7 |    3.728 |     87.1 |   54 |  28.1 |     9
   124 |   85.7 |    3.690 |     75.0 |   54 |  27.7 |     9
    94 |   85.7 |    3.676 |     86.2 |   54 |  28.0 |     9
   123 |   85.7 |    3.674 |     74.8 |   54 |  27.8 |     9
    91 |   85.7 |    3.669 |     86.8 |   54 |  28.1 |     9
   125 |   85.7 |    3.663 |     73.9 |   54 |  27.7 |     9
   126 |   85.7 |    3.663 |     73.9 |   54 |  27.7 |     9
    84 |   85.7 |    3.635 |     75.5 |   54 |  28.2 |     9
   176 |   85.7 |    3.632 |     85.2 |   54 |  27.7 |     9
   174 |   85.7 |    3.631 |     85.2 |   54 |  27.7 |     9
   175 |   85.7 |    3.631 |     85.2 |   54 |  27.7 |     9
   127 |   85.7 |    3.621 |     73.4 |   54 |  28.0 |     9
   128 |   85.7 |    3.621 |     73.4 |   54 |  28.0 |     9
   179 |   85.7 |    3.612 |     85.0 |   54 |  27.7 |     9
   180 |   85.7 |    3.612 |     85.0 |   54 |  27.7 |     9
   181 |   85.7 |    3.612 |     85.0 |   54 |  27.7 |     9
   182 |   85.7 |    3.612 |     85.0 |   54 |  27.7 |     9
   183 |   85.7 |    3.612 |     85.0 |   54 |  27.7 |     9
   172 |   85.7 |    3.607 |     84.8 |   54 |  27.9 |     9
   171 |   85.7 |    3.606 |     84.8 |   54 |  27.9 |     9
   184 |   85.7 |    3.601 |     84.9 |   54 |  27.7 |     9
   173 |   85.7 |    3.596 |     84.6 |   54 |  27.9 |     9
   192 |   85.7 |    3.584 |     84.6 |   54 |  27.9 |     9
   187 |   85.7 |    3.583 |     84.6 |   54 |  27.7 |     9
   188 |   85.7 |    3.569 |     84.5 |   54 |  27.7 |     9
   190 |   85.7 |    3.569 |     84.5 |   54 |  27.7 |     9
   122 |   85.7 |    3.565 |     73.9 |   54 |  27.8 |     9
   189 |   85.7 |    3.564 |     84.4 |   54 |  27.7 |     9
   191 |   85.7 |    3.564 |     84.4 |   54 |  27.7 |     9
   121 |   85.7 |    3.559 |     73.9 |   54 |  27.8 |     9
    85 |   85.7 |    3.559 |     74.7 |   54 |  28.5 |     9
    86 |   85.7 |    3.557 |     74.4 |   54 |  28.5 |     9
   117 |   85.7 |    3.555 |     72.4 |   54 |  27.9 |     9
    96 |   85.7 |    3.550 |     82.6 |   54 |  28.0 |     9
   118 |   85.7 |    3.549 |     72.3 |   54 |  27.9 |     9
    90 |   85.7 |    3.542 |     85.9 |   54 |  28.5 |     9
    82 |   85.7 |    3.542 |     71.1 |   54 |  28.9 |     9
   177 |   85.7 |    3.542 |     84.5 |   54 |  27.8 |     9
   178 |   85.7 |    3.542 |     84.5 |   54 |  27.8 |     9
   170 |   85.7 |    3.540 |     81.4 |   54 |  28.2 |     9
    87 |   85.7 |    3.540 |     78.0 |   54 |  28.5 |     9
    89 |   85.7 |    3.540 |     85.6 |   54 |  28.5 |     9
    99 |   85.7 |    3.539 |     79.1 |   54 |  28.1 |     9
   120 |   85.7 |    3.539 |     72.5 |   54 |  27.8 |     9
    83 |   85.7 |    3.535 |     71.0 |   54 |  28.9 |     9
   185 |   85.7 |    3.530 |     84.4 |   54 |  27.8 |     9
   186 |   85.7 |    3.530 |     84.4 |   54 |  27.8 |     9
   166 |   85.7 |    3.499 |     79.5 |   54 |  28.3 |     9
   100 |   85.7 |    3.485 |     76.8 |   54 |  28.5 |     9
    88 |   85.7 |    3.478 |     82.3 |   54 |  28.5 |     9
    80 |   85.7 |    3.477 |     71.0 |   54 |  29.1 |     9
    98 |   85.7 |    3.454 |     78.6 |   54 |  28.4 |     9
   169 |   85.7 |    3.454 |     80.6 |   54 |  28.4 |     9
   168 |   85.7 |    3.451 |     80.6 |   54 |  28.4 |     9
    97 |   85.7 |    3.435 |     78.4 |   54 |  28.4 |     9
   167 |   85.7 |    3.433 |     78.9 |   54 |  28.3 |     9
     4 |   84.1 |    3.978 |     94.7 |   53 |  28.6 |     9
     2 |   84.1 |    3.833 |     96.6 |   53 |  29.5 |     9
   129 |   84.1 |    3.599 |     73.1 |   53 |  28.0 |     8
   195 |   84.1 |    3.574 |     84.9 |   53 |  27.9 |     8
   196 |   84.1 |    3.574 |     84.9 |   53 |  27.9 |     8
   198 |   84.1 |    3.574 |     84.9 |   53 |  27.9 |     8
   115 |   84.1 |    3.566 |     72.5 |   53 |  27.9 |     9
   143 |   84.1 |    3.555 |     71.1 |   53 |  27.9 |     8
   194 |   84.1 |    3.555 |     84.2 |   53 |  27.9 |     8
   114 |   84.1 |    3.550 |     72.2 |   53 |  27.9 |     9
   200 |   84.1 |    3.550 |     84.0 |   53 |  27.9 |     8
   116 |   84.1 |    3.548 |     72.3 |   53 |  27.9 |     9
   147 |   84.1 |    3.540 |     70.5 |   53 |  27.8 |     8
   148 |   84.1 |    3.540 |     70.5 |   53 |  27.8 |     8
   144 |   84.1 |    3.532 |     70.5 |   53 |  27.9 |     8
   145 |   84.1 |    3.532 |     70.5 |   53 |  27.9 |     8
   193 |   84.1 |    3.532 |     84.0 |   53 |  27.9 |     8
   146 |   84.1 |    3.528 |     70.4 |   53 |  27.9 |     8
   199 |   84.1 |    3.526 |     83.7 |   53 |  27.9 |     8
   165 |   84.1 |    3.466 |     79.0 |   53 |  28.3 |     8
   163 |   84.1 |    3.452 |     78.9 |   53 |  28.3 |     8
   164 |   84.1 |    3.452 |     78.9 |   53 |  28.3 |     8
   160 |   84.1 |    3.449 |     78.9 |   53 |  28.4 |     8
   161 |   84.1 |    3.449 |     78.9 |   53 |  28.4 |     8
   162 |   84.1 |    3.449 |     78.9 |   53 |  28.4 |     8
   119 |   84.1 |    3.446 |     71.6 |   53 |  28.4 |     9
   108 |   84.1 |    3.444 |     71.4 |   53 |  28.5 |     9
   109 |   84.1 |    3.444 |     71.4 |   53 |  28.5 |     9
   107 |   84.1 |    3.418 |     71.0 |   53 |  28.6 |     9
    11 |   84.1 |    3.341 |     82.0 |   53 |  28.9 |     9
    10 |   84.1 |    3.271 |     79.3 |   53 |  30.3 |     9
   151 |   82.5 |    3.622 |     81.5 |   52 |  27.8 |     8
   152 |   82.5 |    3.622 |     81.5 |   52 |  27.8 |     8
   149 |   82.5 |    3.613 |     70.9 |   52 |  27.8 |     8
   150 |   82.5 |    3.613 |     70.9 |   52 |  27.8 |     8
   153 |   82.5 |    3.572 |     81.0 |   52 |  27.9 |     8
   154 |   82.5 |    3.572 |     81.0 |   52 |  27.9 |     8
   131 |   82.5 |    3.571 |     72.7 |   52 |  28.2 |     8
   130 |   82.5 |    3.567 |     72.7 |   52 |  28.1 |     8
   197 |   82.5 |    3.558 |     84.7 |   52 |  28.0 |     8
    74 |   82.5 |    3.530 |     78.1 |   52 |  29.2 |     9
   111 |   82.5 |    3.516 |     72.0 |   52 |  28.0 |     9
   112 |   82.5 |    3.515 |     72.0 |   52 |  28.0 |     9
     1 |   82.5 |    3.507 |     99.5 |   52 |  31.0 |     9
   141 |   82.5 |    3.506 |     70.5 |   52 |  28.0 |     8
   157 |   82.5 |    3.505 |     79.4 |   52 |  28.1 |     8
   158 |   82.5 |    3.505 |     79.4 |   52 |  28.1 |     8
   156 |   82.5 |    3.504 |     79.4 |   52 |  28.1 |     8
    72 |   82.5 |    3.498 |     73.9 |   52 |  29.2 |     9
    73 |   82.5 |    3.498 |     73.9 |   52 |  29.2 |     9
