vl,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1,Base5,0,365.6764,9.4373,29.63,11,63.6,true
2,Base5,0,365.6764,9.4373,29.63,11,63.6,true
3,Base5,0,365.6764,9.4373,29.63,11,63.6,true
4,Base5,0,365.6764,9.4373,29.63,11,63.6,true
5,Base5,0,365.6764,9.4373,29.63,11,63.6,true
6,Base5,0,365.6764,9.4373,29.63,11,63.6,true
7,Base5,0,365.6764,9.4373,29.63,11,63.6,true
8,Base5,0,365.6764,9.4373,29.63,11,63.6,true
9,Base5,0,365.6764,9.4373,29.63,11,63.6,true
10,Base5,0,365.6764,9.4373,29.63,11,63.6,true
11,Base5,0,365.6764,9.4373,29.63,11,63.6,true
12,Base5,0,365.6764,9.4373,29.63,11,63.6,true
13,Base5,0,365.6764,9.4373,29.63,11,63.6,true
14,Base5,0,365.6764,9.4373,29.63,11,63.6,true
15,Base5,0,365.6764,9.4373,29.63,11,63.6,true
16,Base5,0,365.6764,9.4373,29.63,11,63.6,true
17,Base5,0,365.6764,9.4373,29.63,11,63.6,true
18,Base5,0,365.6764,9.4373,29.63,11,63.6,true
19,Base5,0,365.6764,9.4373,29.63,11,63.6,true
20,Base5,0,365.6764,9.4373,29.63,11,63.6,true
21,Base5,0,365.6764,9.4373,29.63,11,63.6,true
22,Base5,0,365.6764,9.4373,29.63,11,63.6,true
23,Base5,0,405.7887,10.6685,23.57,10,70.0,true
24,Base5,0,405.7887,10.6685,23.57,10,70.0,true
25,Base5,0,405.7887,10.6685,23.57,10,70.0,true
26,Base5,0,405.7887,10.6685,23.57,10,70.0,true
27,Base5,0,405.7887,10.6685,23.57,10,70.0,true
28,Base5,0,405.7887,10.6685,23.57,10,70.0,true
29,Base5,0,405.7887,10.6685,23.57,10,70.0,true
30,Base5,0,405.7887,10.6685,23.57,10,70.0,true
31,Base5,0,405.7887,10.6685,23.57,10,70.0,true
32,Base5,0,405.7887,10.6685,23.57,10,70.0,true
33,Base5,0,405.7887,10.6685,23.57,10,70.0,true
34,Base5,0,405.7887,10.6685,23.57,10,70.0,true
35,Base5,0,405.7887,10.6685,23.57,10,70.0,true
36,Base5,0,405.7887,10.6685,23.57,10,70.0,true
37,Base5,0,405.7887,10.6685,23.57,10,70.0,true
38,Base5,0,405.7887,10.6685,23.57,10,70.0,true
39,Base5,0,405.7887,10.6685,23.57,10,70.0,true
40,Base5,0,405.7887,10.6685,23.57,10,70.0,true
41,Base5,0,405.7887,10.6685,23.57,10,70.0,true
42,Base5,0,405.7887,10.6685,23.57,10,70.0,true
43,Base5,0,405.7887,10.6685,23.57,10,70.0,true
44,Base5,0,405.7887,10.6685,23.57,10,70.0,true
45,Base5,0,405.7887,10.6685,23.57,10,70.0,true
46,Base5,0,405.7887,10.6685,23.57,10,70.0,true
47,Base5,0,405.7887,10.6685,23.57,10,70.0,true
48,Base5,0,405.7887,10.6685,23.57,10,70.0,true
49,Base5,0,405.7887,10.6685,23.57,10,70.0,true
50,Base5,0,405.7887,10.6685,23.57,10,70.0,true
51,Base5,0,405.7887,10.6685,23.57,10,70.0,true
52,Base5,0,405.7887,10.6685,23.57,10,70.0,true
53,Base5,0,405.7887,10.6685,23.57,10,70.0,true
54,Base5,0,405.7887,10.6685,23.57,10,70.0,true
55,Base5,0,405.7887,10.6685,23.57,10,70.0,true
