step,vl_2,vl_7,vl_8,vl_9
0,1.00000000,1.00000000,1.00000000,1.00000000
1,1.00000000,1.00000000,1.00000000,1.00000000
2,1.30972494,1.30972494,1.30972494,1.30972494
3,1.30972494,1.30972494,1.30972494,1.30972494
4,1.30972494,1.30972494,1.30972494,1.30972494
5,1.30972494,1.30972494,1.30972494,1.30972494
6,1.30972494,1.30972494,1.30972494,1.30972494
7,1.24505156,1.24505156,1.24505156,1.24505156
8,1.24505156,1.24505156,1.24505156,1.24505156
9,0.75060748,0.75060748,0.75060748,0.75060748
10,0.75060748,0.75060748,0.75060748,0.75060748
11,0.75060748,0.75060748,0.75060748,0.75060748
12,0.75060748,0.75060748,0.75060748,0.75060748
13,0.75060748,0.75060748,0.75060748,0.75060748
14,0.75060748,0.75060748,0.75060748,0.75060748
15,0.75060748,0.75060748,0.75060748,0.75060748
16,0.75060748,0.75060748,0.75060748,0.75060748
17,0.75060748,0.75060748,0.75060748,0.75060748
18,0.75060748,0.75060748,0.75060748,0.75060748
19,0.75060748,0.75060748,0.75060748,0.75060748
20,0.75060748,0.75060748,0.75060748,0.75060748
21,0.75060748,0.75060748,0.75060748,0.75060748
22,0.75060748,0.75060748,0.75060748,0.75060748
23,0.75060748,0.75060748,0.75060748,0.75060748
24,0.75060748,0.75060748,0.75060748,0.75060748
25,0.75060748,0.75060748,0.75060748,0.75060748
26,0.75060748,0.75060748,0.75060748,0.75060748
27,0.75060748,0.75060748,0.75060748,0.75060748
28,0.75060748,0.75060748,0.75060748,0.75060748
29,0.75060748,0.75060748,0.75060748,0.75060748
30,0.75060748,0.75060748,0.75060748,0.75060748
31,0.75060748,0.75060748,0.75060748,0.75060748
32,0.75060748,0.75060748,0.75060748,0.75060748
33,0.75060748,0.75060748,0.75060748,0.75060748
34,0.75060748,0.75060748,0.75060748,0.75060748
35,0.75060748,0.75060748,0.75060748,0.75060748
36,0.75060748,0.75060748,0.75060748,0.75060748
37,0.75060748,0.75060748,0.75060748,0.75060748
38,0.66200986,0.66200986,0.66200986,0.66200986
39,0.66200986,0.66200986,0.66200986,0.66200986
40,0.66200986,0.66200986,0.66200986,0.66200986
41,0.66200986,0.66200986,0.66200986,0.66200986
42,0.66200986,0.66200986,0.66200986,0.66200986
43,0.59466665,0.59466665,0.59466665,0.59466665
44,0.59466665,0.59466665,0.59466665,0.59466665
45,0.59466665,0.59466665,0.59466665,0.59466665
46,0.59466665,0.59466665,0.59466665,0.59466665
47,0.59466665,0.59466665,0.59466665,0.59466665
48,0.59466665,0.59466665,0.59466665,0.59466665
49,0.59466665,0.59466665,0.59466665,0.59466665
50,0.59466665,0.59466665,0.59466665,0.59466665
51,0.59466665,0.59466665,0.59466665,0.59466665
52,0.59466665,0.59466665,0.59466665,0.59466665
53,0.59466665,0.59466665,0.59466665,0.59466665
54,0.59466665,0.59466665,0.59466665,0.59466665
55,0.59466665,0.59466665,0.59466665,0.59466665
56,0.59466665,0.59466665,0.59466665,0.59466665
57,0.56794006,0.59466665,0.59466665,0.59466665
58,1.05682410,0.59466665,0.59466665,0.59466665
59,1.05682410,0.59466665,0.59466665,0.59466665
60,1.05682410,0.75545493,0.75545493,0.75545493
61,0.98038596,1.26251803,1.26251803,1.26251803
62,1.06335714,2.69637574,2.69637574,2.69637574
63,1.08917673,2.69637574,2.69637574,2.69637574
64,1.33874244,2.69637574,2.69637574,2.69637574
65,1.33874244,2.69637574,2.69637574,2.69637574
66,1.33874244,2.69637574,2.69637574,2.69637574
67,1.33874244,2.69637574,2.69637574,2.69637574
68,1.33874244,2.69637574,2.69637574,2.69637574
69,1.33874244,2.76184698,2.76184698,2.76184698
70,1.33874244,3.39467568,3.39467568,3.39467568
71,1.67282201,3.39467568,3.39467568,3.39467568
72,1.50558792,3.39467568,3.39467568,3.39467568
73,1.50558792,3.39467568,3.39467568,3.39467568
74,1.50558792,3.39467568,3.39467568,3.39467568
75,1.50558792,3.39467568,3.39467568,3.39467568
76,1.50558792,3.39467568,3.39467568,3.39467568
77,1.50558792,4.24180785,4.24180785,4.24180785
78,1.50558792,3.81774907,3.81774907,3.81774907
79,1.50558792,3.81774907,3.81774907,3.81774907
80,1.50558792,3.81774907,3.81774907,3.81774907
81,1.50558792,3.81774907,3.81774907,3.81774907
82,1.34350149,3.81774907,3.81774907,3.81774907
83,1.34350149,3.81774907,3.81774907,3.81774907
84,1.34350149,3.81774907,3.81774907,3.81774907
85,1.34350149,3.81774907,3.81774907,3.81774907
86,1.34350149,3.81774907,3.81774907,3.81774907
87,1.34350149,3.81774907,3.81774907,3.81774907
88,1.34350149,3.40674330,3.40674330,3.40674330
89,1.34350149,3.40674330,3.40674330,3.40674330
90,1.34350149,3.40674330,3.40674330,3.40674330
91,1.34350149,3.40674330,3.40674330,3.40674330
92,1.34350149,3.40674330,3.40674330,3.40674330
93,1.89134207,3.40674330,3.40674330,3.40674330
94,1.89134207,3.40674330,3.40674330,3.40674330
95,1.89134207,3.40674330,3.40674330,3.40674330
96,1.89134207,3.40674330,3.40674330,3.40674330
97,1.89134207,3.40674330,3.40674330,3.40674330
98,1.89134207,3.40674330,3.40674330,3.40674330
99,1.89134207,4.79591349,4.79591349,4.79591349
100,1.89134207,4.79591349,4.79591349,4.79591349
101,1.89134207,4.79591349,4.79591349,4.79591349
102,1.89134207,4.79591349,4.79591349,4.79591349
103,1.89134207,4.79591349,4.79591349,4.79591349
104,1.89134207,4.79591349,4.79591349,4.79591349
105,1.89134207,4.79591349,4.79591349,4.79591349
106,1.89134207,4.79591349,4.79591349,4.79591349
107,1.89134207,4.79591349,4.79591349,4.79591349
108,1.89134207,4.79591349,4.79591349,4.79591349
109,1.89134207,4.79591349,4.79591349,4.79591349
110,1.89134207,4.79591349,4.79591349,4.79591349
111,1.89134207,4.79591349,4.79591349,4.79591349
112,1.89134207,4.79591349,4.79591349,4.79591349
113,1.89134207,4.79591349,4.79591349,4.79591349
114,1.89134207,4.79591349,4.79591349,4.79591349
115,1.89134207,4.79591349,4.79591349,4.79591349
116,1.89134207,4.79591349,4.79591349,4.79591349
117,1.89134207,4.79591349,4.79591349,4.79591349
118,1.89134207,4.79591349,4.79591349,4.79591349
119,1.89134207,4.79591349,4.79591349,4.79591349
120,1.89134207,4.79591349,4.79591349,4.79591349
121,1.89134207,4.79591349,4.79591349,4.79591349
122,1.89134207,4.79591349,4.79591349,4.79591349
123,1.89134207,4.79591349,4.79591349,4.79591349
124,1.89134207,4.79591349,4.79591349,4.79591349
125,1.89134207,4.79591349,4.79591349,4.79591349
126,1.89134207,4.79591349,4.79591349,4.79591349
127,1.89134207,4.79591349,4.79591349,4.79591349
128,1.89134207,4.79591349,4.79591349,4.79591349
129,1.89134207,4.79591349,4.79591349,4.79591349
130,1.89134207,4.79591349,4.79591349,4.79591349
131,1.89134207,4.79591349,4.79591349,4.79591349
132,1.88502215,4.79591349,4.79591349,4.79591349
133,1.88502215,4.79591349,4.79591349,4.79591349
134,1.88502215,4.79591349,4.79591349,4.79591349
135,1.88502215,4.79591349,4.79591349,4.79591349
136,1.88502215,4.79591349,4.79591349,4.79591349
